frame,start_time,end_time,label
0,0,0.010666667,"drone, T1, P3"
1,0.010666667,0.021333333,"drone, T1, P3"
2,0.021333333,0.032,"drone, T1, P3"
3,0.032,0.042666667,"drone, T1, P3"
4,0.042666667,0.053333333,"drone, T1, P3"
5,0.053333333,0.064,"drone, T1, P3"
6,0.064,0.074666667,"drone, T1, P3"
7,0.074666667,0.085333333,"drone, T1, P3"
8,0.085333333,0.096,"drone, T1, P3"
9,0.096,0.106666667,"drone, T1, P3"
10,0.106666667,0.117333333,"drone, T1, P3"
11,0.117333333,0.128,"drone, T1, P3"
12,0.128,0.138666667,"drone, T1, P3"
13,0.138666667,0.149333333,"drone, T1, P3"
14,0.149333333,0.16,"drone, T1, P3"
15,0.16,0.170666667,"drone, T1, P3"
16,0.170666667,0.181333333,"drone, T1, P3"
17,0.181333333,0.192,"drone, T1, P3"
18,0.192,0.202666667,"drone, T1, P3"
19,0.202666667,0.213333333,"drone, T1, P3"
20,0.213333333,0.224,"drone, T1, P3"
21,0.224,0.234666667,"drone, T1, P3"
22,0.234666667,0.245333333,"drone, T1, P3"
23,0.245333333,0.256,"drone, T1, P3"
24,0.256,0.266666667,"drone, T1, P3"
25,0.266666667,0.277333333,"drone, T1, P3"
26,0.277333333,0.288,"drone, T1, P3"
27,0.288,0.298666667,"drone, T1, P3"
28,0.298666667,0.309333333,"drone, T1, P3"
29,0.309333333,0.32,"drone, T1, P3"
30,0.32,0.330666667,"drone, T1, P3"
31,0.330666667,0.341333333,"drone, T1, P3"
32,0.341333333,0.352,"drone, T1, P3"
33,0.352,0.362666667,"drone, T1, P3"
34,0.362666667,0.373333333,"drone, T1, P3"
35,0.373333333,0.384,"drone, T1, P3"
36,0.384,0.394666667,"drone, T1, P3"
37,0.394666667,0.405333333,"drone, T1, P3"
38,0.405333333,0.416,"drone, T1, P3"
39,0.416,0.426666667,"drone, T1, P3"
40,0.426666667,0.437333333,"drone, T1, P3"
41,0.437333333,0.448,"drone, T1, P3"
42,0.448,0.458666667,"drone, T1, P3"
43,0.458666667,0.469333333,"drone, T1, P3"
44,0.469333333,0.48,"drone, T1, P3"
45,0.48,0.490666667,"drone, T1, P3"
46,0.490666667,0.501333333,"drone, T1, P3"
47,0.501333333,0.512,"drone, T1, P3"
48,0.512,0.522666667,"drone, T1, P3"
49,0.522666667,0.533333333,"drone, T1, P3"
50,0.533333333,0.544,"drone, T1, P3"
51,0.544,0.554666667,"drone, T1, P3"
52,0.554666667,0.565333333,"drone, T1, P3"
53,0.565333333,0.576,"drone, T1, P3"
54,0.576,0.586666667,"drone, T1, P3"
55,0.586666667,0.597333333,"drone, T1, P3"
56,0.597333333,0.608,"drone, T1, P3"
57,0.608,0.618666667,"drone, T1, P3"
58,0.618666667,0.629333333,"drone, T1, P3"
59,0.629333333,0.64,"drone, T1, P3"
60,0.64,0.650666667,"drone, T1, P3"
61,0.650666667,0.661333333,"drone, T1, P3"
62,0.661333333,0.672,"drone, T1, P3"
63,0.672,0.682666667,"drone, T1, P3"
64,0.682666667,0.693333333,"drone, T1, P3"
65,0.693333333,0.704,"drone, T1, P3"
66,0.704,0.714666667,silence
67,0.714666667,0.725333333,silence
68,0.725333333,0.736,silence
69,0.736,0.746666667,silence
70,0.746666667,0.757333333,silence
71,0.757333333,0.768,silence
72,0.768,0.778666667,silence
73,0.778666667,0.789333333,silence
74,0.789333333,0.8,silence
75,0.8,0.810666667,silence
76,0.810666667,0.821333333,silence
77,0.821333333,0.832,silence
78,0.832,0.842666667,silence
79,0.842666667,0.853333333,silence
