frame,start_time,end_time,label
0,0,0.010666667,noise
1,0.010666667,0.021333333,noise
2,0.021333333,0.032,noise
3,0.032,0.042666667,noise
4,0.042666667,0.053333333,noise
5,0.053333333,0.064,noise
6,0.064,0.074666667,noise
7,0.074666667,0.085333333,noise
8,0.085333333,0.096,noise
9,0.096,0.106666667,noise
10,0.106666667,0.117333333,noise
11,0.117333333,0.128,noise
12,0.128,0.138666667,noise
13,0.138666667,0.149333333,noise
14,0.149333333,0.16,noise
15,0.16,0.170666667,"drone, T1, T3, noise"
16,0.170666667,0.181333333,"drone, T1, T3, noise"
17,0.181333333,0.192,"drone, T1, T3, noise"
18,0.192,0.202666667,"drone, T1, T3, noise"
19,0.202666667,0.213333333,"drone, T1, T3, noise"
20,0.213333333,0.224,"drone, T1, T3, noise"
21,0.224,0.234666667,"drone, T1, T3, noise"
22,0.234666667,0.245333333,"drone, T1, T3, noise"
23,0.245333333,0.256,"drone, T1, T3, noise"
24,0.256,0.266666667,"drone, T1, T3, noise"
25,0.266666667,0.277333333,"drone, T1, T3, noise"
26,0.277333333,0.288,"drone, T1, T3, noise"
27,0.288,0.298666667,"drone, T1, T3, noise"
28,0.298666667,0.309333333,"drone, T1, T3, noise"
29,0.309333333,0.32,"drone, T1, T3, noise"
30,0.32,0.330666667,"drone, T1, T3, noise"
31,0.330666667,0.341333333,"drone, T1, T3, noise"
32,0.341333333,0.352,"drone, T1, T3, noise"
33,0.352,0.362666667,"drone, T1, T3, noise"
34,0.362666667,0.373333333,"drone, T1, T3, noise"
35,0.373333333,0.384,"drone, T1, T3, noise"
36,0.384,0.394666667,"drone, T1, T3, noise"
37,0.394666667,0.405333333,"drone, T1, T3, noise"
38,0.405333333,0.416,"drone, T1, T3, noise"
39,0.416,0.426666667,"drone, T1, T3, noise"
40,0.426666667,0.437333333,"drone, T1, T3, noise"
41,0.437333333,0.448,"drone, T1, T3, noise"
42,0.448,0.458666667,"drone, T1, T3, noise"
43,0.458666667,0.469333333,"drone, T1, T3"
44,0.469333333,0.48,"drone, T1, T3"
45,0.48,0.490666667,"drone, T1, T3"
46,0.490666667,0.501333333,"drone, T1, T3"
47,0.501333333,0.512,"drone, T1, T3"
48,0.512,0.522666667,"drone, T1, T3"
49,0.522666667,0.533333333,"drone, T1, T3"
50,0.533333333,0.544,"drone, T1, T3"
51,0.544,0.554666667,"drone, T1, T3"
52,0.554666667,0.565333333,"drone, T1, T3"
53,0.565333333,0.576,"drone, T1, T3"
54,0.576,0.586666667,"drone, T1, T3"
55,0.586666667,0.597333333,"drone, T1, T3, noise"
56,0.597333333,0.608,"drone, T1, T3, noise"
57,0.608,0.618666667,"drone, T1, T3, noise"
58,0.618666667,0.629333333,"drone, T1, T3, noise"
59,0.629333333,0.64,"drone, T1, T3, noise"
60,0.64,0.650666667,"drone, T1, T3, noise"
61,0.650666667,0.661333333,"drone, T1, T3, noise"
62,0.661333333,0.672,"drone, T1, T3, noise"
63,0.672,0.682666667,"drone, T1, T3, noise"
64,0.682666667,0.693333333,"drone, T1, T3, noise"
65,0.693333333,0.704,"drone, T1, T3, noise"
66,0.704,0.714666667,"drone, T1, T3, noise"
67,0.714666667,0.725333333,"drone, T1, T3, noise"
68,0.725333333,0.736,"drone, T1, T3, noise"
69,0.736,0.746666667,"drone, T1, T3, noise"
70,0.746666667,0.757333333,"drone, T1, T3, noise"
71,0.757333333,0.768,"drone, T1, T3, noise"
72,0.768,0.778666667,"drone, T1, T3, noise"
73,0.778666667,0.789333333,"drone, T1, T3, noise"
74,0.789333333,0.8,"drone, T1, T3, noise"
75,0.8,0.810666667,"drone, T1, T3, noise"
76,0.810666667,0.821333333,"drone, T1, T3, noise"
77,0.821333333,0.832,"drone, T1, T3, noise"
78,0.832,0.842666667,"drone, T1, T3, noise"
79,0.842666667,0.853333333,"drone, T1, T3, noise"
80,0.853333333,0.864,"drone, T1, T3, noise"
81,0.864,0.874666667,"drone, T1, T3, noise"
82,0.874666667,0.885333333,"drone, T1, T3, noise"
83,0.885333333,0.896,"drone, T1, T3, noise"
84,0.896,0.906666667,"drone, T1, T3"
85,0.906666667,0.917333333,"drone, T1, T3"
86,0.917333333,0.928,"drone, T1, T3"
87,0.928,0.938666667,"drone, T1, T3"
88,0.938666667,0.949333333,"drone, T1, T3"
89,0.949333333,0.96,"drone, T1, T3"
90,0.96,0.970666667,"drone, T1, T3"
91,0.970666667,0.981333333,"drone, T1, T3"
92,0.981333333,0.992,"drone, T1, T3"
93,0.992,1.002666667,"drone, T1, T3"
94,1.002666667,1.013333333,silence
95,1.013333333,1.024,silence
96,1.024,1.034666667,silence
97,1.034666667,1.045333333,silence
98,1.045333333,1.056,silence
99,1.056,1.066666667,silence
100,1.066666667,1.077333333,silence
101,1.077333333,1.088,silence
102,1.088,1.098666667,silence
103,1.098666667,1.109333333,silence
104,1.109333333,1.12,silence
105,1.12,1.130666667,silence
106,1.130666667,1.141333333,silence
107,1.141333333,1.152,silence
108,1.152,1.162666667,silence
109,1.162666667,1.173333333,silence
110,1.173333333,1.184,silence
111,1.184,1.194666667,silence
112,1.194666667,1.205333333,silence
113,1.205333333,1.216,silence
114,1.216,1.226666667,silence
115,1.226666667,1.237333333,silence
116,1.237333333,1.248,silence
117,1.248,1.258666667,silence
118,1.258666667,1.269333333,silence
119,1.269333333,1.28,silence
120,1.28,1.290666667,silence
121,1.290666667,1.301333333,silence
122,1.301333333,1.312,silence
123,1.312,1.322666667,silence
124,1.322666667,1.333333333,silence
