frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,silence
16,0.170666667,0.181333333,silence
17,0.181333333,0.192,noise
18,0.192,0.202666667,noise
19,0.202666667,0.213333333,noise
20,0.213333333,0.224,noise
21,0.224,0.234666667,noise
22,0.234666667,0.245333333,noise
23,0.245333333,0.256,noise
24,0.256,0.266666667,noise
25,0.266666667,0.277333333,noise
26,0.277333333,0.288,noise
27,0.288,0.298666667,noise
28,0.298666667,0.309333333,noise
29,0.309333333,0.32,noise
30,0.32,0.330666667,noise
31,0.330666667,0.341333333,noise
32,0.341333333,0.352,noise
33,0.352,0.362666667,noise
34,0.362666667,0.373333333,noise
35,0.373333333,0.384,noise
36,0.384,0.394666667,noise
37,0.394666667,0.405333333,noise
38,0.405333333,0.416,noise
39,0.416,0.426666667,noise
40,0.426666667,0.437333333,noise
41,0.437333333,0.448,noise
42,0.448,0.458666667,noise
43,0.458666667,0.469333333,noise
44,0.469333333,0.48,noise
45,0.48,0.490666667,noise
46,0.490666667,0.501333333,noise
47,0.501333333,0.512,"drone, T1, noise"
48,0.512,0.522666667,"drone, T1, noise"
49,0.522666667,0.533333333,"drone, T1, noise"
50,0.533333333,0.544,"drone, T1, noise"
51,0.544,0.554666667,"drone, T1, noise"
52,0.554666667,0.565333333,"drone, T1, noise"
53,0.565333333,0.576,"drone, T1, noise"
54,0.576,0.586666667,"drone, T1, noise"
55,0.586666667,0.597333333,"drone, T1, noise"
56,0.597333333,0.608,"drone, T1, noise"
57,0.608,0.618666667,"drone, T1, noise"
58,0.618666667,0.629333333,"drone, T1, noise"
59,0.629333333,0.64,"drone, T1, noise"
60,0.64,0.650666667,"drone, T1, noise"
61,0.650666667,0.661333333,"drone, T1, noise"
62,0.661333333,0.672,"drone, T1, noise"
63,0.672,0.682666667,"drone, T1, noise"
64,0.682666667,0.693333333,"drone, T1, noise"
65,0.693333333,0.704,"drone, T1, noise"
66,0.704,0.714666667,"drone, T1, noise"
67,0.714666667,0.725333333,"drone, T1, noise"
68,0.725333333,0.736,"drone, T1, noise"
69,0.736,0.746666667,"drone, T1, noise"
70,0.746666667,0.757333333,"drone, T1, noise"
71,0.757333333,0.768,"drone, T1, noise"
72,0.768,0.778666667,"drone, T1, noise"
73,0.778666667,0.789333333,"drone, T1, noise"
74,0.789333333,0.8,"drone, T1, noise"
75,0.8,0.810666667,"drone, T1, noise"
76,0.810666667,0.821333333,"drone, T1, noise"
77,0.821333333,0.832,"drone, T1, noise"
78,0.832,0.842666667,"drone, T1, noise"
79,0.842666667,0.853333333,"drone, T1, noise"
80,0.853333333,0.864,"drone, T1, noise"
81,0.864,0.874666667,"drone, T1, noise"
82,0.874666667,0.885333333,"drone, T1, noise"
83,0.885333333,0.896,"drone, T1, noise"
84,0.896,0.906666667,"drone, T1, noise"
85,0.906666667,0.917333333,"drone, T1, noise"
86,0.917333333,0.928,"drone, T1, noise"
87,0.928,0.938666667,"drone, T1, noise"
88,0.938666667,0.949333333,"drone, T1, noise"
89,0.949333333,0.96,"drone, T1, noise"
90,0.96,0.970666667,"drone, T1, noise"
91,0.970666667,0.981333333,"drone, T1, noise"
92,0.981333333,0.992,"drone, T1, noise"
93,0.992,1.002666667,"drone, T1, noise"
94,1.002666667,1.013333333,"drone, T1, noise"
95,1.013333333,1.024,"drone, T1, noise"
96,1.024,1.034666667,"drone, T1, noise"
97,1.034666667,1.045333333,"drone, T1, noise"
98,1.045333333,1.056,"drone, T1, noise"
99,1.056,1.066666667,"drone, T1, noise"
100,1.066666667,1.077333333,"drone, T1, noise"
101,1.077333333,1.088,"drone, T1, noise"
102,1.088,1.098666667,"drone, T1, noise"
103,1.098666667,1.109333333,"drone, T1, noise"
104,1.109333333,1.12,"drone, T1, noise"
105,1.12,1.130666667,"drone, T1, noise"
106,1.130666667,1.141333333,"drone, T1, noise"
107,1.141333333,1.152,"drone, T1, noise"
108,1.152,1.162666667,"drone, T1, noise"
109,1.162666667,1.173333333,"drone, T1, noise"
110,1.173333333,1.184,"drone, T1, noise"
111,1.184,1.194666667,"drone, T1, noise"
112,1.194666667,1.205333333,"drone, T1, noise"
113,1.205333333,1.216,"drone, T1, noise"
114,1.216,1.226666667,"drone, T1, noise"
115,1.226666667,1.237333333,"drone, T1, noise"
116,1.237333333,1.248,"drone, T1, noise"
117,1.248,1.258666667,"drone, T1, noise"
118,1.258666667,1.269333333,"drone, T1, noise"
119,1.269333333,1.28,"drone, T1, noise"
120,1.28,1.290666667,"drone, T1, noise"
121,1.290666667,1.301333333,"drone, T1, noise"
122,1.301333333,1.312,"drone, T1, noise"
123,1.312,1.322666667,"drone, T1, noise"
124,1.322666667,1.333333333,"drone, T1, noise"
125,1.333333333,1.344,"drone, T1, noise"
126,1.344,1.354666667,"drone, T1, noise"
127,1.354666667,1.365333333,"drone, T1, noise"
128,1.365333333,1.376,"drone, T1, noise"
129,1.376,1.386666667,"drone, T1, noise"
130,1.386666667,1.397333333,"drone, T1, noise"
131,1.397333333,1.408,"drone, T1, noise"
132,1.408,1.418666667,"drone, T1, noise"
133,1.418666667,1.429333333,"drone, T1, noise"
134,1.429333333,1.44,"drone, T1, noise"
135,1.44,1.450666667,"drone, T1, noise"
136,1.450666667,1.461333333,"drone, T1, noise"
137,1.461333333,1.472,"T1, drone"
138,1.472,1.482666667,"T1, drone"
139,1.482666667,1.493333333,"T1, drone"
140,1.493333333,1.504,"T1, drone"
141,1.504,1.514666667,"T1, drone"
142,1.514666667,1.525333333,"T1, drone"
143,1.525333333,1.536,"T1, drone"
144,1.536,1.546666667,"T1, drone"
145,1.546666667,1.557333333,"T1, drone"
146,1.557333333,1.568,"T1, drone"
147,1.568,1.578666667,"T1, drone"
148,1.578666667,1.589333333,"T1, drone"
149,1.589333333,1.6,"T1, drone"
150,1.6,1.610666667,"T1, drone"
151,1.610666667,1.621333333,"T1, drone"
152,1.621333333,1.632,"T1, drone"
153,1.632,1.642666667,silence
154,1.642666667,1.653333333,silence
155,1.653333333,1.664,silence
156,1.664,1.674666667,silence
157,1.674666667,1.685333333,silence
158,1.685333333,1.696,silence
159,1.696,1.706666667,silence
160,1.706666667,1.717333333,silence
161,1.717333333,1.728,silence
162,1.728,1.738666667,silence
163,1.738666667,1.749333333,silence
164,1.749333333,1.76,silence
165,1.76,1.770666667,silence
166,1.770666667,1.781333333,silence
167,1.781333333,1.792,silence
168,1.792,1.802666667,silence
169,1.802666667,1.813333333,silence
170,1.813333333,1.824,silence
171,1.824,1.834666667,silence
172,1.834666667,1.845333333,silence
173,1.845333333,1.856,silence
174,1.856,1.866666667,silence
175,1.866666667,1.877333333,silence
176,1.877333333,1.888,silence
177,1.888,1.898666667,silence
178,1.898666667,1.909333333,silence
179,1.909333333,1.92,silence
180,1.92,1.930666667,silence
181,1.930666667,1.941333333,silence
182,1.941333333,1.952,silence
183,1.952,1.962666667,silence
184,1.962666667,1.973333333,silence
185,1.973333333,1.984,silence
186,1.984,1.994666667,silence
187,1.994666667,2.005333333,silence
188,2.005333333,2.016,silence
189,2.016,2.026666667,silence
190,2.026666667,2.037333333,silence
191,2.037333333,2.048,silence
192,2.048,2.058666667,silence
193,2.058666667,2.069333333,silence
194,2.069333333,2.08,silence
195,2.08,2.090666667,silence
196,2.090666667,2.101333333,silence
197,2.101333333,2.112,silence
198,2.112,2.122666667,silence
199,2.122666667,2.133333333,silence
200,2.133333333,2.144,silence
201,2.144,2.154666667,silence
202,2.154666667,2.165333333,silence
203,2.165333333,2.176,silence
204,2.176,2.186666667,silence
205,2.186666667,2.197333333,silence
206,2.197333333,2.208,silence
207,2.208,2.218666667,silence
208,2.218666667,2.229333333,silence
209,2.229333333,2.24,silence
210,2.24,2.250666667,silence
211,2.250666667,2.261333333,silence
212,2.261333333,2.272,silence
213,2.272,2.282666667,silence
214,2.282666667,2.293333333,silence
215,2.293333333,2.304,silence
216,2.304,2.314666667,silence
217,2.314666667,2.325333333,silence
218,2.325333333,2.336,silence
219,2.336,2.346666667,silence
220,2.346666667,2.357333333,silence
221,2.357333333,2.368,silence
222,2.368,2.378666667,silence
223,2.378666667,2.389333333,silence
224,2.389333333,2.4,silence
225,2.4,2.410666667,silence
