frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,noise
13,0.138666667,0.149333333,noise
14,0.149333333,0.16,noise
15,0.16,0.170666667,noise
16,0.170666667,0.181333333,noise
17,0.181333333,0.192,noise
18,0.192,0.202666667,noise
19,0.202666667,0.213333333,noise
20,0.213333333,0.224,noise
21,0.224,0.234666667,noise
22,0.234666667,0.245333333,noise
23,0.245333333,0.256,noise
24,0.256,0.266666667,noise
25,0.266666667,0.277333333,noise
26,0.277333333,0.288,noise
27,0.288,0.298666667,noise
28,0.298666667,0.309333333,noise
29,0.309333333,0.32,noise
30,0.32,0.330666667,noise
31,0.330666667,0.341333333,noise
32,0.341333333,0.352,noise
33,0.352,0.362666667,noise
34,0.362666667,0.373333333,"T2, noise, drone"
35,0.373333333,0.384,"T2, noise, drone"
36,0.384,0.394666667,"T2, noise, drone"
37,0.394666667,0.405333333,"T2, noise, drone"
38,0.405333333,0.416,"T2, noise, drone"
39,0.416,0.426666667,"T2, noise, drone"
40,0.426666667,0.437333333,"T2, noise, drone"
41,0.437333333,0.448,"T2, noise, drone"
42,0.448,0.458666667,"T2, noise, drone"
43,0.458666667,0.469333333,"T2, noise, drone"
44,0.469333333,0.48,"T2, noise, drone"
45,0.48,0.490666667,"T2, noise, drone"
46,0.490666667,0.501333333,"T2, noise, drone"
47,0.501333333,0.512,"T2, noise, drone"
48,0.512,0.522666667,"T2, noise, drone"
49,0.522666667,0.533333333,"T2, noise, drone"
50,0.533333333,0.544,"T2, noise, drone"
51,0.544,0.554666667,"T2, noise, drone"
52,0.554666667,0.565333333,"T2, noise, drone"
53,0.565333333,0.576,"T2, noise, drone"
54,0.576,0.586666667,"T2, noise, drone"
55,0.586666667,0.597333333,"T2, noise, drone"
56,0.597333333,0.608,"T2, noise, drone"
57,0.608,0.618666667,"T2, noise, drone"
58,0.618666667,0.629333333,"T2, noise, drone"
59,0.629333333,0.64,"T2, noise, drone"
60,0.64,0.650666667,"T2, noise, drone"
61,0.650666667,0.661333333,"T2, noise, drone"
62,0.661333333,0.672,"T2, noise, drone"
63,0.672,0.682666667,"T2, noise, drone"
64,0.682666667,0.693333333,"T2, noise, drone"
65,0.693333333,0.704,"T2, noise, drone"
66,0.704,0.714666667,"T2, noise, drone"
67,0.714666667,0.725333333,"T2, noise, drone"
68,0.725333333,0.736,"T2, noise, drone"
69,0.736,0.746666667,"T2, noise, drone"
70,0.746666667,0.757333333,"T2, noise, drone"
71,0.757333333,0.768,"T2, noise, drone"
72,0.768,0.778666667,"T2, noise, drone"
73,0.778666667,0.789333333,"T2, noise, drone"
74,0.789333333,0.8,"T2, noise, drone"
75,0.8,0.810666667,"T2, noise, drone"
76,0.810666667,0.821333333,"T2, noise, drone"
77,0.821333333,0.832,"T2, noise, drone"
78,0.832,0.842666667,"T2, noise, drone"
79,0.842666667,0.853333333,"T2, noise, drone"
80,0.853333333,0.864,"T2, noise, drone"
81,0.864,0.874666667,"T2, noise, drone"
82,0.874666667,0.885333333,"T2, noise, drone"
83,0.885333333,0.896,"T2, noise, drone"
84,0.896,0.906666667,"T2, noise, drone"
85,0.906666667,0.917333333,"T2, noise, drone"
86,0.917333333,0.928,"T2, noise, drone"
87,0.928,0.938666667,"T2, noise, drone"
88,0.938666667,0.949333333,"T2, noise, drone"
89,0.949333333,0.96,"T2, noise, drone"
90,0.96,0.970666667,"T2, noise, drone"
91,0.970666667,0.981333333,"T2, noise, drone"
92,0.981333333,0.992,"T2, noise, drone"
93,0.992,1.002666667,"T2, noise, drone"
94,1.002666667,1.013333333,"T2, noise, drone"
95,1.013333333,1.024,"T2, noise, drone"
96,1.024,1.034666667,"T2, noise, drone"
97,1.034666667,1.045333333,"T2, noise, drone"
98,1.045333333,1.056,"T2, noise, drone"
99,1.056,1.066666667,"T2, noise, drone"
100,1.066666667,1.077333333,"T2, noise, drone"
101,1.077333333,1.088,"T2, noise, drone"
102,1.088,1.098666667,"T2, noise, drone"
103,1.098666667,1.109333333,"T2, noise, drone"
104,1.109333333,1.12,"T2, noise, drone"
105,1.12,1.130666667,"T2, noise, drone"
106,1.130666667,1.141333333,"T2, noise, drone"
107,1.141333333,1.152,"T2, noise, drone"
108,1.152,1.162666667,"T2, noise, drone"
109,1.162666667,1.173333333,"T2, noise, drone"
110,1.173333333,1.184,"T2, noise, drone"
111,1.184,1.194666667,"T2, noise, drone"
112,1.194666667,1.205333333,"T2, noise, drone"
113,1.205333333,1.216,"T2, noise, drone"
114,1.216,1.226666667,"T2, noise, drone"
115,1.226666667,1.237333333,"T2, noise, drone"
116,1.237333333,1.248,"T2, noise, drone"
117,1.248,1.258666667,"T2, noise, drone"
118,1.258666667,1.269333333,"T2, noise, drone"
119,1.269333333,1.28,"T2, noise, drone"
120,1.28,1.290666667,"T2, drone"
121,1.290666667,1.301333333,"T2, drone"
122,1.301333333,1.312,"T2, drone"
123,1.312,1.322666667,"T2, drone"
124,1.322666667,1.333333333,"T2, drone"
125,1.333333333,1.344,"T2, drone"
126,1.344,1.354666667,"T2, drone"
127,1.354666667,1.365333333,"T2, drone"
128,1.365333333,1.376,"T2, drone"
129,1.376,1.386666667,"T2, drone"
130,1.386666667,1.397333333,"T2, drone"
131,1.397333333,1.408,"T2, drone"
132,1.408,1.418666667,"T2, drone"
133,1.418666667,1.429333333,"T2, drone"
134,1.429333333,1.44,"T2, drone"
135,1.44,1.450666667,silence
136,1.450666667,1.461333333,silence
137,1.461333333,1.472,silence
138,1.472,1.482666667,silence
139,1.482666667,1.493333333,silence
140,1.493333333,1.504,silence
141,1.504,1.514666667,silence
142,1.514666667,1.525333333,silence
143,1.525333333,1.536,silence
144,1.536,1.546666667,noise
145,1.546666667,1.557333333,noise
146,1.557333333,1.568,noise
147,1.568,1.578666667,noise
148,1.578666667,1.589333333,noise
149,1.589333333,1.6,noise
150,1.6,1.610666667,noise
151,1.610666667,1.621333333,noise
152,1.621333333,1.632,noise
153,1.632,1.642666667,noise
154,1.642666667,1.653333333,noise
155,1.653333333,1.664,noise
156,1.664,1.674666667,noise
157,1.674666667,1.685333333,noise
158,1.685333333,1.696,noise
159,1.696,1.706666667,noise
160,1.706666667,1.717333333,noise
161,1.717333333,1.728,noise
162,1.728,1.738666667,noise
163,1.738666667,1.749333333,noise
164,1.749333333,1.76,noise
165,1.76,1.770666667,noise
166,1.770666667,1.781333333,noise
167,1.781333333,1.792,noise
168,1.792,1.802666667,noise
169,1.802666667,1.813333333,noise
170,1.813333333,1.824,noise
171,1.824,1.834666667,noise
172,1.834666667,1.845333333,noise
173,1.845333333,1.856,noise
174,1.856,1.866666667,noise
175,1.866666667,1.877333333,noise
176,1.877333333,1.888,noise
177,1.888,1.898666667,noise
178,1.898666667,1.909333333,noise
179,1.909333333,1.92,noise
180,1.92,1.930666667,noise
181,1.930666667,1.941333333,noise
182,1.941333333,1.952,noise
183,1.952,1.962666667,noise
184,1.962666667,1.973333333,noise
