frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,"drone, T3"
16,0.170666667,0.181333333,"drone, T3"
17,0.181333333,0.192,"drone, T3"
18,0.192,0.202666667,"drone, T3"
19,0.202666667,0.213333333,"drone, T3"
20,0.213333333,0.224,"drone, T3"
21,0.224,0.234666667,"drone, T3"
22,0.234666667,0.245333333,"drone, T3"
23,0.245333333,0.256,"drone, T3"
24,0.256,0.266666667,"drone, T3"
25,0.266666667,0.277333333,"drone, T3"
26,0.277333333,0.288,"drone, T3"
27,0.288,0.298666667,"drone, T3"
28,0.298666667,0.309333333,"drone, T3"
29,0.309333333,0.32,"drone, T3"
30,0.32,0.330666667,"drone, T3"
31,0.330666667,0.341333333,"drone, T3"
32,0.341333333,0.352,"drone, T3"
33,0.352,0.362666667,"drone, T3"
34,0.362666667,0.373333333,"drone, T3"
35,0.373333333,0.384,"drone, T3"
36,0.384,0.394666667,"drone, T3"
37,0.394666667,0.405333333,"drone, T3"
38,0.405333333,0.416,"drone, T3"
39,0.416,0.426666667,"drone, T3"
40,0.426666667,0.437333333,"drone, T3"
41,0.437333333,0.448,"drone, T3"
42,0.448,0.458666667,"drone, T3"
43,0.458666667,0.469333333,"drone, T3"
44,0.469333333,0.48,"drone, T3"
45,0.48,0.490666667,"drone, T3"
46,0.490666667,0.501333333,"drone, T3"
47,0.501333333,0.512,"drone, T3"
48,0.512,0.522666667,"drone, T3"
49,0.522666667,0.533333333,"drone, T3"
50,0.533333333,0.544,"drone, T3"
51,0.544,0.554666667,"drone, T3"
52,0.554666667,0.565333333,"drone, T3"
53,0.565333333,0.576,"drone, T3"
54,0.576,0.586666667,"drone, T3"
55,0.586666667,0.597333333,"drone, T3"
56,0.597333333,0.608,"drone, T3"
57,0.608,0.618666667,"drone, T3"
58,0.618666667,0.629333333,"drone, T3"
59,0.629333333,0.64,"drone, T3"
60,0.64,0.650666667,"drone, T3"
61,0.650666667,0.661333333,"drone, T3"
62,0.661333333,0.672,"drone, T3"
63,0.672,0.682666667,"drone, T3"
64,0.682666667,0.693333333,"drone, T3"
65,0.693333333,0.704,"drone, T3"
66,0.704,0.714666667,"drone, T3"
67,0.714666667,0.725333333,"drone, T3"
68,0.725333333,0.736,"drone, T3"
69,0.736,0.746666667,"drone, T3"
70,0.746666667,0.757333333,"drone, T3"
71,0.757333333,0.768,"drone, T3"
72,0.768,0.778666667,"drone, T3"
73,0.778666667,0.789333333,"drone, T3"
74,0.789333333,0.8,"drone, T3"
75,0.8,0.810666667,"drone, T3"
76,0.810666667,0.821333333,"drone, T3"
77,0.821333333,0.832,"drone, T3"
78,0.832,0.842666667,"drone, T3"
79,0.842666667,0.853333333,"drone, T3"
80,0.853333333,0.864,"drone, T3"
81,0.864,0.874666667,"drone, T3"
82,0.874666667,0.885333333,"drone, T3"
83,0.885333333,0.896,"drone, T3"
84,0.896,0.906666667,"drone, T3"
85,0.906666667,0.917333333,"drone, T3"
86,0.917333333,0.928,"drone, T3"
87,0.928,0.938666667,"drone, T3"
88,0.938666667,0.949333333,"drone, T3"
89,0.949333333,0.96,"drone, T3"
90,0.96,0.970666667,"drone, T3"
91,0.970666667,0.981333333,"drone, T3"
92,0.981333333,0.992,"drone, T3"
93,0.992,1.002666667,"drone, T3"
94,1.002666667,1.013333333,"drone, T3"
95,1.013333333,1.024,"drone, T3"
96,1.024,1.034666667,"drone, T3"
97,1.034666667,1.045333333,"drone, T3"
98,1.045333333,1.056,"drone, T3"
99,1.056,1.066666667,"drone, T3"
100,1.066666667,1.077333333,"drone, T3"
101,1.077333333,1.088,"drone, T3"
102,1.088,1.098666667,"drone, T3"
103,1.098666667,1.109333333,"drone, T3"
104,1.109333333,1.12,"drone, T3"
105,1.12,1.130666667,"drone, T3"
106,1.130666667,1.141333333,"drone, T3"
107,1.141333333,1.152,"drone, T3"
108,1.152,1.162666667,"drone, T3"
109,1.162666667,1.173333333,"drone, T3"
110,1.173333333,1.184,"drone, T3"
111,1.184,1.194666667,"drone, T3"
112,1.194666667,1.205333333,"drone, T3"
113,1.205333333,1.216,"drone, T3"
114,1.216,1.226666667,"drone, T3"
115,1.226666667,1.237333333,"drone, T3"
116,1.237333333,1.248,"drone, T3"
117,1.248,1.258666667,"drone, T3"
118,1.258666667,1.269333333,"drone, T3"
119,1.269333333,1.28,"drone, T3"
120,1.28,1.290666667,"drone, T3"
121,1.290666667,1.301333333,"drone, T3"
122,1.301333333,1.312,"drone, T3"
123,1.312,1.322666667,"drone, T3"
124,1.322666667,1.333333333,"drone, T3"
125,1.333333333,1.344,"drone, T3"
126,1.344,1.354666667,"drone, T3"
127,1.354666667,1.365333333,"drone, T3"
128,1.365333333,1.376,"drone, T3"
129,1.376,1.386666667,"drone, T3"
130,1.386666667,1.397333333,"drone, T3"
131,1.397333333,1.408,"drone, T3"
132,1.408,1.418666667,"drone, T3"
133,1.418666667,1.429333333,"drone, T3"
134,1.429333333,1.44,"drone, T3"
135,1.44,1.450666667,"drone, T3"
136,1.450666667,1.461333333,"drone, T3"
137,1.461333333,1.472,"drone, T3"
138,1.472,1.482666667,"drone, T3"
139,1.482666667,1.493333333,"drone, T3"
140,1.493333333,1.504,"drone, T3"
141,1.504,1.514666667,"drone, T3"
142,1.514666667,1.525333333,"drone, T3"
143,1.525333333,1.536,"drone, T3"
144,1.536,1.546666667,"drone, T3"
145,1.546666667,1.557333333,"drone, T3"
146,1.557333333,1.568,"drone, T3"
147,1.568,1.578666667,"drone, T3"
148,1.578666667,1.589333333,"drone, T3"
149,1.589333333,1.6,"drone, T3"
150,1.6,1.610666667,"drone, T3"
151,1.610666667,1.621333333,"drone, T3"
152,1.621333333,1.632,"drone, T3"
153,1.632,1.642666667,"drone, T3"
154,1.642666667,1.653333333,"drone, T3"
155,1.653333333,1.664,"drone, T3"
156,1.664,1.674666667,"drone, T3"
157,1.674666667,1.685333333,"drone, T3"
158,1.685333333,1.696,"drone, T3"
159,1.696,1.706666667,"drone, T3"
160,1.706666667,1.717333333,"drone, T3"
161,1.717333333,1.728,"drone, T3"
162,1.728,1.738666667,"drone, T3"
163,1.738666667,1.749333333,"drone, T3"
164,1.749333333,1.76,"drone, T3"
165,1.76,1.770666667,"drone, T3"
166,1.770666667,1.781333333,"drone, T3"
167,1.781333333,1.792,"drone, T3"
168,1.792,1.802666667,"drone, T3"
169,1.802666667,1.813333333,"drone, T3"
170,1.813333333,1.824,"drone, T3"
171,1.824,1.834666667,"drone, T3"
172,1.834666667,1.845333333,"drone, T3"
173,1.845333333,1.856,"drone, T3"
174,1.856,1.866666667,"drone, T3"
175,1.866666667,1.877333333,"drone, T3"
176,1.877333333,1.888,"drone, T3"
177,1.888,1.898666667,"drone, T3"
178,1.898666667,1.909333333,"drone, T3"
179,1.909333333,1.92,"drone, T3"
180,1.92,1.930666667,"drone, T3"
181,1.930666667,1.941333333,"drone, T3"
182,1.941333333,1.952,"drone, T3"
183,1.952,1.962666667,"drone, T3"
184,1.962666667,1.973333333,"drone, T3"
185,1.973333333,1.984,"drone, T3"
186,1.984,1.994666667,"drone, T3"
187,1.994666667,2.005333333,"drone, T3"
188,2.005333333,2.016,"drone, T3"
189,2.016,2.026666667,"drone, T3"
190,2.026666667,2.037333333,"drone, T3"
191,2.037333333,2.048,"drone, T3"
192,2.048,2.058666667,"drone, T3"
193,2.058666667,2.069333333,"drone, T3"
194,2.069333333,2.08,"drone, T3"
195,2.08,2.090666667,"drone, T3"
196,2.090666667,2.101333333,"drone, T3"
197,2.101333333,2.112,"drone, T3"
198,2.112,2.122666667,"drone, T3"
199,2.122666667,2.133333333,"drone, T3"
200,2.133333333,2.144,"drone, T3"
201,2.144,2.154666667,"drone, T3"
202,2.154666667,2.165333333,"drone, T3"
203,2.165333333,2.176,"drone, T3"
204,2.176,2.186666667,"drone, T3"
205,2.186666667,2.197333333,"drone, T3"
206,2.197333333,2.208,"drone, T3"
207,2.208,2.218666667,"drone, T3"
208,2.218666667,2.229333333,"drone, T3"
209,2.229333333,2.24,"drone, T3"
210,2.24,2.250666667,"drone, T3"
211,2.250666667,2.261333333,"drone, T3"
212,2.261333333,2.272,"drone, T3"
213,2.272,2.282666667,"drone, T3"
214,2.282666667,2.293333333,"drone, T3"
215,2.293333333,2.304,"drone, T3"
216,2.304,2.314666667,"drone, T3"
217,2.314666667,2.325333333,"drone, T3"
218,2.325333333,2.336,"drone, T3"
219,2.336,2.346666667,"drone, T3"
220,2.346666667,2.357333333,"drone, T3"
221,2.357333333,2.368,"drone, T3"
222,2.368,2.378666667,"drone, T3"
223,2.378666667,2.389333333,"drone, T3"
224,2.389333333,2.4,"drone, T3"
225,2.4,2.410666667,"drone, T3"
226,2.410666667,2.421333333,"drone, T3"
227,2.421333333,2.432,"drone, T3"
228,2.432,2.442666667,"drone, T3"
229,2.442666667,2.453333333,"drone, T3"
230,2.453333333,2.464,"drone, T3"
231,2.464,2.474666667,"drone, T3"
232,2.474666667,2.485333333,"drone, T3"
233,2.485333333,2.496,"drone, T3"
234,2.496,2.506666667,"drone, T3"
235,2.506666667,2.517333333,"drone, T3"
236,2.517333333,2.528,"drone, T3"
237,2.528,2.538666667,"drone, T3"
238,2.538666667,2.549333333,"drone, T3"
239,2.549333333,2.56,"drone, T3"
240,2.56,2.570666667,"drone, T3"
241,2.570666667,2.581333333,"drone, T3"
242,2.581333333,2.592,"drone, T3"
243,2.592,2.602666667,"drone, T3"
244,2.602666667,2.613333333,"drone, T3"
245,2.613333333,2.624,"drone, T3"
246,2.624,2.634666667,"drone, T3"
247,2.634666667,2.645333333,"drone, T3"
248,2.645333333,2.656,"drone, T3"
249,2.656,2.666666667,"drone, T3"
250,2.666666667,2.677333333,"drone, T3"
251,2.677333333,2.688,"drone, T3"
252,2.688,2.698666667,"drone, T3"
253,2.698666667,2.709333333,"drone, T3"
254,2.709333333,2.72,"drone, T3"
255,2.72,2.730666667,"drone, T3"
256,2.730666667,2.741333333,"drone, T3"
257,2.741333333,2.752,"drone, T3"
258,2.752,2.762666667,"drone, T3"
259,2.762666667,2.773333333,"drone, T3"
260,2.773333333,2.784,"drone, T3"
261,2.784,2.794666667,"drone, T3"
262,2.794666667,2.805333333,"drone, T3"
263,2.805333333,2.816,"drone, T3"
264,2.816,2.826666667,"drone, T3"
265,2.826666667,2.837333333,"drone, T3"
266,2.837333333,2.848,"drone, T3"
267,2.848,2.858666667,"drone, T3"
268,2.858666667,2.869333333,"drone, T3"
269,2.869333333,2.88,"drone, T3"
270,2.88,2.890666667,"drone, T3"
271,2.890666667,2.901333333,"drone, T3"
272,2.901333333,2.912,"drone, T3"
273,2.912,2.922666667,"drone, T3"
274,2.922666667,2.933333333,"drone, T3"
275,2.933333333,2.944,"drone, T3"
276,2.944,2.954666667,"drone, T3"
277,2.954666667,2.965333333,"drone, T3"
278,2.965333333,2.976,"drone, T3"
279,2.976,2.986666667,"drone, T3"
280,2.986666667,2.997333333,"drone, T3"
281,2.997333333,3.008,"drone, T3"
282,3.008,3.018666667,"drone, T3"
283,3.018666667,3.029333333,"drone, T3"
284,3.029333333,3.04,"drone, T3"
285,3.04,3.050666667,"drone, T3"
286,3.050666667,3.061333333,"drone, T3"
287,3.061333333,3.072,"drone, T3"
288,3.072,3.082666667,"drone, T3"
289,3.082666667,3.093333333,"drone, T3"
290,3.093333333,3.104,"drone, T3"
291,3.104,3.114666667,"drone, T3"
292,3.114666667,3.125333333,"drone, T3"
293,3.125333333,3.136,"drone, T3"
294,3.136,3.146666667,"drone, T3"
295,3.146666667,3.157333333,"drone, T3"
296,3.157333333,3.168,"drone, T3"
297,3.168,3.178666667,"drone, T3"
298,3.178666667,3.189333333,"drone, T3"
299,3.189333333,3.2,"drone, T3"
300,3.2,3.210666667,"drone, T3"
301,3.210666667,3.221333333,"drone, T3"
302,3.221333333,3.232,"drone, T3"
303,3.232,3.242666667,"drone, T3"
304,3.242666667,3.253333333,"drone, T3"
305,3.253333333,3.264,"drone, T3"
306,3.264,3.274666667,"drone, T3"
307,3.274666667,3.285333333,"drone, T3"
308,3.285333333,3.296,"drone, T3"
309,3.296,3.306666667,"drone, T3"
310,3.306666667,3.317333333,"drone, T3"
311,3.317333333,3.328,"drone, T3"
312,3.328,3.338666667,"drone, T3"
313,3.338666667,3.349333333,"drone, T3"
314,3.349333333,3.36,"drone, T3"
315,3.36,3.370666667,"drone, T3"
316,3.370666667,3.381333333,"drone, T3"
317,3.381333333,3.392,"drone, T3"
318,3.392,3.402666667,"drone, T3"
319,3.402666667,3.413333333,"drone, T3"
320,3.413333333,3.424,"drone, T3"
321,3.424,3.434666667,"drone, T3"
322,3.434666667,3.445333333,"drone, T3"
323,3.445333333,3.456,"drone, T3"
324,3.456,3.466666667,"drone, T3"
325,3.466666667,3.477333333,"drone, T3"
326,3.477333333,3.488,"drone, T3"
327,3.488,3.498666667,"drone, T3"
328,3.498666667,3.509333333,"drone, T3"
329,3.509333333,3.52,"drone, T3"
330,3.52,3.530666667,"drone, T3"
331,3.530666667,3.541333333,"drone, T3"
332,3.541333333,3.552,"drone, T3"
333,3.552,3.562666667,"drone, T3"
334,3.562666667,3.573333333,"drone, T3"
335,3.573333333,3.584,"drone, T3"
336,3.584,3.594666667,"drone, T3"
337,3.594666667,3.605333333,"drone, T3"
338,3.605333333,3.616,"drone, T3"
339,3.616,3.626666667,"drone, T3"
340,3.626666667,3.637333333,"drone, T3"
341,3.637333333,3.648,"drone, T3"
342,3.648,3.658666667,"drone, T3"
343,3.658666667,3.669333333,"drone, T3"
344,3.669333333,3.68,"drone, T3"
345,3.68,3.690666667,"drone, T3"
346,3.690666667,3.701333333,"drone, T3"
347,3.701333333,3.712,"drone, T3"
348,3.712,3.722666667,"drone, T3"
349,3.722666667,3.733333333,"drone, T3"
350,3.733333333,3.744,"drone, T3"
351,3.744,3.754666667,"drone, T3"
352,3.754666667,3.765333333,"drone, T3"
353,3.765333333,3.776,"drone, T3"
354,3.776,3.786666667,"drone, T3"
355,3.786666667,3.797333333,"drone, T3"
356,3.797333333,3.808,"drone, T3"
357,3.808,3.818666667,"drone, T3"
358,3.818666667,3.829333333,"drone, T3"
359,3.829333333,3.84,"drone, T3"
360,3.84,3.850666667,"drone, T3"
361,3.850666667,3.861333333,"drone, T3"
362,3.861333333,3.872,"drone, T3"
363,3.872,3.882666667,"drone, T3"
364,3.882666667,3.893333333,"drone, T3"
365,3.893333333,3.904,"drone, T3"
366,3.904,3.914666667,"drone, T3"
367,3.914666667,3.925333333,"drone, T3"
368,3.925333333,3.936,"drone, T3"
369,3.936,3.946666667,"drone, T3"
370,3.946666667,3.957333333,"drone, T3"
371,3.957333333,3.968,"drone, T3"
372,3.968,3.978666667,"drone, T3"
373,3.978666667,3.989333333,"drone, T3"
374,3.989333333,4,"drone, T3"
375,4,4.010666667,"drone, T3"
376,4.010666667,4.021333333,"drone, T3"
377,4.021333333,4.032,"drone, T3"
378,4.032,4.042666667,"drone, T3"
379,4.042666667,4.053333333,"drone, T3"
380,4.053333333,4.064,"drone, T3"
381,4.064,4.074666667,"drone, T3"
382,4.074666667,4.085333333,"drone, T3"
383,4.085333333,4.096,"drone, T3"
384,4.096,4.106666667,"drone, T3"
385,4.106666667,4.117333333,"drone, T3"
386,4.117333333,4.128,"drone, T3"
387,4.128,4.138666667,"drone, T3"
388,4.138666667,4.149333333,"drone, T3"
389,4.149333333,4.16,"drone, T3"
390,4.16,4.170666667,"drone, T3"
391,4.170666667,4.181333333,"drone, T3"
392,4.181333333,4.192,"drone, T3"
393,4.192,4.202666667,"drone, T3"
394,4.202666667,4.213333333,"drone, T3"
395,4.213333333,4.224,"drone, T3"
396,4.224,4.234666667,"drone, T3"
397,4.234666667,4.245333333,"drone, T3"
398,4.245333333,4.256,"drone, T3"
399,4.256,4.266666667,"drone, T3"
400,4.266666667,4.277333333,"drone, T3"
401,4.277333333,4.288,"drone, T3"
402,4.288,4.298666667,"drone, T3"
403,4.298666667,4.309333333,"drone, T3"
404,4.309333333,4.32,"drone, T3"
405,4.32,4.330666667,"drone, T3"
406,4.330666667,4.341333333,"drone, T3"
407,4.341333333,4.352,"drone, T3"
408,4.352,4.362666667,"drone, T3"
409,4.362666667,4.373333333,"drone, T3"
410,4.373333333,4.384,"drone, T3"
411,4.384,4.394666667,"drone, T3"
412,4.394666667,4.405333333,"drone, T3"
413,4.405333333,4.416,"drone, T3"
414,4.416,4.426666667,"drone, T3"
415,4.426666667,4.437333333,"drone, T3"
416,4.437333333,4.448,"drone, T3"
417,4.448,4.458666667,"drone, T3"
418,4.458666667,4.469333333,"drone, T3"
419,4.469333333,4.48,"drone, T3"
420,4.48,4.490666667,"drone, T3"
421,4.490666667,4.501333333,"drone, T3"
422,4.501333333,4.512,"drone, T3"
423,4.512,4.522666667,"drone, T3"
424,4.522666667,4.533333333,"drone, T3"
425,4.533333333,4.544,"drone, T3"
426,4.544,4.554666667,"drone, T3"
427,4.554666667,4.565333333,"drone, T3"
428,4.565333333,4.576,"drone, T3"
429,4.576,4.586666667,"drone, T3"
430,4.586666667,4.597333333,"drone, T3"
431,4.597333333,4.608,"drone, T3"
432,4.608,4.618666667,"drone, T3"
433,4.618666667,4.629333333,"drone, T3"
434,4.629333333,4.64,"drone, T3"
435,4.64,4.650666667,"drone, T3"
436,4.650666667,4.661333333,"drone, T3"
437,4.661333333,4.672,"drone, T3"
438,4.672,4.682666667,"drone, T3"
439,4.682666667,4.693333333,"drone, T3"
440,4.693333333,4.704,"drone, T3"
441,4.704,4.714666667,"drone, T3"
442,4.714666667,4.725333333,"drone, T3"
443,4.725333333,4.736,"drone, T3"
444,4.736,4.746666667,"drone, T3"
445,4.746666667,4.757333333,"drone, T3"
446,4.757333333,4.768,"drone, T3"
447,4.768,4.778666667,"drone, T3"
448,4.778666667,4.789333333,"drone, T3"
449,4.789333333,4.8,"drone, T3"
450,4.8,4.810666667,"drone, T3"
451,4.810666667,4.821333333,"drone, T3"
452,4.821333333,4.832,"drone, T3"
453,4.832,4.842666667,"drone, T3"
454,4.842666667,4.853333333,"drone, T3"
455,4.853333333,4.864,"drone, T3"
456,4.864,4.874666667,"drone, T3"
457,4.874666667,4.885333333,"drone, T3"
458,4.885333333,4.896,"drone, T3"
459,4.896,4.906666667,"drone, T3"
460,4.906666667,4.917333333,"drone, T3"
461,4.917333333,4.928,"drone, T3"
462,4.928,4.938666667,"drone, T3"
463,4.938666667,4.949333333,"drone, T3"
464,4.949333333,4.96,"drone, T3"
465,4.96,4.970666667,"drone, T3"
466,4.970666667,4.981333333,"drone, T3"
467,4.981333333,4.992,"drone, T3"
468,4.992,5.002666667,"drone, T3"
469,5.002666667,5.013333333,"drone, T3"
470,5.013333333,5.024,"drone, T3"
471,5.024,5.034666667,"drone, T3"
472,5.034666667,5.045333333,"drone, T3"
473,5.045333333,5.056,"drone, T3"
474,5.056,5.066666667,"drone, T3"
475,5.066666667,5.077333333,"drone, T3"
476,5.077333333,5.088,"drone, T3"
477,5.088,5.098666667,"drone, T3"
478,5.098666667,5.109333333,"drone, T3"
479,5.109333333,5.12,"drone, T3"
480,5.12,5.130666667,"drone, T3"
481,5.130666667,5.141333333,"drone, T3"
482,5.141333333,5.152,"drone, T3"
483,5.152,5.162666667,"drone, T3"
484,5.162666667,5.173333333,"drone, T3"
485,5.173333333,5.184,"drone, T3"
486,5.184,5.194666667,"drone, T3"
487,5.194666667,5.205333333,"drone, T3"
488,5.205333333,5.216,"drone, T3"
489,5.216,5.226666667,"drone, T3"
490,5.226666667,5.237333333,"drone, T3"
491,5.237333333,5.248,"drone, T3"
492,5.248,5.258666667,"drone, T3"
493,5.258666667,5.269333333,"drone, T3"
494,5.269333333,5.28,"drone, T3"
495,5.28,5.290666667,"drone, T3"
496,5.290666667,5.301333333,"drone, T3"
497,5.301333333,5.312,"drone, T3"
