frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,drone
3,0.032,0.042666667,drone
4,0.042666667,0.053333333,drone
5,0.053333333,0.064,drone
6,0.064,0.074666667,drone
7,0.074666667,0.085333333,drone
8,0.085333333,0.096,drone
9,0.096,0.106666667,drone
10,0.106666667,0.117333333,drone
11,0.117333333,0.128,drone
12,0.128,0.138666667,drone
13,0.138666667,0.149333333,drone
14,0.149333333,0.16,drone
15,0.16,0.170666667,drone
16,0.170666667,0.181333333,drone
17,0.181333333,0.192,drone
18,0.192,0.202666667,drone
19,0.202666667,0.213333333,drone
20,0.213333333,0.224,drone
21,0.224,0.234666667,drone
22,0.234666667,0.245333333,drone
23,0.245333333,0.256,drone
24,0.256,0.266666667,drone
25,0.266666667,0.277333333,drone
26,0.277333333,0.288,drone
27,0.288,0.298666667,drone
28,0.298666667,0.309333333,drone
29,0.309333333,0.32,drone
30,0.32,0.330666667,drone
31,0.330666667,0.341333333,drone
32,0.341333333,0.352,drone
33,0.352,0.362666667,drone
34,0.362666667,0.373333333,drone
35,0.373333333,0.384,drone
36,0.384,0.394666667,drone
37,0.394666667,0.405333333,drone
38,0.405333333,0.416,drone
39,0.416,0.426666667,drone
40,0.426666667,0.437333333,drone
41,0.437333333,0.448,drone
42,0.448,0.458666667,drone
43,0.458666667,0.469333333,drone
44,0.469333333,0.48,drone
45,0.48,0.490666667,drone
46,0.490666667,0.501333333,drone
47,0.501333333,0.512,drone
48,0.512,0.522666667,drone
49,0.522666667,0.533333333,drone
50,0.533333333,0.544,drone
51,0.544,0.554666667,drone
52,0.554666667,0.565333333,drone
53,0.565333333,0.576,drone
54,0.576,0.586666667,drone
55,0.586666667,0.597333333,drone
56,0.597333333,0.608,drone
57,0.608,0.618666667,drone
58,0.618666667,0.629333333,drone
59,0.629333333,0.64,drone
60,0.64,0.650666667,drone
61,0.650666667,0.661333333,drone
62,0.661333333,0.672,drone
63,0.672,0.682666667,drone
64,0.682666667,0.693333333,drone
65,0.693333333,0.704,drone
66,0.704,0.714666667,drone
67,0.714666667,0.725333333,drone
68,0.725333333,0.736,drone
69,0.736,0.746666667,drone
70,0.746666667,0.757333333,drone
71,0.757333333,0.768,drone
72,0.768,0.778666667,drone
73,0.778666667,0.789333333,drone
74,0.789333333,0.8,drone
75,0.8,0.810666667,drone
76,0.810666667,0.821333333,silence
77,0.821333333,0.832,silence
78,0.832,0.842666667,silence
79,0.842666667,0.853333333,silence
80,0.853333333,0.864,silence
81,0.864,0.874666667,silence
82,0.874666667,0.885333333,silence
83,0.885333333,0.896,silence
84,0.896,0.906666667,silence
85,0.906666667,0.917333333,silence
86,0.917333333,0.928,silence
87,0.928,0.938666667,silence
88,0.938666667,0.949333333,silence
89,0.949333333,0.96,silence
90,0.96,0.970666667,silence
91,0.970666667,0.981333333,silence
92,0.981333333,0.992,silence
93,0.992,1.002666667,silence
94,1.002666667,1.013333333,silence
95,1.013333333,1.024,silence
96,1.024,1.034666667,silence
97,1.034666667,1.045333333,silence
98,1.045333333,1.056,silence
