frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,silence
16,0.170666667,0.181333333,silence
17,0.181333333,0.192,silence
18,0.192,0.202666667,silence
19,0.202666667,0.213333333,silence
20,0.213333333,0.224,silence
21,0.224,0.234666667,silence
22,0.234666667,0.245333333,silence
23,0.245333333,0.256,silence
24,0.256,0.266666667,silence
25,0.266666667,0.277333333,silence
26,0.277333333,0.288,silence
27,0.288,0.298666667,silence
28,0.298666667,0.309333333,silence
29,0.309333333,0.32,silence
30,0.32,0.330666667,silence
31,0.330666667,0.341333333,silence
32,0.341333333,0.352,silence
33,0.352,0.362666667,silence
34,0.362666667,0.373333333,silence
35,0.373333333,0.384,silence
36,0.384,0.394666667,silence
37,0.394666667,0.405333333,silence
38,0.405333333,0.416,silence
39,0.416,0.426666667,silence
40,0.426666667,0.437333333,silence
41,0.437333333,0.448,silence
42,0.448,0.458666667,silence
43,0.458666667,0.469333333,silence
44,0.469333333,0.48,silence
45,0.48,0.490666667,silence
46,0.490666667,0.501333333,silence
47,0.501333333,0.512,silence
48,0.512,0.522666667,silence
49,0.522666667,0.533333333,silence
50,0.533333333,0.544,silence
51,0.544,0.554666667,silence
52,0.554666667,0.565333333,silence
53,0.565333333,0.576,silence
54,0.576,0.586666667,silence
55,0.586666667,0.597333333,silence
56,0.597333333,0.608,silence
57,0.608,0.618666667,silence
58,0.618666667,0.629333333,silence
59,0.629333333,0.64,silence
60,0.64,0.650666667,silence
61,0.650666667,0.661333333,"drone, T1"
62,0.661333333,0.672,"drone, T1"
63,0.672,0.682666667,"drone, T1"
64,0.682666667,0.693333333,"drone, T1"
65,0.693333333,0.704,"drone, T1"
66,0.704,0.714666667,"drone, T1"
67,0.714666667,0.725333333,"drone, T1"
68,0.725333333,0.736,"drone, T1"
69,0.736,0.746666667,"drone, T1"
70,0.746666667,0.757333333,"drone, T1"
71,0.757333333,0.768,"drone, T1"
72,0.768,0.778666667,"drone, T1"
73,0.778666667,0.789333333,"drone, T1"
74,0.789333333,0.8,"drone, T1"
75,0.8,0.810666667,"drone, T1"
76,0.810666667,0.821333333,"drone, T1"
77,0.821333333,0.832,"drone, T1"
78,0.832,0.842666667,"drone, T1"
79,0.842666667,0.853333333,"drone, T1"
80,0.853333333,0.864,"drone, T1"
81,0.864,0.874666667,"drone, T1"
82,0.874666667,0.885333333,"drone, T1"
83,0.885333333,0.896,"drone, T1"
84,0.896,0.906666667,"drone, T1"
85,0.906666667,0.917333333,"drone, T1"
86,0.917333333,0.928,"drone, T1"
87,0.928,0.938666667,"drone, T1"
88,0.938666667,0.949333333,"drone, T1"
89,0.949333333,0.96,"drone, T1"
90,0.96,0.970666667,"drone, T1"
91,0.970666667,0.981333333,"drone, T1"
92,0.981333333,0.992,"drone, T1"
93,0.992,1.002666667,"drone, T1"
94,1.002666667,1.013333333,"drone, T1"
95,1.013333333,1.024,"drone, T1"
96,1.024,1.034666667,"drone, T1"
97,1.034666667,1.045333333,"drone, T1"
98,1.045333333,1.056,"drone, T1"
99,1.056,1.066666667,"drone, T1"
100,1.066666667,1.077333333,"drone, T1"
101,1.077333333,1.088,"drone, T1"
102,1.088,1.098666667,"drone, T1"
103,1.098666667,1.109333333,"drone, T1"
104,1.109333333,1.12,"drone, T1"
105,1.12,1.130666667,"drone, T1"
106,1.130666667,1.141333333,"drone, T1"
107,1.141333333,1.152,"drone, T1"
108,1.152,1.162666667,"drone, T1"
109,1.162666667,1.173333333,"drone, T1"
110,1.173333333,1.184,"drone, T1"
111,1.184,1.194666667,"drone, T1"
112,1.194666667,1.205333333,"drone, T1"
113,1.205333333,1.216,"drone, T1"
114,1.216,1.226666667,"drone, T1"
115,1.226666667,1.237333333,"drone, T1"
116,1.237333333,1.248,"drone, T1"
117,1.248,1.258666667,"drone, T1"
118,1.258666667,1.269333333,"drone, T1"
119,1.269333333,1.28,"drone, T1"
120,1.28,1.290666667,"drone, T1"
121,1.290666667,1.301333333,"drone, T1"
122,1.301333333,1.312,"drone, T1"
123,1.312,1.322666667,"drone, T1"
124,1.322666667,1.333333333,"drone, T1"
125,1.333333333,1.344,"drone, T1"
126,1.344,1.354666667,"drone, T1"
127,1.354666667,1.365333333,"drone, T1"
128,1.365333333,1.376,"drone, T1"
129,1.376,1.386666667,"drone, T1"
130,1.386666667,1.397333333,"drone, T1"
131,1.397333333,1.408,"drone, T1"
132,1.408,1.418666667,"drone, T1"
133,1.418666667,1.429333333,"drone, T1"
134,1.429333333,1.44,"drone, T1"
135,1.44,1.450666667,"drone, T1"
136,1.450666667,1.461333333,"drone, T1"
137,1.461333333,1.472,"drone, T1"
138,1.472,1.482666667,"drone, T1"
139,1.482666667,1.493333333,"drone, T1"
140,1.493333333,1.504,"drone, T1"
141,1.504,1.514666667,"drone, T1"
142,1.514666667,1.525333333,"drone, T1"
143,1.525333333,1.536,"drone, T1"
144,1.536,1.546666667,"drone, T1"
145,1.546666667,1.557333333,"drone, T1"
146,1.557333333,1.568,"drone, T1"
147,1.568,1.578666667,"drone, T1"
148,1.578666667,1.589333333,"drone, T1"
149,1.589333333,1.6,"drone, T1"
150,1.6,1.610666667,"drone, T1"
151,1.610666667,1.621333333,"drone, T1"
152,1.621333333,1.632,"drone, T1"
153,1.632,1.642666667,silence
154,1.642666667,1.653333333,silence
155,1.653333333,1.664,silence
156,1.664,1.674666667,silence
157,1.674666667,1.685333333,silence
158,1.685333333,1.696,silence
159,1.696,1.706666667,silence
160,1.706666667,1.717333333,silence
161,1.717333333,1.728,silence
162,1.728,1.738666667,silence
