frame,start_time,end_time,label
0,0,0.010666667,"drone, T1"
1,0.010666667,0.021333333,"drone, T1"
2,0.021333333,0.032,"drone, T1"
3,0.032,0.042666667,"drone, T1"
4,0.042666667,0.053333333,"drone, T1"
5,0.053333333,0.064,"drone, T1"
6,0.064,0.074666667,"drone, T1"
7,0.074666667,0.085333333,"drone, T1"
8,0.085333333,0.096,"drone, T1"
9,0.096,0.106666667,"drone, T1"
10,0.106666667,0.117333333,"drone, T1"
11,0.117333333,0.128,"drone, T1"
12,0.128,0.138666667,"drone, T1"
13,0.138666667,0.149333333,"drone, T1"
14,0.149333333,0.16,"drone, T1"
15,0.16,0.170666667,"drone, T1"
16,0.170666667,0.181333333,"drone, T1"
17,0.181333333,0.192,"drone, T1"
18,0.192,0.202666667,"drone, T1"
19,0.202666667,0.213333333,"drone, T1"
20,0.213333333,0.224,"drone, T1"
21,0.224,0.234666667,"drone, T1"
22,0.234666667,0.245333333,"drone, T1"
23,0.245333333,0.256,"drone, T1"
24,0.256,0.266666667,"drone, T1"
25,0.266666667,0.277333333,"drone, T1"
26,0.277333333,0.288,"drone, T1"
27,0.288,0.298666667,"drone, T1"
28,0.298666667,0.309333333,"drone, T1"
29,0.309333333,0.32,"drone, T1"
30,0.32,0.330666667,"drone, T1"
31,0.330666667,0.341333333,"drone, T1"
32,0.341333333,0.352,"drone, T1"
33,0.352,0.362666667,"drone, T1"
34,0.362666667,0.373333333,"drone, T1"
35,0.373333333,0.384,"drone, T1"
36,0.384,0.394666667,"drone, T1"
37,0.394666667,0.405333333,"drone, T1"
38,0.405333333,0.416,"drone, T1"
39,0.416,0.426666667,"drone, T1"
40,0.426666667,0.437333333,"drone, T1"
41,0.437333333,0.448,"drone, T1"
42,0.448,0.458666667,"drone, T1"
43,0.458666667,0.469333333,"drone, T1"
44,0.469333333,0.48,"drone, T1"
45,0.48,0.490666667,"drone, T1"
46,0.490666667,0.501333333,"drone, T1"
47,0.501333333,0.512,"drone, T1"
48,0.512,0.522666667,"drone, T1"
49,0.522666667,0.533333333,"drone, T1"
50,0.533333333,0.544,"drone, T1"
51,0.544,0.554666667,"drone, T1"
52,0.554666667,0.565333333,"drone, T1"
53,0.565333333,0.576,"drone, T1"
54,0.576,0.586666667,"drone, T1"
55,0.586666667,0.597333333,"drone, T1"
56,0.597333333,0.608,"drone, T1"
57,0.608,0.618666667,"drone, T1"
58,0.618666667,0.629333333,"drone, T1"
59,0.629333333,0.64,"drone, T1"
60,0.64,0.650666667,"drone, T1"
61,0.650666667,0.661333333,"drone, T1"
62,0.661333333,0.672,"drone, T1"
63,0.672,0.682666667,"drone, T1"
64,0.682666667,0.693333333,"drone, T1"
65,0.693333333,0.704,"drone, T1"
66,0.704,0.714666667,"drone, T1"
67,0.714666667,0.725333333,"drone, T1"
68,0.725333333,0.736,"drone, T1"
69,0.736,0.746666667,"drone, T1"
70,0.746666667,0.757333333,"drone, T1"
71,0.757333333,0.768,"drone, T1"
72,0.768,0.778666667,"drone, T1"
73,0.778666667,0.789333333,"drone, T1"
74,0.789333333,0.8,"drone, T1"
75,0.8,0.810666667,"drone, T1"
76,0.810666667,0.821333333,"drone, T1"
77,0.821333333,0.832,"drone, T1"
78,0.832,0.842666667,"drone, T1"
79,0.842666667,0.853333333,"drone, T1"
80,0.853333333,0.864,"drone, T1"
81,0.864,0.874666667,"drone, T1"
82,0.874666667,0.885333333,"drone, T1"
83,0.885333333,0.896,"drone, T1"
84,0.896,0.906666667,"drone, T1"
85,0.906666667,0.917333333,silence
86,0.917333333,0.928,silence
87,0.928,0.938666667,silence
88,0.938666667,0.949333333,silence
89,0.949333333,0.96,silence
90,0.96,0.970666667,silence
91,0.970666667,0.981333333,silence
92,0.981333333,0.992,silence
93,0.992,1.002666667,silence
94,1.002666667,1.013333333,silence
