frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,"drone, P2"
5,0.053333333,0.064,"drone, P2"
6,0.064,0.074666667,"drone, P2"
7,0.074666667,0.085333333,"drone, P2"
8,0.085333333,0.096,"drone, P2"
9,0.096,0.106666667,"drone, P2"
10,0.106666667,0.117333333,"drone, P2"
11,0.117333333,0.128,"drone, P2"
12,0.128,0.138666667,"drone, P2"
13,0.138666667,0.149333333,"drone, P2"
14,0.149333333,0.16,"drone, P2"
15,0.16,0.170666667,"drone, P2"
16,0.170666667,0.181333333,"drone, P2"
17,0.181333333,0.192,"drone, P2"
18,0.192,0.202666667,"drone, P2"
19,0.202666667,0.213333333,"drone, P2"
20,0.213333333,0.224,"drone, P2"
21,0.224,0.234666667,"drone, P2"
22,0.234666667,0.245333333,"drone, P2"
23,0.245333333,0.256,"drone, P2"
24,0.256,0.266666667,"drone, P2"
25,0.266666667,0.277333333,"drone, P2"
26,0.277333333,0.288,"drone, P2"
27,0.288,0.298666667,"drone, P2"
28,0.298666667,0.309333333,"drone, P2"
29,0.309333333,0.32,"drone, P2"
30,0.32,0.330666667,"drone, P2"
31,0.330666667,0.341333333,"drone, P2"
32,0.341333333,0.352,"drone, P2"
33,0.352,0.362666667,"drone, P2"
34,0.362666667,0.373333333,"drone, P2"
35,0.373333333,0.384,"drone, P2"
36,0.384,0.394666667,"drone, P2"
37,0.394666667,0.405333333,"drone, P2"
38,0.405333333,0.416,"drone, P2"
39,0.416,0.426666667,"drone, P2"
40,0.426666667,0.437333333,"drone, P2"
41,0.437333333,0.448,"drone, P2"
42,0.448,0.458666667,"drone, P2"
43,0.458666667,0.469333333,"drone, P2"
44,0.469333333,0.48,"drone, P2"
45,0.48,0.490666667,"drone, P2"
46,0.490666667,0.501333333,"drone, P2"
47,0.501333333,0.512,"drone, P2"
48,0.512,0.522666667,"drone, P2"
49,0.522666667,0.533333333,"drone, P2"
50,0.533333333,0.544,"drone, P2"
51,0.544,0.554666667,"drone, P2"
52,0.554666667,0.565333333,"drone, P2"
53,0.565333333,0.576,"drone, P2"
54,0.576,0.586666667,"drone, P2"
55,0.586666667,0.597333333,"drone, P2"
56,0.597333333,0.608,"drone, P2"
57,0.608,0.618666667,"drone, P2"
58,0.618666667,0.629333333,"drone, P2"
59,0.629333333,0.64,"drone, P2"
60,0.64,0.650666667,"drone, P2"
61,0.650666667,0.661333333,"drone, P2"
62,0.661333333,0.672,"drone, P2"
63,0.672,0.682666667,"drone, P2"
64,0.682666667,0.693333333,"drone, P2"
65,0.693333333,0.704,"drone, P2"
66,0.704,0.714666667,"drone, P2"
67,0.714666667,0.725333333,"drone, P2"
68,0.725333333,0.736,"drone, P2"
69,0.736,0.746666667,"drone, P2"
70,0.746666667,0.757333333,"drone, P2"
71,0.757333333,0.768,"drone, P2"
72,0.768,0.778666667,"drone, P2"
73,0.778666667,0.789333333,"drone, P2"
74,0.789333333,0.8,"drone, P2"
75,0.8,0.810666667,"drone, P2"
76,0.810666667,0.821333333,"drone, P2"
77,0.821333333,0.832,"drone, P2"
78,0.832,0.842666667,"drone, P2"
79,0.842666667,0.853333333,"drone, P2"
80,0.853333333,0.864,"drone, P2"
81,0.864,0.874666667,"drone, P2"
82,0.874666667,0.885333333,"drone, P2"
83,0.885333333,0.896,"drone, P2"
84,0.896,0.906666667,"drone, P2"
85,0.906666667,0.917333333,"drone, P2"
86,0.917333333,0.928,"drone, P2"
87,0.928,0.938666667,"drone, P2"
88,0.938666667,0.949333333,"drone, P2"
89,0.949333333,0.96,"drone, P2"
90,0.96,0.970666667,"drone, P2"
91,0.970666667,0.981333333,"drone, P2"
92,0.981333333,0.992,"drone, P2"
93,0.992,1.002666667,"drone, P2"
94,1.002666667,1.013333333,"drone, P2"
95,1.013333333,1.024,"drone, P2"
96,1.024,1.034666667,"drone, P2"
97,1.034666667,1.045333333,"drone, P2"
98,1.045333333,1.056,"drone, P2"
99,1.056,1.066666667,"drone, P2"
100,1.066666667,1.077333333,"drone, P2"
101,1.077333333,1.088,"drone, P2"
102,1.088,1.098666667,"drone, P2"
103,1.098666667,1.109333333,"drone, P2"
104,1.109333333,1.12,"drone, P2"
105,1.12,1.130666667,"drone, P2"
106,1.130666667,1.141333333,"drone, P2"
107,1.141333333,1.152,"drone, P2"
108,1.152,1.162666667,"drone, P2"
109,1.162666667,1.173333333,"drone, P2"
110,1.173333333,1.184,"drone, P2"
111,1.184,1.194666667,silence
112,1.194666667,1.205333333,silence
113,1.205333333,1.216,silence
114,1.216,1.226666667,silence
115,1.226666667,1.237333333,silence
116,1.237333333,1.248,silence
117,1.248,1.258666667,silence
