frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,"P1, T2"
11,0.117333333,0.128,"P1, T2"
12,0.128,0.138666667,"P1, T2"
13,0.138666667,0.149333333,"P1, T2"
14,0.149333333,0.16,"P1, T2"
15,0.16,0.170666667,"P1, T2"
16,0.170666667,0.181333333,"P1, T2"
17,0.181333333,0.192,"P1, T2"
18,0.192,0.202666667,"P1, T2"
19,0.202666667,0.213333333,"P1, T2"
20,0.213333333,0.224,"P1, T2"
21,0.224,0.234666667,"P1, T2"
22,0.234666667,0.245333333,"P1, T2"
23,0.245333333,0.256,"P1, T2"
24,0.256,0.266666667,"P1, T2"
25,0.266666667,0.277333333,"P1, T2"
26,0.277333333,0.288,"P1, T2"
27,0.288,0.298666667,"P1, T2"
28,0.298666667,0.309333333,"P1, T2"
29,0.309333333,0.32,"P1, T2"
30,0.32,0.330666667,"P1, T2"
31,0.330666667,0.341333333,"P1, T2"
32,0.341333333,0.352,"P1, T2"
33,0.352,0.362666667,"P1, T2"
34,0.362666667,0.373333333,"P1, T2"
35,0.373333333,0.384,"P1, T2"
36,0.384,0.394666667,"P1, T2"
37,0.394666667,0.405333333,"P1, T2"
38,0.405333333,0.416,"P1, T2"
39,0.416,0.426666667,"P1, T2"
40,0.426666667,0.437333333,"P1, T2"
41,0.437333333,0.448,"P1, T2"
42,0.448,0.458666667,"P1, T2"
43,0.458666667,0.469333333,"P1, T2"
44,0.469333333,0.48,"P1, T2"
45,0.48,0.490666667,"P1, T2"
46,0.490666667,0.501333333,"P1, T2"
47,0.501333333,0.512,"P1, T2"
48,0.512,0.522666667,"P1, T2"
49,0.522666667,0.533333333,"P1, T2"
50,0.533333333,0.544,"P1, T2"
51,0.544,0.554666667,"P1, T2"
52,0.554666667,0.565333333,"P1, T2"
53,0.565333333,0.576,"P1, T2"
54,0.576,0.586666667,"P1, T2"
55,0.586666667,0.597333333,"P1, T2"
56,0.597333333,0.608,"P1, T2"
57,0.608,0.618666667,"P1, T2"
58,0.618666667,0.629333333,"P1, T2"
59,0.629333333,0.64,"P1, T2"
60,0.64,0.650666667,"P1, T2"
61,0.650666667,0.661333333,"P1, T2"
62,0.661333333,0.672,"P1, T2"
63,0.672,0.682666667,"P1, T2"
64,0.682666667,0.693333333,"P1, T2"
65,0.693333333,0.704,"P1, T2"
66,0.704,0.714666667,"P1, T2"
67,0.714666667,0.725333333,"P1, T2"
68,0.725333333,0.736,"P1, T2"
69,0.736,0.746666667,"P1, T2"
70,0.746666667,0.757333333,"P1, T2"
71,0.757333333,0.768,"P1, T2"
72,0.768,0.778666667,"P1, T2"
73,0.778666667,0.789333333,"P1, T2"
74,0.789333333,0.8,"P1, T2"
75,0.8,0.810666667,"P1, T2"
76,0.810666667,0.821333333,"P1, T2"
77,0.821333333,0.832,"P1, T2"
78,0.832,0.842666667,"P1, T2"
79,0.842666667,0.853333333,"P1, T2"
80,0.853333333,0.864,"P1, T2"
81,0.864,0.874666667,"P1, T2"
82,0.874666667,0.885333333,"P1, T2"
83,0.885333333,0.896,"P1, T2"
84,0.896,0.906666667,"P1, T2"
85,0.906666667,0.917333333,"P1, T2"
86,0.917333333,0.928,"P1, T2"
87,0.928,0.938666667,"P1, T2"
88,0.938666667,0.949333333,"P1, T2"
89,0.949333333,0.96,"P1, T2"
90,0.96,0.970666667,"P1, T2"
91,0.970666667,0.981333333,"P1, T2"
92,0.981333333,0.992,"P1, T2"
93,0.992,1.002666667,"P1, T2"
94,1.002666667,1.013333333,"P1, T2"
95,1.013333333,1.024,"P1, T2"
96,1.024,1.034666667,"P1, T2"
97,1.034666667,1.045333333,"P1, T2"
98,1.045333333,1.056,"P1, T2"
99,1.056,1.066666667,"P1, T2"
100,1.066666667,1.077333333,"P1, T2"
101,1.077333333,1.088,"P1, T2"
102,1.088,1.098666667,"P1, T2"
103,1.098666667,1.109333333,"P1, T2"
104,1.109333333,1.12,"P1, T2"
105,1.12,1.130666667,"P1, T2"
106,1.130666667,1.141333333,"P1, T2"
107,1.141333333,1.152,"P1, T2"
108,1.152,1.162666667,"P1, T2"
109,1.162666667,1.173333333,"P1, T2"
110,1.173333333,1.184,"P1, T2"
111,1.184,1.194666667,"P1, T2"
112,1.194666667,1.205333333,"P1, T2"
113,1.205333333,1.216,"P1, T2"
114,1.216,1.226666667,"P1, T2"
115,1.226666667,1.237333333,"P1, T2"
116,1.237333333,1.248,"P1, T2"
117,1.248,1.258666667,"P1, T2"
118,1.258666667,1.269333333,"P1, T2"
119,1.269333333,1.28,"P1, T2"
120,1.28,1.290666667,"P1, T2"
121,1.290666667,1.301333333,"P1, T2"
122,1.301333333,1.312,"P1, T2"
123,1.312,1.322666667,"P1, T2"
124,1.322666667,1.333333333,"P1, T2"
125,1.333333333,1.344,"P1, T2"
126,1.344,1.354666667,"P1, T2"
127,1.354666667,1.365333333,"P1, T2"
128,1.365333333,1.376,"P1, T2"
129,1.376,1.386666667,"P1, T2"
130,1.386666667,1.397333333,"P1, T2"
131,1.397333333,1.408,"P1, T2"
132,1.408,1.418666667,"P1, T2"
133,1.418666667,1.429333333,"P1, T2"
134,1.429333333,1.44,"P1, T2"
135,1.44,1.450666667,"P1, T2"
136,1.450666667,1.461333333,"P1, T2"
137,1.461333333,1.472,"P1, T2"
138,1.472,1.482666667,"P1, T2"
139,1.482666667,1.493333333,"P1, T2"
140,1.493333333,1.504,"P1, T2"
141,1.504,1.514666667,"P1, T2"
142,1.514666667,1.525333333,"P1, T2"
143,1.525333333,1.536,"P1, T2"
144,1.536,1.546666667,"P1, T2"
145,1.546666667,1.557333333,"P1, T2"
146,1.557333333,1.568,"P1, T2"
147,1.568,1.578666667,"P1, T2"
148,1.578666667,1.589333333,"P1, T2"
149,1.589333333,1.6,"P1, T2"
150,1.6,1.610666667,"P1, T2"
151,1.610666667,1.621333333,"P1, T2"
152,1.621333333,1.632,"P1, T2"
153,1.632,1.642666667,"P1, T2"
154,1.642666667,1.653333333,"P1, T2"
155,1.653333333,1.664,"P1, T2"
156,1.664,1.674666667,"P1, T2"
157,1.674666667,1.685333333,"P1, T2"
158,1.685333333,1.696,"P1, T2"
159,1.696,1.706666667,"P1, T2"
160,1.706666667,1.717333333,"P1, T2"
161,1.717333333,1.728,"P1, T2"
162,1.728,1.738666667,"P1, T2"
163,1.738666667,1.749333333,"P1, T2"
164,1.749333333,1.76,"P1, T2"
165,1.76,1.770666667,"P1, T2"
166,1.770666667,1.781333333,"P1, T2"
167,1.781333333,1.792,"P1, T2"
168,1.792,1.802666667,"P1, T2"
169,1.802666667,1.813333333,"P1, T2"
170,1.813333333,1.824,"P1, T2"
171,1.824,1.834666667,"P1, T2"
172,1.834666667,1.845333333,"P1, T2"
173,1.845333333,1.856,"P1, T2"
174,1.856,1.866666667,"P1, T2"
175,1.866666667,1.877333333,"P1, T2"
176,1.877333333,1.888,"P1, T2"
177,1.888,1.898666667,"P1, T2"
178,1.898666667,1.909333333,"P1, T2"
179,1.909333333,1.92,"P1, T2"
180,1.92,1.930666667,"P1, T2"
181,1.930666667,1.941333333,"P1, T2"
182,1.941333333,1.952,"P1, T2"
183,1.952,1.962666667,"P1, T2"
184,1.962666667,1.973333333,"P1, T2"
185,1.973333333,1.984,"P1, T2"
186,1.984,1.994666667,"P1, T2"
187,1.994666667,2.005333333,"P1, T2"
188,2.005333333,2.016,"P1, T2"
189,2.016,2.026666667,"P1, T2"
190,2.026666667,2.037333333,"P1, T2"
191,2.037333333,2.048,"P1, T2"
192,2.048,2.058666667,"P1, T2"
193,2.058666667,2.069333333,"P1, T2"
194,2.069333333,2.08,"P1, T2"
195,2.08,2.090666667,"P1, T2"
196,2.090666667,2.101333333,"P1, T2"
197,2.101333333,2.112,"P1, T2"
198,2.112,2.122666667,"P1, T2"
199,2.122666667,2.133333333,"P1, T2"
200,2.133333333,2.144,"P1, T2"
201,2.144,2.154666667,"P1, T2"
202,2.154666667,2.165333333,"P1, T2"
203,2.165333333,2.176,"P1, T2"
204,2.176,2.186666667,"P1, T2"
205,2.186666667,2.197333333,"P1, T2"
206,2.197333333,2.208,"P1, T2"
207,2.208,2.218666667,"P1, T2"
208,2.218666667,2.229333333,"P1, T2"
209,2.229333333,2.24,"P1, T2"
210,2.24,2.250666667,"P1, T2"
211,2.250666667,2.261333333,"P1, T2"
212,2.261333333,2.272,"P1, T2"
213,2.272,2.282666667,"P1, T2"
214,2.282666667,2.293333333,"P1, T2"
215,2.293333333,2.304,"P1, T2"
216,2.304,2.314666667,"P1, T2"
217,2.314666667,2.325333333,"P1, T2"
218,2.325333333,2.336,"P1, T2"
219,2.336,2.346666667,"P1, T2"
220,2.346666667,2.357333333,"P1, T2"
221,2.357333333,2.368,"P1, T2"
222,2.368,2.378666667,"P1, T2"
223,2.378666667,2.389333333,"P1, T2"
224,2.389333333,2.4,"P1, T2"
225,2.4,2.410666667,silence
226,2.410666667,2.421333333,silence
227,2.421333333,2.432,silence
228,2.432,2.442666667,silence
229,2.442666667,2.453333333,silence
230,2.453333333,2.464,silence
231,2.464,2.474666667,silence
232,2.474666667,2.485333333,silence
233,2.485333333,2.496,silence
234,2.496,2.506666667,silence
235,2.506666667,2.517333333,silence
236,2.517333333,2.528,silence
237,2.528,2.538666667,silence
238,2.538666667,2.549333333,silence
239,2.549333333,2.56,silence
240,2.56,2.570666667,silence
241,2.570666667,2.581333333,silence
242,2.581333333,2.592,silence
243,2.592,2.602666667,silence
244,2.602666667,2.613333333,silence
245,2.613333333,2.624,silence
246,2.624,2.634666667,silence
247,2.634666667,2.645333333,silence
248,2.645333333,2.656,silence
249,2.656,2.666666667,silence
250,2.666666667,2.677333333,silence
251,2.677333333,2.688,silence
252,2.688,2.698666667,silence
253,2.698666667,2.709333333,silence
254,2.709333333,2.72,silence
255,2.72,2.730666667,silence
256,2.730666667,2.741333333,silence
257,2.741333333,2.752,silence
258,2.752,2.762666667,silence
259,2.762666667,2.773333333,silence
260,2.773333333,2.784,silence
261,2.784,2.794666667,silence
262,2.794666667,2.805333333,silence
263,2.805333333,2.816,silence
264,2.816,2.826666667,silence
265,2.826666667,2.837333333,silence
266,2.837333333,2.848,silence
267,2.848,2.858666667,silence
268,2.858666667,2.869333333,silence
269,2.869333333,2.88,silence
270,2.88,2.890666667,silence
271,2.890666667,2.901333333,silence
272,2.901333333,2.912,silence
273,2.912,2.922666667,silence
274,2.922666667,2.933333333,silence
275,2.933333333,2.944,silence
276,2.944,2.954666667,silence
277,2.954666667,2.965333333,silence
278,2.965333333,2.976,silence
279,2.976,2.986666667,silence
280,2.986666667,2.997333333,silence
281,2.997333333,3.008,silence
282,3.008,3.018666667,silence
283,3.018666667,3.029333333,silence
284,3.029333333,3.04,silence
285,3.04,3.050666667,silence
286,3.050666667,3.061333333,silence
287,3.061333333,3.072,silence
288,3.072,3.082666667,silence
289,3.082666667,3.093333333,silence
