frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,silence
16,0.170666667,0.181333333,silence
17,0.181333333,0.192,silence
18,0.192,0.202666667,silence
19,0.202666667,0.213333333,silence
20,0.213333333,0.224,silence
21,0.224,0.234666667,silence
22,0.234666667,0.245333333,silence
23,0.245333333,0.256,silence
24,0.256,0.266666667,silence
25,0.266666667,0.277333333,silence
26,0.277333333,0.288,silence
27,0.288,0.298666667,silence
28,0.298666667,0.309333333,silence
29,0.309333333,0.32,silence
30,0.32,0.330666667,silence
31,0.330666667,0.341333333,silence
32,0.341333333,0.352,silence
33,0.352,0.362666667,silence
34,0.362666667,0.373333333,silence
35,0.373333333,0.384,silence
36,0.384,0.394666667,silence
37,0.394666667,0.405333333,silence
38,0.405333333,0.416,silence
39,0.416,0.426666667,silence
40,0.426666667,0.437333333,silence
41,0.437333333,0.448,silence
42,0.448,0.458666667,silence
43,0.458666667,0.469333333,silence
44,0.469333333,0.48,silence
45,0.48,0.490666667,"P1, P2, P3, T2"
46,0.490666667,0.501333333,"P1, P2, P3, T2"
47,0.501333333,0.512,"P1, P2, P3, T2"
48,0.512,0.522666667,"P1, P2, P3, T2"
49,0.522666667,0.533333333,"P1, P2, P3, T2"
50,0.533333333,0.544,"P1, P2, P3, T2"
51,0.544,0.554666667,"P1, P2, P3, T2"
52,0.554666667,0.565333333,"P1, P2, P3, T2"
53,0.565333333,0.576,"P1, P2, P3, T2"
54,0.576,0.586666667,"P1, P2, P3, T2"
55,0.586666667,0.597333333,"P1, P2, P3, T2"
56,0.597333333,0.608,"P1, P2, P3, T2"
57,0.608,0.618666667,"P1, P2, P3, T2"
58,0.618666667,0.629333333,"P1, P2, P3, T2"
59,0.629333333,0.64,"P1, P2, P3, T2"
60,0.64,0.650666667,"P1, P2, P3, T2"
61,0.650666667,0.661333333,"P1, P2, P3, T2"
62,0.661333333,0.672,"P1, P2, P3, T2"
63,0.672,0.682666667,"P1, P2, P3, T2"
64,0.682666667,0.693333333,"P1, P2, P3, T2"
65,0.693333333,0.704,"P1, P2, P3, T2"
66,0.704,0.714666667,"P1, P2, P3, T2"
67,0.714666667,0.725333333,"P1, P2, P3, T2"
68,0.725333333,0.736,"P1, P2, P3, T2"
69,0.736,0.746666667,"P1, P2, P3, T2"
70,0.746666667,0.757333333,"P1, P2, P3, T2"
71,0.757333333,0.768,"P1, P2, P3, T2"
72,0.768,0.778666667,"P1, P2, P3, T2"
73,0.778666667,0.789333333,"P1, P2, P3, T2"
74,0.789333333,0.8,"P1, P2, P3, T2"
75,0.8,0.810666667,"P1, P2, P3, T2"
76,0.810666667,0.821333333,"P1, P2, P3, T2"
77,0.821333333,0.832,"P1, P2, P3, T2"
78,0.832,0.842666667,"P1, P2, P3, T2"
79,0.842666667,0.853333333,"P1, P2, P3, T2"
80,0.853333333,0.864,"P1, P2, P3, T2"
81,0.864,0.874666667,"P1, P2, P3, T2"
82,0.874666667,0.885333333,"P1, P2, P3, T2"
83,0.885333333,0.896,"P1, P2, P3, T2"
84,0.896,0.906666667,"P1, P2, P3, T2"
85,0.906666667,0.917333333,"P1, P2, P3, T2"
86,0.917333333,0.928,"P1, P2, P3, T2"
87,0.928,0.938666667,"P1, P2, P3, T2"
88,0.938666667,0.949333333,"P1, P2, P3, T2"
89,0.949333333,0.96,"P1, P2, P3, T2"
90,0.96,0.970666667,"P1, P2, P3, T2"
91,0.970666667,0.981333333,"P1, P2, P3, T2"
92,0.981333333,0.992,"P1, P2, P3, T2"
93,0.992,1.002666667,"P1, P2, P3, T2"
94,1.002666667,1.013333333,"P1, P2, P3, T2"
95,1.013333333,1.024,"P1, P2, P3, T2"
96,1.024,1.034666667,"P1, P2, P3, T2"
97,1.034666667,1.045333333,"P1, P2, P3, T2"
98,1.045333333,1.056,"P1, P2, P3, T2"
99,1.056,1.066666667,"P1, P2, P3, T2"
100,1.066666667,1.077333333,"P1, P2, P3, T2"
101,1.077333333,1.088,"P1, P2, P3, T2"
102,1.088,1.098666667,"P1, P2, P3, T2"
103,1.098666667,1.109333333,"P1, P2, P3, T2"
104,1.109333333,1.12,"P1, P2, P3, T2"
105,1.12,1.130666667,"P1, P2, P3, T2"
106,1.130666667,1.141333333,"P1, P2, P3, T2"
107,1.141333333,1.152,"P1, P2, P3, T2"
108,1.152,1.162666667,"P1, P2, P3, T2"
109,1.162666667,1.173333333,"P1, P2, P3, T2"
110,1.173333333,1.184,"P1, P2, P3, T2"
111,1.184,1.194666667,"P1, P2, P3, T2"
112,1.194666667,1.205333333,"P1, P2, P3, T2"
113,1.205333333,1.216,"P1, P2, P3, T2"
114,1.216,1.226666667,"P1, P2, P3, T2"
115,1.226666667,1.237333333,"P1, P2, P3, T2"
116,1.237333333,1.248,"P1, P2, P3, T2"
117,1.248,1.258666667,"P1, P2, P3, T2"
118,1.258666667,1.269333333,"P1, P2, P3, T2"
119,1.269333333,1.28,"P1, P2, P3, T2"
120,1.28,1.290666667,"P1, P2, P3, T2"
121,1.290666667,1.301333333,"P1, P2, P3, T2"
122,1.301333333,1.312,"P1, P2, P3, T2"
123,1.312,1.322666667,"P1, P2, P3, T2"
124,1.322666667,1.333333333,"P1, P2, P3, T2"
125,1.333333333,1.344,"P1, P2, P3, T2"
126,1.344,1.354666667,"P1, P2, P3, T2"
127,1.354666667,1.365333333,"P1, P2, P3, T2"
128,1.365333333,1.376,"P1, P2, P3, T2"
129,1.376,1.386666667,"P1, P2, P3, T2"
130,1.386666667,1.397333333,"P1, P2, P3, T2"
131,1.397333333,1.408,"P1, P2, P3, T2"
132,1.408,1.418666667,"P1, P2, P3, T2"
133,1.418666667,1.429333333,"P1, P2, P3, T2"
134,1.429333333,1.44,"P1, P2, P3, T2"
135,1.44,1.450666667,"P1, P2, P3, T2"
136,1.450666667,1.461333333,"P1, P2, P3, T2"
137,1.461333333,1.472,"P1, P2, P3, T2"
138,1.472,1.482666667,"P1, P2, P3, T2"
139,1.482666667,1.493333333,"P1, P2, P3, T2"
140,1.493333333,1.504,"P1, P2, P3, T2"
141,1.504,1.514666667,"P1, P2, P3, T2"
142,1.514666667,1.525333333,"P1, P2, P3, T2"
143,1.525333333,1.536,"P1, P2, P3, T2"
144,1.536,1.546666667,"P1, P2, P3, T2"
145,1.546666667,1.557333333,"P1, P2, P3, T2"
146,1.557333333,1.568,"P1, P2, P3, T2"
147,1.568,1.578666667,"P1, P2, P3, T2"
148,1.578666667,1.589333333,"P1, P2, P3, T2"
149,1.589333333,1.6,"P1, P2, P3, T2"
150,1.6,1.610666667,"P1, P2, P3, T2"
151,1.610666667,1.621333333,"P1, P2, P3, T2"
152,1.621333333,1.632,"P1, P2, P3, T2"
153,1.632,1.642666667,"P1, P2, P3, T2"
154,1.642666667,1.653333333,"P1, P2, P3, T2"
155,1.653333333,1.664,"P1, P2, P3, T2"
156,1.664,1.674666667,"P1, P2, P3, T2"
157,1.674666667,1.685333333,"P1, P2, P3, T2"
158,1.685333333,1.696,"P1, P2, P3, T2"
159,1.696,1.706666667,"P1, P2, P3, T2"
160,1.706666667,1.717333333,"P1, P2, P3, T2"
161,1.717333333,1.728,"P1, P2, P3, T2"
162,1.728,1.738666667,"P1, P2, P3, T2"
163,1.738666667,1.749333333,"P1, P2, P3, T2"
164,1.749333333,1.76,"P1, P2, P3, T2"
165,1.76,1.770666667,"P1, P2, P3, T2"
166,1.770666667,1.781333333,"P1, P2, P3, T2"
167,1.781333333,1.792,"P1, P2, P3, T2"
168,1.792,1.802666667,"P1, P2, P3, T2"
169,1.802666667,1.813333333,"P1, P2, P3, T2"
170,1.813333333,1.824,"P1, P2, P3, T2"
171,1.824,1.834666667,"P1, P2, P3, T2"
172,1.834666667,1.845333333,"P1, P2, P3, T2"
173,1.845333333,1.856,"P1, P2, P3, T2"
174,1.856,1.866666667,"P1, P2, P3, T2"
175,1.866666667,1.877333333,"P1, P2, P3, T2"
176,1.877333333,1.888,"P1, P2, P3, T2"
177,1.888,1.898666667,"P1, P2, P3, T2"
178,1.898666667,1.909333333,"P1, P2, P3, T2"
179,1.909333333,1.92,"P1, P2, P3, T2"
180,1.92,1.930666667,"P1, P2, P3, T2"
181,1.930666667,1.941333333,"P1, P2, P3, T2"
182,1.941333333,1.952,"P1, P2, P3, T2"
183,1.952,1.962666667,"P1, P2, P3, T2"
184,1.962666667,1.973333333,"P1, P2, P3, T2"
185,1.973333333,1.984,"P1, P2, P3, T2"
186,1.984,1.994666667,"P1, P2, P3, T2"
187,1.994666667,2.005333333,"P1, P2, P3, T2"
188,2.005333333,2.016,"P1, P2, P3, T2"
189,2.016,2.026666667,"P1, P2, P3, T2"
190,2.026666667,2.037333333,"P1, P2, P3, T2"
191,2.037333333,2.048,"P1, P2, P3, T2"
192,2.048,2.058666667,"P1, P2, P3, T2"
193,2.058666667,2.069333333,"P1, P2, P3, T2"
194,2.069333333,2.08,"P1, P2, P3, T2"
195,2.08,2.090666667,"P1, P2, P3, T2"
196,2.090666667,2.101333333,"P1, P2, P3, T2"
197,2.101333333,2.112,"P1, P2, P3, T2"
198,2.112,2.122666667,"P1, P2, P3, T2"
199,2.122666667,2.133333333,"P1, P2, P3, T2"
200,2.133333333,2.144,"P1, P2, P3, T2"
201,2.144,2.154666667,"P1, P2, P3, T2"
202,2.154666667,2.165333333,"P1, P2, P3, T2"
203,2.165333333,2.176,"P1, P2, P3, T2"
204,2.176,2.186666667,"P1, P2, P3, T2"
205,2.186666667,2.197333333,"P1, P2, P3, T2"
206,2.197333333,2.208,"P1, P2, P3, T2"
207,2.208,2.218666667,"P1, P2, P3, T2"
208,2.218666667,2.229333333,"P1, P2, P3, T2"
209,2.229333333,2.24,"P1, P2, P3, T2"
210,2.24,2.250666667,"P1, P2, P3, T2"
211,2.250666667,2.261333333,"P1, P2, P3, T2"
212,2.261333333,2.272,"P1, P2, P3, T2"
213,2.272,2.282666667,"P1, P2, P3, T2"
214,2.282666667,2.293333333,"P1, P2, P3, T2"
215,2.293333333,2.304,"P1, P2, P3, T2"
216,2.304,2.314666667,"P1, P2, P3, T2"
217,2.314666667,2.325333333,"P1, P2, P3, T2"
218,2.325333333,2.336,"P1, P2, P3, T2"
219,2.336,2.346666667,"P1, P2, P3, T2"
220,2.346666667,2.357333333,"P1, P2, P3, T2"
221,2.357333333,2.368,"P1, P2, P3, T2"
222,2.368,2.378666667,"P1, P2, P3, T2"
223,2.378666667,2.389333333,"P1, P2, P3, T2"
224,2.389333333,2.4,"P1, P2, P3, T2"
225,2.4,2.410666667,"P1, P2, P3, T2"
226,2.410666667,2.421333333,"P1, P2, P3, T2"
227,2.421333333,2.432,"P1, P2, P3, T2"
228,2.432,2.442666667,"P1, P2, P3, T2"
229,2.442666667,2.453333333,"P1, P2, P3, T2"
230,2.453333333,2.464,"P1, P2, P3, T2"
231,2.464,2.474666667,"P1, P2, P3, T2"
232,2.474666667,2.485333333,"P1, P2, P3, T2"
233,2.485333333,2.496,"P1, P2, P3, T2"
234,2.496,2.506666667,"P1, P2, P3, T2"
235,2.506666667,2.517333333,"P1, P2, P3, T2"
236,2.517333333,2.528,"P1, P2, P3, T2"
237,2.528,2.538666667,"P1, P2, P3, T2"
238,2.538666667,2.549333333,"P1, P2, P3, T2"
239,2.549333333,2.56,"P1, P2, P3, T2"
240,2.56,2.570666667,"P1, P2, P3, T2"
241,2.570666667,2.581333333,"P1, P2, P3, T2"
242,2.581333333,2.592,"P1, P2, P3, T2"
243,2.592,2.602666667,"P1, P2, P3, T2"
244,2.602666667,2.613333333,"P1, P2, P3, T2"
245,2.613333333,2.624,"P1, P2, P3, T2"
246,2.624,2.634666667,"P1, P2, P3, T2"
247,2.634666667,2.645333333,"P1, P2, P3, T2"
248,2.645333333,2.656,"P1, P2, P3, T2"
249,2.656,2.666666667,"P1, P2, P3, T2"
250,2.666666667,2.677333333,"P1, P2, P3, T2"
251,2.677333333,2.688,"P1, P2, P3, T2"
252,2.688,2.698666667,"P1, P2, P3, T2"
253,2.698666667,2.709333333,"P1, P2, P3, T2"
254,2.709333333,2.72,"P1, P2, P3, T2"
255,2.72,2.730666667,"P1, P2, P3, T2"
256,2.730666667,2.741333333,"P1, P2, P3, T2"
257,2.741333333,2.752,"P1, P2, P3, T2"
258,2.752,2.762666667,"P1, P2, P3, T2"
259,2.762666667,2.773333333,"P1, P2, P3, T2"
260,2.773333333,2.784,"P1, P2, P3, T2"
261,2.784,2.794666667,"P1, P2, P3, T2"
262,2.794666667,2.805333333,"P1, P2, P3, T2"
263,2.805333333,2.816,"P1, P2, P3, T2"
264,2.816,2.826666667,"P1, P2, P3, T2"
265,2.826666667,2.837333333,"P1, P2, P3, T2"
266,2.837333333,2.848,"P1, P2, P3, T2"
267,2.848,2.858666667,"P1, P2, P3, T2"
268,2.858666667,2.869333333,"P1, P2, P3, T2"
269,2.869333333,2.88,"P1, P2, P3, T2"
270,2.88,2.890666667,"P1, P2, P3, T2"
271,2.890666667,2.901333333,"P1, P2, P3, T2"
272,2.901333333,2.912,"P1, P2, P3, T2"
273,2.912,2.922666667,"P1, P2, P3, T2"
274,2.922666667,2.933333333,"P1, P2, P3, T2"
275,2.933333333,2.944,"P1, P2, P3, T2"
276,2.944,2.954666667,"P1, P2, P3, T2"
277,2.954666667,2.965333333,"P1, P2, P3, T2"
278,2.965333333,2.976,"P1, P2, P3, T2"
279,2.976,2.986666667,"P1, P2, P3, T2"
280,2.986666667,2.997333333,"P1, P2, P3, T2"
281,2.997333333,3.008,"P1, P2, P3, T2"
282,3.008,3.018666667,"P1, P2, P3, T2"
283,3.018666667,3.029333333,"P1, P2, P3, T2"
284,3.029333333,3.04,"P1, P2, P3, T2"
285,3.04,3.050666667,"P1, P2, P3, T2"
286,3.050666667,3.061333333,"P1, P2, P3, T2"
287,3.061333333,3.072,"P1, P2, P3, T2"
288,3.072,3.082666667,"P1, P2, P3, T2"
289,3.082666667,3.093333333,"P1, P2, P3, T2"
290,3.093333333,3.104,"P1, P2, P3, T2"
291,3.104,3.114666667,"P1, P2, P3, T2"
292,3.114666667,3.125333333,"P1, P2, P3, T2"
293,3.125333333,3.136,"P1, P2, P3, T2"
294,3.136,3.146666667,"P1, P2, P3, T2"
295,3.146666667,3.157333333,"P1, P2, P3, T2"
296,3.157333333,3.168,"P1, P2, P3, T2"
297,3.168,3.178666667,"P1, P2, P3, T2"
298,3.178666667,3.189333333,"P1, P2, P3, T2"
299,3.189333333,3.2,"P1, P2, P3, T2"
300,3.2,3.210666667,"P1, P2, P3, T2"
301,3.210666667,3.221333333,"P1, P2, P3, T2"
302,3.221333333,3.232,"P1, P2, P3, T2"
303,3.232,3.242666667,"P1, P2, P3, T2"
304,3.242666667,3.253333333,"P1, P2, P3, T2"
305,3.253333333,3.264,"P1, P2, P3, T2"
306,3.264,3.274666667,"P1, P2, P3, T2"
307,3.274666667,3.285333333,"P1, P2, P3, T2"
308,3.285333333,3.296,"P1, P2, P3, T2"
309,3.296,3.306666667,"P1, P2, P3, T2"
310,3.306666667,3.317333333,"P1, P2, P3, T2"
311,3.317333333,3.328,"P1, P2, P3, T2"
312,3.328,3.338666667,"P1, P2, P3, T2"
313,3.338666667,3.349333333,"P1, P2, P3, T2"
314,3.349333333,3.36,"P1, P2, P3, T2"
315,3.36,3.370666667,"P1, P2, P3, T2"
316,3.370666667,3.381333333,"P1, P2, P3, T2"
317,3.381333333,3.392,"P1, P2, P3, T2"
318,3.392,3.402666667,"P1, P2, P3, T2"
319,3.402666667,3.413333333,"P1, P2, P3, T2"
320,3.413333333,3.424,"P1, P2, P3, T2"
321,3.424,3.434666667,"P1, P2, P3, T2"
322,3.434666667,3.445333333,"P1, P2, P3, T2"
323,3.445333333,3.456,"P1, P2, P3, T2"
324,3.456,3.466666667,"P1, P2, P3, T2"
325,3.466666667,3.477333333,"P1, P2, P3, T2"
326,3.477333333,3.488,"P1, P2, P3, T2"
327,3.488,3.498666667,"P1, P2, P3, T2"
328,3.498666667,3.509333333,"P1, P2, P3, T2"
329,3.509333333,3.52,"P1, P2, P3, T2"
330,3.52,3.530666667,"P1, P2, P3, T2"
331,3.530666667,3.541333333,"P1, P2, P3, T2"
332,3.541333333,3.552,"P1, P2, P3, T2"
333,3.552,3.562666667,"P1, P2, P3, T2"
334,3.562666667,3.573333333,"P1, P2, P3, T2"
335,3.573333333,3.584,"P1, P2, P3, T2"
336,3.584,3.594666667,"P1, P2, P3, T2"
337,3.594666667,3.605333333,"P1, P2, P3, T2"
338,3.605333333,3.616,"P1, P2, P3, T2"
339,3.616,3.626666667,"P1, P2, P3, T2"
340,3.626666667,3.637333333,"P1, P2, P3, T2"
341,3.637333333,3.648,"P1, P2, P3, T2"
342,3.648,3.658666667,"P1, P2, P3, T2"
343,3.658666667,3.669333333,"P1, P2, P3, T2"
344,3.669333333,3.68,"P1, P2, P3, T2"
345,3.68,3.690666667,"P1, P2, P3, T2"
346,3.690666667,3.701333333,"P1, P2, P3, T2"
347,3.701333333,3.712,"P1, P2, P3, T2"
348,3.712,3.722666667,"P1, P2, P3, T2"
349,3.722666667,3.733333333,"P1, P2, P3, T2"
350,3.733333333,3.744,"P1, P2, P3, T2"
351,3.744,3.754666667,"P1, P2, P3, T2"
352,3.754666667,3.765333333,"P1, P2, P3, T2"
353,3.765333333,3.776,"P1, P2, P3, T2"
354,3.776,3.786666667,"P1, P2, P3, T2"
355,3.786666667,3.797333333,"P1, P2, P3, T2"
356,3.797333333,3.808,"P1, P2, P3, T2"
357,3.808,3.818666667,"P1, P2, P3, T2"
358,3.818666667,3.829333333,"P1, P2, P3, T2"
359,3.829333333,3.84,"P1, P2, P3, T2"
360,3.84,3.850666667,"P1, P2, P3, T2"
361,3.850666667,3.861333333,"P1, P2, P3, T2"
362,3.861333333,3.872,"P1, P2, P3, T2"
363,3.872,3.882666667,"P1, P2, P3, T2"
364,3.882666667,3.893333333,"P1, P2, P3, T2"
365,3.893333333,3.904,"P1, P2, P3, T2"
366,3.904,3.914666667,"P1, P2, P3, T2"
367,3.914666667,3.925333333,"P1, P2, P3, T2"
368,3.925333333,3.936,"P1, P2, P3, T2"
369,3.936,3.946666667,"P1, P2, P3, T2"
370,3.946666667,3.957333333,"P1, P2, P3, T2"
371,3.957333333,3.968,"P1, P2, P3, T2"
372,3.968,3.978666667,"P1, P2, P3, T2"
373,3.978666667,3.989333333,"P1, P2, P3, T2"
374,3.989333333,4,"P1, P2, P3, T2"
375,4,4.010666667,"P1, P2, P3, T2"
376,4.010666667,4.021333333,silence
377,4.021333333,4.032,silence
378,4.032,4.042666667,silence
379,4.042666667,4.053333333,silence
380,4.053333333,4.064,silence
381,4.064,4.074666667,silence
382,4.074666667,4.085333333,silence
383,4.085333333,4.096,silence
384,4.096,4.106666667,silence
385,4.106666667,4.117333333,silence
386,4.117333333,4.128,silence
387,4.128,4.138666667,silence
388,4.138666667,4.149333333,silence
389,4.149333333,4.16,silence
390,4.16,4.170666667,silence
391,4.170666667,4.181333333,silence
392,4.181333333,4.192,silence
393,4.192,4.202666667,silence
394,4.202666667,4.213333333,silence
395,4.213333333,4.224,silence
396,4.224,4.234666667,silence
397,4.234666667,4.245333333,silence
398,4.245333333,4.256,silence
399,4.256,4.266666667,silence
400,4.266666667,4.277333333,silence
401,4.277333333,4.288,silence
402,4.288,4.298666667,silence
403,4.298666667,4.309333333,silence
404,4.309333333,4.32,silence
405,4.32,4.330666667,silence
406,4.330666667,4.341333333,silence
407,4.341333333,4.352,silence
408,4.352,4.362666667,silence
409,4.362666667,4.373333333,silence
410,4.373333333,4.384,silence
411,4.384,4.394666667,silence
412,4.394666667,4.405333333,silence
413,4.405333333,4.416,silence
414,4.416,4.426666667,silence
415,4.426666667,4.437333333,silence
416,4.437333333,4.448,silence
417,4.448,4.458666667,silence
