frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,T3
16,0.170666667,0.181333333,T3
17,0.181333333,0.192,T3
18,0.192,0.202666667,T3
19,0.202666667,0.213333333,T3
20,0.213333333,0.224,T3
21,0.224,0.234666667,T3
22,0.234666667,0.245333333,T3
23,0.245333333,0.256,T3
24,0.256,0.266666667,T3
25,0.266666667,0.277333333,T3
26,0.277333333,0.288,T3
27,0.288,0.298666667,T3
28,0.298666667,0.309333333,T3
29,0.309333333,0.32,T3
30,0.32,0.330666667,T3
31,0.330666667,0.341333333,T3
32,0.341333333,0.352,T3
33,0.352,0.362666667,T3
34,0.362666667,0.373333333,T3
35,0.373333333,0.384,T3
36,0.384,0.394666667,T3
37,0.394666667,0.405333333,T3
38,0.405333333,0.416,T3
39,0.416,0.426666667,T3
40,0.426666667,0.437333333,T3
41,0.437333333,0.448,T3
42,0.448,0.458666667,T3
43,0.458666667,0.469333333,T3
44,0.469333333,0.48,T3
45,0.48,0.490666667,T3
46,0.490666667,0.501333333,T3
47,0.501333333,0.512,T3
48,0.512,0.522666667,T3
49,0.522666667,0.533333333,T3
50,0.533333333,0.544,T3
51,0.544,0.554666667,T3
52,0.554666667,0.565333333,T3
53,0.565333333,0.576,T3
54,0.576,0.586666667,T3
55,0.586666667,0.597333333,T3
56,0.597333333,0.608,T3
57,0.608,0.618666667,T3
58,0.618666667,0.629333333,T3
59,0.629333333,0.64,T3
60,0.64,0.650666667,T3
61,0.650666667,0.661333333,T3
62,0.661333333,0.672,T3
63,0.672,0.682666667,T3
64,0.682666667,0.693333333,T3
65,0.693333333,0.704,T3
66,0.704,0.714666667,T3
67,0.714666667,0.725333333,T3
68,0.725333333,0.736,T3
69,0.736,0.746666667,T3
70,0.746666667,0.757333333,T3
71,0.757333333,0.768,T3
72,0.768,0.778666667,T3
73,0.778666667,0.789333333,T3
74,0.789333333,0.8,T3
75,0.8,0.810666667,T3
76,0.810666667,0.821333333,T3
77,0.821333333,0.832,T3
78,0.832,0.842666667,T3
79,0.842666667,0.853333333,T3
80,0.853333333,0.864,T3
81,0.864,0.874666667,T3
82,0.874666667,0.885333333,T3
83,0.885333333,0.896,T3
84,0.896,0.906666667,T3
85,0.906666667,0.917333333,T3
86,0.917333333,0.928,T3
87,0.928,0.938666667,T3
88,0.938666667,0.949333333,T3
89,0.949333333,0.96,T3
90,0.96,0.970666667,T3
91,0.970666667,0.981333333,T3
92,0.981333333,0.992,T3
93,0.992,1.002666667,T3
94,1.002666667,1.013333333,T3
95,1.013333333,1.024,T3
96,1.024,1.034666667,T3
97,1.034666667,1.045333333,T3
98,1.045333333,1.056,T3
99,1.056,1.066666667,T3
100,1.066666667,1.077333333,T3
101,1.077333333,1.088,T3
102,1.088,1.098666667,T3
103,1.098666667,1.109333333,T3
104,1.109333333,1.12,T3
105,1.12,1.130666667,T3
106,1.130666667,1.141333333,T3
107,1.141333333,1.152,T3
108,1.152,1.162666667,T3
109,1.162666667,1.173333333,T3
110,1.173333333,1.184,T3
111,1.184,1.194666667,T3
112,1.194666667,1.205333333,T3
113,1.205333333,1.216,T3
114,1.216,1.226666667,T3
115,1.226666667,1.237333333,T3
116,1.237333333,1.248,T3
117,1.248,1.258666667,T3
118,1.258666667,1.269333333,T3
119,1.269333333,1.28,T3
120,1.28,1.290666667,T3
121,1.290666667,1.301333333,T3
122,1.301333333,1.312,T3
123,1.312,1.322666667,T3
124,1.322666667,1.333333333,T3
125,1.333333333,1.344,T3
126,1.344,1.354666667,T3
127,1.354666667,1.365333333,T3
128,1.365333333,1.376,T3
129,1.376,1.386666667,T3
130,1.386666667,1.397333333,T3
131,1.397333333,1.408,T3
132,1.408,1.418666667,T3
133,1.418666667,1.429333333,T3
134,1.429333333,1.44,T3
135,1.44,1.450666667,T3
136,1.450666667,1.461333333,T3
137,1.461333333,1.472,T3
138,1.472,1.482666667,T3
139,1.482666667,1.493333333,T3
140,1.493333333,1.504,T3
141,1.504,1.514666667,T3
142,1.514666667,1.525333333,T3
143,1.525333333,1.536,T3
144,1.536,1.546666667,T3
145,1.546666667,1.557333333,T3
146,1.557333333,1.568,T3
147,1.568,1.578666667,T3
148,1.578666667,1.589333333,T3
149,1.589333333,1.6,T3
150,1.6,1.610666667,T3
151,1.610666667,1.621333333,T3
152,1.621333333,1.632,T3
153,1.632,1.642666667,T3
154,1.642666667,1.653333333,T3
155,1.653333333,1.664,T3
156,1.664,1.674666667,T3
157,1.674666667,1.685333333,T3
158,1.685333333,1.696,T3
159,1.696,1.706666667,T3
160,1.706666667,1.717333333,T3
161,1.717333333,1.728,T3
162,1.728,1.738666667,T3
163,1.738666667,1.749333333,T3
164,1.749333333,1.76,T3
165,1.76,1.770666667,T3
166,1.770666667,1.781333333,T3
167,1.781333333,1.792,T3
168,1.792,1.802666667,T3
169,1.802666667,1.813333333,T3
170,1.813333333,1.824,T3
171,1.824,1.834666667,T3
172,1.834666667,1.845333333,T3
173,1.845333333,1.856,T3
174,1.856,1.866666667,T3
175,1.866666667,1.877333333,T3
176,1.877333333,1.888,T3
177,1.888,1.898666667,T3
178,1.898666667,1.909333333,T3
179,1.909333333,1.92,T3
180,1.92,1.930666667,T3
181,1.930666667,1.941333333,T3
182,1.941333333,1.952,T3
183,1.952,1.962666667,T3
184,1.962666667,1.973333333,T3
185,1.973333333,1.984,T3
186,1.984,1.994666667,T3
187,1.994666667,2.005333333,T3
188,2.005333333,2.016,T3
189,2.016,2.026666667,T3
190,2.026666667,2.037333333,T3
191,2.037333333,2.048,T3
192,2.048,2.058666667,T3
193,2.058666667,2.069333333,T3
194,2.069333333,2.08,T3
195,2.08,2.090666667,T3
196,2.090666667,2.101333333,T3
197,2.101333333,2.112,T3
198,2.112,2.122666667,T3
199,2.122666667,2.133333333,T3
200,2.133333333,2.144,T3
201,2.144,2.154666667,T3
202,2.154666667,2.165333333,T3
203,2.165333333,2.176,T3
204,2.176,2.186666667,T3
205,2.186666667,2.197333333,T3
206,2.197333333,2.208,T3
207,2.208,2.218666667,T3
208,2.218666667,2.229333333,T3
209,2.229333333,2.24,T3
210,2.24,2.250666667,T3
211,2.250666667,2.261333333,T3
212,2.261333333,2.272,T3
213,2.272,2.282666667,T3
214,2.282666667,2.293333333,T3
215,2.293333333,2.304,T3
216,2.304,2.314666667,T3
217,2.314666667,2.325333333,T3
218,2.325333333,2.336,T3
219,2.336,2.346666667,T3
220,2.346666667,2.357333333,T3
221,2.357333333,2.368,T3
222,2.368,2.378666667,T3
223,2.378666667,2.389333333,T3
224,2.389333333,2.4,T3
225,2.4,2.410666667,T3
226,2.410666667,2.421333333,T3
227,2.421333333,2.432,T3
228,2.432,2.442666667,T3
229,2.442666667,2.453333333,T3
230,2.453333333,2.464,T3
231,2.464,2.474666667,T3
232,2.474666667,2.485333333,T3
233,2.485333333,2.496,T3
234,2.496,2.506666667,T3
235,2.506666667,2.517333333,T3
236,2.517333333,2.528,T3
237,2.528,2.538666667,T3
238,2.538666667,2.549333333,T3
239,2.549333333,2.56,T3
240,2.56,2.570666667,T3
241,2.570666667,2.581333333,T3
242,2.581333333,2.592,T3
243,2.592,2.602666667,T3
244,2.602666667,2.613333333,T3
245,2.613333333,2.624,T3
246,2.624,2.634666667,T3
247,2.634666667,2.645333333,T3
248,2.645333333,2.656,T3
249,2.656,2.666666667,T3
250,2.666666667,2.677333333,T3
251,2.677333333,2.688,T3
252,2.688,2.698666667,T3
253,2.698666667,2.709333333,T3
254,2.709333333,2.72,T3
255,2.72,2.730666667,T3
256,2.730666667,2.741333333,T3
257,2.741333333,2.752,T3
258,2.752,2.762666667,T3
259,2.762666667,2.773333333,T3
260,2.773333333,2.784,T3
261,2.784,2.794666667,T3
262,2.794666667,2.805333333,T3
263,2.805333333,2.816,T3
264,2.816,2.826666667,T3
265,2.826666667,2.837333333,T3
266,2.837333333,2.848,T3
267,2.848,2.858666667,T3
268,2.858666667,2.869333333,T3
269,2.869333333,2.88,T3
270,2.88,2.890666667,T3
271,2.890666667,2.901333333,T3
272,2.901333333,2.912,T3
273,2.912,2.922666667,T3
274,2.922666667,2.933333333,T3
275,2.933333333,2.944,T3
276,2.944,2.954666667,T3
277,2.954666667,2.965333333,T3
278,2.965333333,2.976,T3
279,2.976,2.986666667,T3
280,2.986666667,2.997333333,T3
281,2.997333333,3.008,T3
282,3.008,3.018666667,T3
283,3.018666667,3.029333333,T3
284,3.029333333,3.04,T3
285,3.04,3.050666667,T3
286,3.050666667,3.061333333,T3
287,3.061333333,3.072,T3
288,3.072,3.082666667,T3
289,3.082666667,3.093333333,T3
290,3.093333333,3.104,T3
291,3.104,3.114666667,T3
292,3.114666667,3.125333333,T3
293,3.125333333,3.136,T3
294,3.136,3.146666667,T3
295,3.146666667,3.157333333,T3
296,3.157333333,3.168,T3
297,3.168,3.178666667,T3
298,3.178666667,3.189333333,T3
299,3.189333333,3.2,T3
300,3.2,3.210666667,T3
301,3.210666667,3.221333333,T3
302,3.221333333,3.232,T3
303,3.232,3.242666667,T3
304,3.242666667,3.253333333,T3
305,3.253333333,3.264,T3
306,3.264,3.274666667,T3
307,3.274666667,3.285333333,T3
308,3.285333333,3.296,T3
309,3.296,3.306666667,T3
310,3.306666667,3.317333333,T3
311,3.317333333,3.328,T3
312,3.328,3.338666667,T3
313,3.338666667,3.349333333,T3
314,3.349333333,3.36,T3
315,3.36,3.370666667,T3
316,3.370666667,3.381333333,T3
317,3.381333333,3.392,T3
318,3.392,3.402666667,T3
319,3.402666667,3.413333333,T3
320,3.413333333,3.424,T3
321,3.424,3.434666667,T3
322,3.434666667,3.445333333,T3
323,3.445333333,3.456,T3
324,3.456,3.466666667,T3
325,3.466666667,3.477333333,T3
326,3.477333333,3.488,T3
327,3.488,3.498666667,T3
328,3.498666667,3.509333333,T3
329,3.509333333,3.52,T3
330,3.52,3.530666667,T3
331,3.530666667,3.541333333,T3
332,3.541333333,3.552,T3
333,3.552,3.562666667,T3
334,3.562666667,3.573333333,T3
335,3.573333333,3.584,T3
336,3.584,3.594666667,T3
337,3.594666667,3.605333333,T3
338,3.605333333,3.616,T3
339,3.616,3.626666667,T3
340,3.626666667,3.637333333,T3
341,3.637333333,3.648,T3
342,3.648,3.658666667,T3
343,3.658666667,3.669333333,T3
344,3.669333333,3.68,T3
345,3.68,3.690666667,T3
346,3.690666667,3.701333333,T3
347,3.701333333,3.712,T3
348,3.712,3.722666667,T3
349,3.722666667,3.733333333,T3
350,3.733333333,3.744,T3
351,3.744,3.754666667,T3
352,3.754666667,3.765333333,T3
353,3.765333333,3.776,T3
354,3.776,3.786666667,T3
355,3.786666667,3.797333333,T3
356,3.797333333,3.808,T3
357,3.808,3.818666667,T3
358,3.818666667,3.829333333,T3
359,3.829333333,3.84,T3
360,3.84,3.850666667,T3
361,3.850666667,3.861333333,T3
362,3.861333333,3.872,T3
363,3.872,3.882666667,T3
364,3.882666667,3.893333333,T3
365,3.893333333,3.904,T3
366,3.904,3.914666667,T3
367,3.914666667,3.925333333,T3
368,3.925333333,3.936,T3
369,3.936,3.946666667,T3
370,3.946666667,3.957333333,T3
371,3.957333333,3.968,T3
372,3.968,3.978666667,T3
373,3.978666667,3.989333333,T3
374,3.989333333,4,T3
375,4,4.010666667,T3
376,4.010666667,4.021333333,T3
377,4.021333333,4.032,T3
378,4.032,4.042666667,T3
379,4.042666667,4.053333333,T3
380,4.053333333,4.064,T3
381,4.064,4.074666667,T3
382,4.074666667,4.085333333,T3
383,4.085333333,4.096,T3
384,4.096,4.106666667,T3
385,4.106666667,4.117333333,T3
386,4.117333333,4.128,T3
387,4.128,4.138666667,T3
388,4.138666667,4.149333333,T3
389,4.149333333,4.16,T3
390,4.16,4.170666667,T3
391,4.170666667,4.181333333,T3
392,4.181333333,4.192,T3
393,4.192,4.202666667,T3
394,4.202666667,4.213333333,T3
395,4.213333333,4.224,T3
396,4.224,4.234666667,T3
397,4.234666667,4.245333333,T3
398,4.245333333,4.256,T3
399,4.256,4.266666667,T3
400,4.266666667,4.277333333,T3
401,4.277333333,4.288,T3
402,4.288,4.298666667,T3
403,4.298666667,4.309333333,T3
404,4.309333333,4.32,T3
405,4.32,4.330666667,T3
406,4.330666667,4.341333333,T3
407,4.341333333,4.352,T3
408,4.352,4.362666667,T3
409,4.362666667,4.373333333,T3
410,4.373333333,4.384,T3
411,4.384,4.394666667,T3
412,4.394666667,4.405333333,T3
413,4.405333333,4.416,T3
414,4.416,4.426666667,T3
415,4.426666667,4.437333333,T3
416,4.437333333,4.448,T3
417,4.448,4.458666667,T3
418,4.458666667,4.469333333,T3
419,4.469333333,4.48,T3
420,4.48,4.490666667,T3
421,4.490666667,4.501333333,T3
422,4.501333333,4.512,T3
423,4.512,4.522666667,T3
424,4.522666667,4.533333333,T3
425,4.533333333,4.544,T3
426,4.544,4.554666667,T3
427,4.554666667,4.565333333,T3
428,4.565333333,4.576,T3
429,4.576,4.586666667,T3
430,4.586666667,4.597333333,T3
431,4.597333333,4.608,T3
432,4.608,4.618666667,T3
433,4.618666667,4.629333333,T3
434,4.629333333,4.64,T3
435,4.64,4.650666667,T3
436,4.650666667,4.661333333,T3
437,4.661333333,4.672,T3
438,4.672,4.682666667,T3
439,4.682666667,4.693333333,T3
440,4.693333333,4.704,T3
441,4.704,4.714666667,T3
442,4.714666667,4.725333333,T3
443,4.725333333,4.736,T3
444,4.736,4.746666667,T3
445,4.746666667,4.757333333,T3
446,4.757333333,4.768,T3
447,4.768,4.778666667,T3
448,4.778666667,4.789333333,T3
449,4.789333333,4.8,T3
450,4.8,4.810666667,T3
451,4.810666667,4.821333333,T3
452,4.821333333,4.832,T3
453,4.832,4.842666667,T3
454,4.842666667,4.853333333,T3
455,4.853333333,4.864,T3
456,4.864,4.874666667,T3
457,4.874666667,4.885333333,T3
458,4.885333333,4.896,T3
459,4.896,4.906666667,T3
460,4.906666667,4.917333333,T3
461,4.917333333,4.928,T3
462,4.928,4.938666667,T3
463,4.938666667,4.949333333,T3
464,4.949333333,4.96,T3
465,4.96,4.970666667,T3
466,4.970666667,4.981333333,T3
467,4.981333333,4.992,T3
468,4.992,5.002666667,T3
469,5.002666667,5.013333333,T3
470,5.013333333,5.024,T3
471,5.024,5.034666667,T3
472,5.034666667,5.045333333,T3
473,5.045333333,5.056,T3
474,5.056,5.066666667,T3
475,5.066666667,5.077333333,T3
476,5.077333333,5.088,T3
477,5.088,5.098666667,T3
478,5.098666667,5.109333333,T3
479,5.109333333,5.12,T3
480,5.12,5.130666667,T3
481,5.130666667,5.141333333,T3
482,5.141333333,5.152,T3
483,5.152,5.162666667,T3
484,5.162666667,5.173333333,T3
485,5.173333333,5.184,T3
486,5.184,5.194666667,T3
487,5.194666667,5.205333333,T3
488,5.205333333,5.216,T3
489,5.216,5.226666667,T3
490,5.226666667,5.237333333,T3
491,5.237333333,5.248,T3
492,5.248,5.258666667,T3
493,5.258666667,5.269333333,T3
494,5.269333333,5.28,T3
495,5.28,5.290666667,T3
496,5.290666667,5.301333333,T3
497,5.301333333,5.312,T3
498,5.312,5.322666667,T3
499,5.322666667,5.333333333,T3
500,5.333333333,5.344,T3
501,5.344,5.354666667,T3
502,5.354666667,5.365333333,T3
503,5.365333333,5.376,T3
504,5.376,5.386666667,T3
505,5.386666667,5.397333333,T3
506,5.397333333,5.408,T3
507,5.408,5.418666667,T3
508,5.418666667,5.429333333,T3
509,5.429333333,5.44,T3
510,5.44,5.450666667,T3
511,5.450666667,5.461333333,T3
512,5.461333333,5.472,T3
513,5.472,5.482666667,T3
514,5.482666667,5.493333333,T3
515,5.493333333,5.504,T3
516,5.504,5.514666667,T3
517,5.514666667,5.525333333,T3
518,5.525333333,5.536,T3
519,5.536,5.546666667,T3
520,5.546666667,5.557333333,T3
521,5.557333333,5.568,T3
522,5.568,5.578666667,T3
523,5.578666667,5.589333333,T3
524,5.589333333,5.6,T3
525,5.6,5.610666667,T3
526,5.610666667,5.621333333,T3
527,5.621333333,5.632,T3
528,5.632,5.642666667,silence
529,5.642666667,5.653333333,silence
530,5.653333333,5.664,silence
531,5.664,5.674666667,silence
532,5.674666667,5.685333333,silence
533,5.685333333,5.696,silence
534,5.696,5.706666667,silence
535,5.706666667,5.717333333,silence
536,5.717333333,5.728,silence
537,5.728,5.738666667,silence
538,5.738666667,5.749333333,silence
539,5.749333333,5.76,silence
540,5.76,5.770666667,silence
541,5.770666667,5.781333333,silence
542,5.781333333,5.792,silence
543,5.792,5.802666667,silence
544,5.802666667,5.813333333,silence
545,5.813333333,5.824,silence
546,5.824,5.834666667,silence
547,5.834666667,5.845333333,silence
548,5.845333333,5.856,silence
549,5.856,5.866666667,silence
550,5.866666667,5.877333333,silence
551,5.877333333,5.888,silence
552,5.888,5.898666667,silence
553,5.898666667,5.909333333,silence
554,5.909333333,5.92,silence
555,5.92,5.930666667,silence
556,5.930666667,5.941333333,silence
557,5.941333333,5.952,silence
558,5.952,5.962666667,silence
559,5.962666667,5.973333333,silence
560,5.973333333,5.984,silence
561,5.984,5.994666667,silence
562,5.994666667,6.005333333,silence
563,6.005333333,6.016,silence
564,6.016,6.026666667,silence
565,6.026666667,6.037333333,silence
566,6.037333333,6.048,silence
567,6.048,6.058666667,silence
568,6.058666667,6.069333333,silence
569,6.069333333,6.08,silence
570,6.08,6.090666667,silence
571,6.090666667,6.101333333,silence
572,6.101333333,6.112,silence
573,6.112,6.122666667,silence
574,6.122666667,6.133333333,silence
575,6.133333333,6.144,silence
576,6.144,6.154666667,silence
577,6.154666667,6.165333333,silence
578,6.165333333,6.176,silence
579,6.176,6.186666667,silence
580,6.186666667,6.197333333,silence
581,6.197333333,6.208,silence
582,6.208,6.218666667,silence
583,6.218666667,6.229333333,silence
584,6.229333333,6.24,silence
585,6.24,6.250666667,silence
586,6.250666667,6.261333333,silence
587,6.261333333,6.272,silence
588,6.272,6.282666667,silence
589,6.282666667,6.293333333,silence
590,6.293333333,6.304,silence
591,6.304,6.314666667,silence
592,6.314666667,6.325333333,silence
593,6.325333333,6.336,silence
594,6.336,6.346666667,silence
595,6.346666667,6.357333333,silence
596,6.357333333,6.368,silence
597,6.368,6.378666667,silence
598,6.378666667,6.389333333,silence
599,6.389333333,6.4,silence
600,6.4,6.410666667,silence
