frame,start_time,end_time,label
0,0,0.010666667,"P2, P3"
1,0.010666667,0.021333333,"P2, P3"
2,0.021333333,0.032,"P2, P3"
3,0.032,0.042666667,"P2, P3"
4,0.042666667,0.053333333,"P2, P3"
5,0.053333333,0.064,"P2, P3"
6,0.064,0.074666667,"P2, P3"
7,0.074666667,0.085333333,"P2, P3"
8,0.085333333,0.096,"P2, P3"
9,0.096,0.106666667,"P2, P3"
10,0.106666667,0.117333333,"P2, P3"
11,0.117333333,0.128,"P2, P3"
12,0.128,0.138666667,"P2, P3"
13,0.138666667,0.149333333,"P2, P3"
14,0.149333333,0.16,"P2, P3"
15,0.16,0.170666667,"P2, P3"
16,0.170666667,0.181333333,"P2, P3"
17,0.181333333,0.192,"P2, P3"
18,0.192,0.202666667,"P2, P3"
19,0.202666667,0.213333333,"P2, P3"
20,0.213333333,0.224,"P2, P3"
21,0.224,0.234666667,"P2, P3"
22,0.234666667,0.245333333,"P2, P3"
23,0.245333333,0.256,"P2, P3"
24,0.256,0.266666667,"P2, P3"
25,0.266666667,0.277333333,"P2, P3"
26,0.277333333,0.288,"P2, P3"
27,0.288,0.298666667,"P2, P3"
28,0.298666667,0.309333333,"P2, P3"
29,0.309333333,0.32,"P2, P3"
30,0.32,0.330666667,"P2, P3"
31,0.330666667,0.341333333,"P2, P3"
32,0.341333333,0.352,"P2, P3"
33,0.352,0.362666667,"P2, P3"
34,0.362666667,0.373333333,"P2, P3"
35,0.373333333,0.384,"P2, P3"
36,0.384,0.394666667,"P2, P3"
37,0.394666667,0.405333333,"P2, P3"
38,0.405333333,0.416,"P2, P3"
39,0.416,0.426666667,"P2, P3"
40,0.426666667,0.437333333,"P2, P3"
41,0.437333333,0.448,"P2, P3"
42,0.448,0.458666667,"P2, P3"
43,0.458666667,0.469333333,"P2, P3"
44,0.469333333,0.48,"P2, P3"
45,0.48,0.490666667,"P2, P3"
46,0.490666667,0.501333333,"P2, P3"
47,0.501333333,0.512,"P2, P3"
48,0.512,0.522666667,"P2, P3"
49,0.522666667,0.533333333,"P2, P3"
50,0.533333333,0.544,"P2, P3"
51,0.544,0.554666667,"P2, P3"
52,0.554666667,0.565333333,"P2, P3"
53,0.565333333,0.576,"P2, P3"
54,0.576,0.586666667,"P2, P3"
55,0.586666667,0.597333333,"P2, P3"
56,0.597333333,0.608,"P2, P3"
57,0.608,0.618666667,"P2, P3"
58,0.618666667,0.629333333,"P2, P3"
59,0.629333333,0.64,"P2, P3"
60,0.64,0.650666667,"P2, P3"
61,0.650666667,0.661333333,"P2, P3"
62,0.661333333,0.672,"P2, P3"
63,0.672,0.682666667,"P2, P3"
64,0.682666667,0.693333333,"P2, P3"
65,0.693333333,0.704,"P2, P3"
66,0.704,0.714666667,"P2, P3"
67,0.714666667,0.725333333,"P2, P3"
68,0.725333333,0.736,"P2, P3"
69,0.736,0.746666667,"P2, P3"
70,0.746666667,0.757333333,"P2, P3"
71,0.757333333,0.768,"P2, P3"
72,0.768,0.778666667,"P2, P3"
73,0.778666667,0.789333333,"P2, P3"
74,0.789333333,0.8,"P2, P3"
75,0.8,0.810666667,"P2, P3"
76,0.810666667,0.821333333,"P2, P3"
77,0.821333333,0.832,"P2, P3"
78,0.832,0.842666667,"P2, P3"
79,0.842666667,0.853333333,"P2, P3"
80,0.853333333,0.864,"P2, P3"
81,0.864,0.874666667,"P2, P3"
82,0.874666667,0.885333333,"P2, P3"
83,0.885333333,0.896,silence
84,0.896,0.906666667,silence
85,0.906666667,0.917333333,silence
86,0.917333333,0.928,silence
87,0.928,0.938666667,silence
88,0.938666667,0.949333333,silence
89,0.949333333,0.96,silence
90,0.96,0.970666667,silence
91,0.970666667,0.981333333,silence
92,0.981333333,0.992,silence
93,0.992,1.002666667,silence
94,1.002666667,1.013333333,silence
95,1.013333333,1.024,silence
96,1.024,1.034666667,silence
97,1.034666667,1.045333333,silence
98,1.045333333,1.056,silence
