frame,start_time,end_time,label
0,0,0.010666667,silence
1,0.010666667,0.021333333,silence
2,0.021333333,0.032,silence
3,0.032,0.042666667,silence
4,0.042666667,0.053333333,silence
5,0.053333333,0.064,silence
6,0.064,0.074666667,silence
7,0.074666667,0.085333333,silence
8,0.085333333,0.096,silence
9,0.096,0.106666667,silence
10,0.106666667,0.117333333,silence
11,0.117333333,0.128,silence
12,0.128,0.138666667,silence
13,0.138666667,0.149333333,silence
14,0.149333333,0.16,silence
15,0.16,0.170666667,silence
16,0.170666667,0.181333333,silence
17,0.181333333,0.192,silence
18,0.192,0.202666667,silence
19,0.202666667,0.213333333,silence
20,0.213333333,0.224,silence
21,0.224,0.234666667,silence
22,0.234666667,0.245333333,silence
23,0.245333333,0.256,silence
24,0.256,0.266666667,silence
25,0.266666667,0.277333333,silence
26,0.277333333,0.288,silence
27,0.288,0.298666667,silence
28,0.298666667,0.309333333,silence
29,0.309333333,0.32,silence
30,0.32,0.330666667,silence
31,0.330666667,0.341333333,silence
32,0.341333333,0.352,silence
33,0.352,0.362666667,silence
34,0.362666667,0.373333333,silence
35,0.373333333,0.384,silence
36,0.384,0.394666667,silence
37,0.394666667,0.405333333,silence
38,0.405333333,0.416,silence
39,0.416,0.426666667,silence
40,0.426666667,0.437333333,silence
41,0.437333333,0.448,silence
42,0.448,0.458666667,silence
43,0.458666667,0.469333333,silence
44,0.469333333,0.48,silence
45,0.48,0.490666667,silence
46,0.490666667,0.501333333,silence
47,0.501333333,0.512,silence
48,0.512,0.522666667,silence
49,0.522666667,0.533333333,silence
50,0.533333333,0.544,silence
51,0.544,0.554666667,silence
52,0.554666667,0.565333333,"P1, T1, T2"
53,0.565333333,0.576,"P1, T1, T2"
54,0.576,0.586666667,"P1, T1, T2"
55,0.586666667,0.597333333,"P1, T1, T2"
56,0.597333333,0.608,"P1, T1, T2"
57,0.608,0.618666667,"P1, T1, T2"
58,0.618666667,0.629333333,"P1, T1, T2"
59,0.629333333,0.64,"P1, T1, T2"
60,0.64,0.650666667,"P1, T1, T2"
61,0.650666667,0.661333333,"P1, T1, T2"
62,0.661333333,0.672,"P1, T1, T2"
63,0.672,0.682666667,"P1, T1, T2"
64,0.682666667,0.693333333,"P1, T1, T2"
65,0.693333333,0.704,"P1, T1, T2"
66,0.704,0.714666667,"P1, T1, T2"
67,0.714666667,0.725333333,"P1, T1, T2"
68,0.725333333,0.736,"P1, T1, T2"
69,0.736,0.746666667,"P1, T1, T2"
70,0.746666667,0.757333333,"P1, T1, T2"
71,0.757333333,0.768,"P1, T1, T2"
72,0.768,0.778666667,"P1, T1, T2"
73,0.778666667,0.789333333,"P1, T1, T2"
74,0.789333333,0.8,"P1, T1, T2"
75,0.8,0.810666667,"P1, T1, T2"
76,0.810666667,0.821333333,"P1, T1, T2"
77,0.821333333,0.832,"P1, T1, T2"
78,0.832,0.842666667,"P1, T1, T2"
79,0.842666667,0.853333333,"P1, T1, T2"
80,0.853333333,0.864,"P1, T1, T2"
81,0.864,0.874666667,"P1, T1, T2"
82,0.874666667,0.885333333,"P1, T1, T2"
83,0.885333333,0.896,"P1, T1, T2"
84,0.896,0.906666667,"P1, T1, T2"
85,0.906666667,0.917333333,"P1, T1, T2"
86,0.917333333,0.928,"P1, T1, T2"
87,0.928,0.938666667,"P1, T1, T2"
88,0.938666667,0.949333333,"P1, T1, T2"
89,0.949333333,0.96,"P1, T1, T2"
90,0.96,0.970666667,"P1, T1, T2"
91,0.970666667,0.981333333,"P1, T1, T2"
92,0.981333333,0.992,"P1, T1, T2"
93,0.992,1.002666667,"P1, T1, T2"
94,1.002666667,1.013333333,"P1, T1, T2"
95,1.013333333,1.024,"P1, T1, T2"
96,1.024,1.034666667,"P1, T1, T2"
97,1.034666667,1.045333333,"P1, T1, T2"
98,1.045333333,1.056,"P1, T1, T2"
99,1.056,1.066666667,"P1, T1, T2"
100,1.066666667,1.077333333,"P1, T1, T2"
101,1.077333333,1.088,"P1, T1, T2"
102,1.088,1.098666667,"P1, T1, T2"
103,1.098666667,1.109333333,"P1, T1, T2"
104,1.109333333,1.12,"P1, T1, T2"
105,1.12,1.130666667,"P1, T1, T2"
106,1.130666667,1.141333333,"P1, T1, T2"
107,1.141333333,1.152,"P1, T1, T2"
108,1.152,1.162666667,"P1, T1, T2"
109,1.162666667,1.173333333,"P1, T1, T2"
110,1.173333333,1.184,"P1, T1, T2"
111,1.184,1.194666667,"P1, T1, T2"
112,1.194666667,1.205333333,"P1, T1, T2"
113,1.205333333,1.216,"P1, T1, T2"
114,1.216,1.226666667,"P1, T1, T2"
115,1.226666667,1.237333333,"P1, T1, T2"
116,1.237333333,1.248,"P1, T1, T2"
117,1.248,1.258666667,"P1, T1, T2"
118,1.258666667,1.269333333,"P1, T1, T2"
119,1.269333333,1.28,"P1, T1, T2"
120,1.28,1.290666667,"P1, T1, T2"
121,1.290666667,1.301333333,"P1, T1, T2"
122,1.301333333,1.312,"P1, T1, T2"
123,1.312,1.322666667,"P1, T1, T2"
124,1.322666667,1.333333333,"P1, T1, T2"
125,1.333333333,1.344,"P1, T1, T2"
126,1.344,1.354666667,"P1, T1, T2"
127,1.354666667,1.365333333,"P1, T1, T2"
128,1.365333333,1.376,"P1, T1, T2"
129,1.376,1.386666667,"P1, T1, T2"
130,1.386666667,1.397333333,"P1, T1, T2"
131,1.397333333,1.408,"P1, T1, T2"
132,1.408,1.418666667,"P1, T1, T2"
133,1.418666667,1.429333333,"P1, T1, T2"
134,1.429333333,1.44,"P1, T1, T2"
135,1.44,1.450666667,"P1, T1, T2"
136,1.450666667,1.461333333,silence
137,1.461333333,1.472,silence
138,1.472,1.482666667,silence
139,1.482666667,1.493333333,silence
140,1.493333333,1.504,silence
141,1.504,1.514666667,silence
142,1.514666667,1.525333333,silence
143,1.525333333,1.536,silence
144,1.536,1.546666667,silence
145,1.546666667,1.557333333,silence
146,1.557333333,1.568,silence
147,1.568,1.578666667,silence
