window_idx,start_time,end_time,label
0,0,0.01,silence
1,0.01,0.02,silence
2,0.02,0.03,silence
3,0.03,0.04,silence
4,0.04,0.05,silence
5,0.05,0.06,P1_T2
6,0.06,0.07,P1_T2
7,0.07,0.08,P1_T2
8,0.08,0.09,P1_T2
9,0.09,0.1,P1_T2
10,0.1,0.11,P1_T2
11,0.11,0.12,P1_T2
12,0.12,0.13,P1_T2
13,0.13,0.14,P1_T2
14,0.14,0.15,P1_T2
15,0.15,0.16,P1_T2
16,0.16,0.17,P1_T2
17,0.17,0.18,P1_T2
18,0.18,0.19,P1_T2
19,0.19,0.2,P1_T2
20,0.2,0.21,P1_T2
21,0.21,0.22,P1_T2
22,0.22,0.23,P1_T2
23,0.23,0.24,P1_T2
24,0.24,0.25,P1_T2
25,0.25,0.26,P1_T2
26,0.26,0.27,P1_T2
27,0.27,0.28,P1_T2
28,0.28,0.29,P1_T2
29,0.29,0.3,P1_T2
30,0.3,0.31,P1_T2
31,0.31,0.32,P1_T2
32,0.32,0.33,P1_T2
33,0.33,0.34,P1_T2
34,0.34,0.35,P1_T2
35,0.35,0.36,P1_T2
36,0.36,0.37,P1_T2
37,0.37,0.38,P1_T2
38,0.38,0.39,P1_T2
39,0.39,0.4,P1_T2
40,0.4,0.41,P1_T2
41,0.41,0.42,P1_T2
42,0.42,0.43,P1_T2
43,0.43,0.44,P1_T2
44,0.44,0.45,P1_T2
45,0.45,0.46,P1_T2
46,0.46,0.47,P1_T2
47,0.47,0.48,P1_T2
48,0.48,0.49,P1_T2
49,0.49,0.5,P1_T2
50,0.5,0.51,P1_T2
51,0.51,0.52,P1_T2
52,0.52,0.53,P1_T2
53,0.53,0.54,P1_T2
54,0.54,0.55,P1_T2
55,0.55,0.56,P1_T2
56,0.56,0.57,P1_T2
57,0.57,0.58,P1_T2
58,0.58,0.59,P1_T2
59,0.59,0.6,P1_T2
60,0.6,0.61,P1_T2
61,0.61,0.62,P1_T2
62,0.62,0.63,P1_T2
63,0.63,0.64,P1_T2
64,0.64,0.65,P1_T2
65,0.65,0.66,P1_T2
66,0.66,0.67,P1_T2
67,0.67,0.68,P1_T2
68,0.68,0.69,P1_T2
69,0.69,0.7,P1_T2
70,0.7,0.71,P1_T2
71,0.71,0.72,P1_T2
72,0.72,0.73,P1_T2
73,0.73,0.74,P1_T2
74,0.74,0.75,P1_T2
75,0.75,0.76,P1_T2
76,0.76,0.77,P1_T2
77,0.77,0.78,P1_T2
78,0.78,0.79,P1_T2
79,0.79,0.8,P1_T2
80,0.8,0.81,P1_T2
81,0.81,0.82,silence
82,0.82,0.83,silence
83,0.83,0.84,silence
84,0.84,0.85,silence
85,0.85,0.86,silence
86,0.86,0.87,silence
87,0.87,0.88,silence
88,0.88,0.89,silence
