window_idx,start_time,end_time,label
0,0,0.01,silence
1,0.01,0.02,silence
2,0.02,0.03,silence
3,0.03,0.04,silence
4,0.04,0.05,silence
5,0.05,0.06,silence
6,0.06,0.07,silence
7,0.07,0.08,silence
8,0.08,0.09,silence
9,0.09,0.1,silence
10,0.1,0.11,silence
11,0.11,0.12,silence
12,0.12,0.13,silence
13,0.13,0.14,silence
14,0.14,0.15,silence
15,0.15,0.16,silence
16,0.16,0.17,silence
17,0.17,0.18,silence
18,0.18,0.19,silence
19,0.19,0.2,silence
20,0.2,0.21,P1_P3
21,0.21,0.22,P1_P3
22,0.22,0.23,P1_P3
23,0.23,0.24,P1_P3
24,0.24,0.25,P1_P3
25,0.25,0.26,P1_P3
26,0.26,0.27,P1_P3
27,0.27,0.28,P1_P3
28,0.28,0.29,P1_P3
29,0.29,0.3,P1_P3
30,0.3,0.31,P1_P3
31,0.31,0.32,P1_P3
32,0.32,0.33,P1_P3
33,0.33,0.34,P1_P3
34,0.34,0.35,P1_P3
35,0.35,0.36,P1_P3
36,0.36,0.37,P1_P3
37,0.37,0.38,P1_P3
38,0.38,0.39,P1_P3
39,0.39,0.4,P1_P3
40,0.4,0.41,P1_P3
41,0.41,0.42,P1_P3
42,0.42,0.43,P1_P3
43,0.43,0.44,P1_P3
44,0.44,0.45,P1_P3
45,0.45,0.46,P1_P3
46,0.46,0.47,P1_P3
47,0.47,0.48,P1_P3
48,0.48,0.49,P1_P3
49,0.49,0.5,P1_P3
50,0.5,0.51,P1_P3
51,0.51,0.52,P1_P3
52,0.52,0.53,P1_P3
53,0.53,0.54,P1_P3
54,0.54,0.55,P1_P3
55,0.55,0.56,P1_P3
56,0.56,0.57,P1_P3
57,0.57,0.58,P1_P3
58,0.58,0.59,P1_P3
59,0.59,0.6,P1_P3
60,0.6,0.61,P1_P3
61,0.61,0.62,P1_P3
62,0.62,0.63,P1_P3
63,0.63,0.64,P1_P3
64,0.64,0.65,P1_P3
65,0.65,0.66,P1_P3
66,0.66,0.67,P1_P3
67,0.67,0.68,P1_P3
68,0.68,0.69,P1_P3
69,0.69,0.7,P1_P3
70,0.7,0.71,P1_P3
71,0.71,0.72,P1_P3
72,0.72,0.73,P1_P3
73,0.73,0.74,P1_P3
74,0.74,0.75,P1_P3
75,0.75,0.76,silence
76,0.76,0.77,silence
77,0.77,0.78,silence
78,0.78,0.79,silence
79,0.79,0.8,silence
80,0.8,0.81,silence
81,0.81,0.82,silence
82,0.82,0.83,silence
83,0.83,0.84,silence
84,0.84,0.85,silence
85,0.85,0.86,silence
86,0.86,0.87,silence
87,0.87,0.88,silence
88,0.88,0.89,silence
89,0.89,0.9,silence
90,0.9,0.91,silence
91,0.91,0.92,silence
92,0.92,0.93,silence
93,0.93,0.94,silence
94,0.94,0.95,silence
95,0.95,0.96,silence
96,0.96,0.97,silence
97,0.97,0.98,silence
98,0.98,0.99,silence
99,0.99,1,silence
100,1,1.01,silence
