window_idx,start_time,end_time,label
0,0,0.01,"""silence"""
1,0.01,0.02,"""silence"""
2,0.02,0.03,"""silence"""
3,0.03,0.04,"""silence"""
4,0.04,0.05,"""silence"""
5,0.05,0.06,"""silence"""
6,0.06,0.07,"""silence"""
7,0.07,0.08,"""silence"""
8,0.08,0.09,"""silence"""
9,0.09,0.1,"""silence"""
10,0.1,0.11,"""silence"""
11,0.11,0.12,"""silence"""
12,0.12,0.13,"""silence"""
13,0.13,0.14,"""silence"""
14,0.14,0.15,"""silence"""
15,0.15,0.16,"""silence"""
16,0.16,0.17,"""silence"""
17,0.17,0.18,"""silence"""
18,0.18,0.19,"""silence"""
19,0.19,0.2,"""silence"""
20,0.2,0.21,"""silence"""
21,0.21,0.22,"""silence"""
22,0.22,0.23,"""silence"""
23,0.23,0.24,"""silence"""
24,0.24,0.25,"""silence"""
25,0.25,0.26,"""silence"""
26,0.26,0.27,"""silence"""
27,0.27,0.28,"""silence"""
28,0.28,0.29,"""silence"""
29,0.29,0.3,"""silence"""
30,0.3,0.31,"""silence"""
31,0.31,0.32,"""silence"""
32,0.32,0.33,"""silence"""
33,0.33,0.34,"""silence"""
34,0.34,0.35,"""silence"""
35,0.35,0.36,"""silence"""
36,0.36,0.37,"""silence"""
37,0.37,0.38,"""silence"""
38,0.38,0.39,"""silence"""
39,0.39,0.4,"""silence"""
40,0.4,0.41,"""silence"""
41,0.41,0.42,"""silence"""
42,0.42,0.43,"""silence"""
43,0.43,0.44,"""silence"""
44,0.44,0.45,"""silence"""
45,0.45,0.46,"""silence"""
46,0.46,0.47,"""silence"""
47,0.47,0.48,"""silence"""
48,0.48,0.49,"""silence"""
49,0.49,0.5,"""silence"""
50,0.5,0.51,"""silence"""
51,0.51,0.52,"""silence"""
52,0.52,0.53,"""silence"""
53,0.53,0.54,"""silence"""
54,0.54,0.55,"""silence"""
55,0.55,0.56,"""silence"""
56,0.56,0.57,"""silence"""
57,0.57,0.58,"""silence"""
58,0.58,0.59,"""silence"""
59,0.59,0.6,"""silence"""
60,0.6,0.61,"""silence"""
61,0.61,0.62,"""silence"""
62,0.62,0.63,"""silence"""
63,0.63,0.64,"""silence"""
64,0.64,0.65,"""silence"""
65,0.65,0.66,"""silence"""
66,0.66,0.67,"""silence"""
67,0.67,0.68,"""silence"""
68,0.68,0.69,"""silence"""
69,0.69,0.7,"""silence"""
70,0.7,0.71,"""silence"""
71,0.71,0.72,"""silence"""
72,0.72,0.73,"""silence"""
73,0.73,0.74,"""silence"""
74,0.74,0.75,"""silence"""
75,0.75,0.76,"""silence"""
76,0.76,0.77,"""silence"""
77,0.77,0.78,"""silence"""
78,0.78,0.79,"""silence"""
79,0.79,0.8,"""silence"""
80,0.8,0.81,"""silence"""
81,0.81,0.82,"""silence"""
82,0.82,0.83,"""silence"""
83,0.83,0.84,"""silence"""
84,0.84,0.85,"""silence"""
85,0.85,0.86,"""silence"""
86,0.86,0.87,"""silence"""
87,0.87,0.88,"""silence"""
88,0.88,0.89,"""silence"""
89,0.89,0.9,"""silence"""
90,0.9,0.91,"""silence"""
91,0.91,0.92,"""silence"""
92,0.92,0.93,"""silence"""
93,0.93,0.94,"""silence"""
94,0.94,0.95,"""silence"""
95,0.95,0.96,"""silence"""
96,0.96,0.97,"""silence"""
97,0.97,0.98,"""silence"""
98,0.98,0.99,"""silence"""
99,0.99,1,"""silence"""
100,1,1.01,"""silence"""
101,1.01,1.02,"""silence"""
102,1.02,1.03,"""silence"""
103,1.03,1.04,"""silence"""
104,1.04,1.05,"""silence"""
105,1.05,1.06,"""silence"""
106,1.06,1.07,"""silence"""
107,1.07,1.08,"""silence"""
108,1.08,1.09,"""silence"""
109,1.09,1.1,"""silence"""
110,1.1,1.11,"""silence"""
111,1.11,1.12,"""silence"""
112,1.12,1.13,"""silence"""
113,1.13,1.14,"""silence"""
114,1.14,1.15,"""silence"""
115,1.15,1.16,"""silence"""
116,1.16,1.17,"""silence"""
117,1.17,1.18,"""silence"""
118,1.18,1.19,"""silence"""
119,1.19,1.2,"""silence"""
120,1.2,1.21,"""silence"""
121,1.21,1.22,"""silence"""
122,1.22,1.23,"""silence"""
123,1.23,1.24,"""silence"""
124,1.24,1.25,"""silence"""
125,1.25,1.26,"""silence"""
126,1.26,1.27,"""silence"""
127,1.27,1.28,"""silence"""
128,1.28,1.29,"""silence"""
129,1.29,1.3,"""silence"""
130,1.3,1.31,"""silence"""
131,1.31,1.32,"""silence"""
132,1.32,1.33,"""silence"""
133,1.33,1.34,"""silence"""
134,1.34,1.35,"""silence"""
135,1.35,1.36,"""silence"""
136,1.36,1.37,"""silence"""
137,1.37,1.38,"""silence"""
138,1.38,1.39,"""silence"""
139,1.39,1.4,"""silence"""
140,1.4,1.41,"""silence"""
141,1.41,1.42,"""silence"""
142,1.42,1.43,"""silence"""
143,1.43,1.44,"""silence"""
144,1.44,1.45,"""silence"""
145,1.45,1.46,"""silence"""
146,1.46,1.47,"""silence"""
147,1.47,1.48,"""silence"""
148,1.48,1.49,"""silence"""
149,1.49,1.5,"""silence"""
150,1.5,1.51,"""silence"""
151,1.51,1.52,"""silence"""
152,1.52,1.53,"""silence"""
153,1.53,1.54,"""silence"""
154,1.54,1.55,"""silence"""
155,1.55,1.56,"""silence"""
156,1.56,1.57,"""silence"""
157,1.57,1.58,"""silence"""
158,1.58,1.59,"""silence"""
159,1.59,1.6,"""silence"""
160,1.6,1.61,"""silence"""
161,1.61,1.62,"""silence"""
162,1.62,1.63,"""silence"""
163,1.63,1.64,"""silence"""
164,1.64,1.65,"""silence"""
165,1.65,1.66,"""silence"""
166,1.66,1.67,"""silence"""
167,1.67,1.68,"""silence"""
168,1.68,1.69,"""silence"""
169,1.69,1.7,"""silence"""
170,1.7,1.71,"""silence"""
171,1.71,1.72,"""silence"""
172,1.72,1.73,"""silence"""
173,1.73,1.74,"""silence"""
174,1.74,1.75,"""silence"""
175,1.75,1.76,"""silence"""
176,1.76,1.77,"""silence"""
177,1.77,1.78,"""silence"""
