window_idx,start_time,end_time,label
0,0,0.01,"""drone_T1"""
1,0.01,0.02,"""drone_T1"""
2,0.02,0.03,"""drone_T1"""
3,0.03,0.04,"""drone_T1"""
4,0.04,0.05,"""drone_T1"""
5,0.05,0.06,"""drone_T1"""
6,0.06,0.07,"""drone_T1"""
7,0.07,0.08,"""drone_T1"""
8,0.08,0.09,"""drone_T1"""
9,0.09,0.1,"""drone_T1"""
10,0.1,0.11,"""drone_T1"""
11,0.11,0.12,"""drone_T1"""
12,0.12,0.13,"""drone_T1"""
13,0.13,0.14,"""drone_T1"""
14,0.14,0.15,"""drone_T1"""
15,0.15,0.16,"""drone_T1"""
16,0.16,0.17,"""drone_T1"""
17,0.17,0.18,"""drone_T1"""
18,0.18,0.19,"""drone_T1"""
19,0.19,0.2,"""drone_T1"""
20,0.2,0.21,"""drone_T1"""
21,0.21,0.22,"""drone_T1"""
22,0.22,0.23,"""drone_T1"""
23,0.23,0.24,"""drone_T1"""
24,0.24,0.25,"""drone_T1"""
25,0.25,0.26,"""drone_T1"""
26,0.26,0.27,"""drone_T1"""
27,0.27,0.28,"""drone_T1"""
28,0.28,0.29,"""drone_T1"""
29,0.29,0.3,"""drone_T1"""
30,0.3,0.31,"""drone_T1"""
31,0.31,0.32,"""drone_T1"""
32,0.32,0.33,"""drone_T1"""
33,0.33,0.34,"""drone_T1"""
34,0.34,0.35,"""drone_T1"""
35,0.35,0.36,"""drone_T1"""
36,0.36,0.37,"""drone_T1"""
37,0.37,0.38,"""drone_T1"""
38,0.38,0.39,"""drone_T1"""
39,0.39,0.4,"""drone_T1"""
40,0.4,0.41,"""drone_T1"""
41,0.41,0.42,"""drone_T1"""
42,0.42,0.43,"""drone_T1"""
43,0.43,0.44,"""drone_T1"""
44,0.44,0.45,"""drone_T1"""
45,0.45,0.46,"""drone_T1"""
46,0.46,0.47,"""drone_T1"""
47,0.47,0.48,"""drone_T1"""
48,0.48,0.49,"""drone_T1"""
49,0.49,0.5,"""drone_T1"""
50,0.5,0.51,"""drone_T1"""
51,0.51,0.52,"""drone_T1"""
52,0.52,0.53,"""drone_T1"""
53,0.53,0.54,"""drone_T1"""
54,0.54,0.55,"""drone_T1"""
55,0.55,0.56,"""drone_T1"""
56,0.56,0.57,"""drone_T1"""
57,0.57,0.58,"""drone_T1"""
58,0.58,0.59,"""drone_T1"""
59,0.59,0.6,"""drone_T1"""
60,0.6,0.61,"""drone_T1"""
61,0.61,0.62,"""drone_T1"""
62,0.62,0.63,"""drone_T1"""
63,0.63,0.64,"""drone_T1"""
64,0.64,0.65,"""drone_T1"""
65,0.65,0.66,"""drone_T1"""
66,0.66,0.67,"""drone_T1"""
67,0.67,0.68,"""drone_T1"""
68,0.68,0.69,"""drone_T1"""
69,0.69,0.7,"""drone_T1"""
