window_idx,start_time,end_time,label
0,0,0.01,"""drone"""
1,0.01,0.02,"""drone"""
2,0.02,0.03,"""drone"""
3,0.03,0.04,"""drone"""
4,0.04,0.05,"""drone"""
5,0.05,0.06,"""drone"""
6,0.06,0.07,"""drone"""
7,0.07,0.08,"""drone"""
8,0.08,0.09,"""drone"""
9,0.09,0.1,"""drone"""
10,0.1,0.11,"""drone"""
11,0.11,0.12,"""drone"""
12,0.12,0.13,"""drone"""
13,0.13,0.14,"""drone"""
14,0.14,0.15,"""drone"""
15,0.15,0.16,"""drone"""
16,0.16,0.17,"""drone"""
17,0.17,0.18,"""drone"""
18,0.18,0.19,"""drone"""
19,0.19,0.2,"""drone"""
20,0.2,0.21,"""drone"""
21,0.21,0.22,"""drone"""
22,0.22,0.23,"""drone"""
23,0.23,0.24,"""drone"""
24,0.24,0.25,"""drone"""
25,0.25,0.26,"""drone"""
26,0.26,0.27,"""drone"""
27,0.27,0.28,"""drone"""
28,0.28,0.29,"""drone"""
29,0.29,0.3,"""drone"""
30,0.3,0.31,"""drone"""
31,0.31,0.32,"""drone"""
32,0.32,0.33,"""drone"""
33,0.33,0.34,"""drone"""
34,0.34,0.35,"""drone"""
35,0.35,0.36,"""drone"""
36,0.36,0.37,"""drone"""
37,0.37,0.38,"""drone"""
38,0.38,0.39,"""drone"""
39,0.39,0.4,"""drone"""
40,0.4,0.41,"""drone"""
41,0.41,0.42,"""drone"""
42,0.42,0.43,"""drone"""
43,0.43,0.44,"""drone"""
44,0.44,0.45,"""drone"""
45,0.45,0.46,"""drone"""
46,0.46,0.47,"""drone"""
47,0.47,0.48,"""drone"""
48,0.48,0.49,"""drone"""
49,0.49,0.5,"""drone"""
50,0.5,0.51,"""drone"""
51,0.51,0.52,"""drone"""
52,0.52,0.53,"""drone"""
53,0.53,0.54,"""drone"""
54,0.54,0.55,"""drone"""
55,0.55,0.56,"""drone"""
56,0.56,0.57,"""drone"""
57,0.57,0.58,"""drone"""
58,0.58,0.59,"""drone"""
59,0.59,0.6,"""drone"""
60,0.6,0.61,"""drone"""
61,0.61,0.62,"""drone"""
62,0.62,0.63,"""drone"""
63,0.63,0.64,"""drone"""
64,0.64,0.65,"""drone"""
65,0.65,0.66,"""drone"""
66,0.66,0.67,"""drone"""
67,0.67,0.68,"""drone"""
68,0.68,0.69,"""drone"""
69,0.69,0.7,"""drone"""
70,0.7,0.71,"""drone"""
71,0.71,0.72,"""drone"""
72,0.72,0.73,"""drone"""
73,0.73,0.74,"""drone"""
74,0.74,0.75,"""drone"""
75,0.75,0.76,"""drone"""
76,0.76,0.77,"""drone"""
77,0.77,0.78,"""drone"""
78,0.78,0.79,"""drone"""
79,0.79,0.8,"""drone"""
80,0.8,0.81,"""drone"""
81,0.81,0.82,"""drone"""
82,0.82,0.83,"""drone"""
83,0.83,0.84,"""drone"""
84,0.84,0.85,"""drone"""
85,0.85,0.86,"""drone"""
86,0.86,0.87,"""drone"""
87,0.87,0.88,"""drone"""
88,0.88,0.89,"""drone"""
89,0.89,0.9,"""drone"""
90,0.9,0.91,"""drone"""
91,0.91,0.92,"""drone"""
92,0.92,0.93,"""drone"""
93,0.93,0.94,"""drone"""
94,0.94,0.95,"""drone"""
95,0.95,0.96,"""drone"""
96,0.96,0.97,"""drone"""
97,0.97,0.98,"""drone"""
98,0.98,0.99,"""drone"""
99,0.99,1,"""drone"""
100,1,1.01,"""silence"""
101,1.01,1.02,"""silence"""
102,1.02,1.03,"""silence"""
103,1.03,1.04,"""silence"""
104,1.04,1.05,"""silence"""
105,1.05,1.06,"""silence"""
106,1.06,1.07,"""silence"""
107,1.07,1.08,"""silence"""
108,1.08,1.09,"""silence"""
109,1.09,1.1,"""silence"""
110,1.1,1.11,"""silence"""
111,1.11,1.12,"""silence"""
112,1.12,1.13,"""silence"""
113,1.13,1.14,"""silence"""
114,1.14,1.15,"""silence"""
115,1.15,1.16,"""silence"""
116,1.16,1.17,"""silence"""
117,1.17,1.18,"""silence"""
118,1.18,1.19,"""silence"""
119,1.19,1.2,"""silence"""
120,1.2,1.21,"""silence"""
121,1.21,1.22,"""silence"""
122,1.22,1.23,"""silence"""
123,1.23,1.24,"""silence"""
124,1.24,1.25,"""silence"""
125,1.25,1.26,"""silence"""
126,1.26,1.27,"""silence"""
127,1.27,1.28,"""silence"""
128,1.28,1.29,"""silence"""
129,1.29,1.3,"""silence"""
130,1.3,1.31,"""silence"""
131,1.31,1.32,"""silence"""
132,1.32,1.33,"""silence"""
