window_idx,start_time,end_time,label
0,0.0,0.01,UNLABELED
1,0.01,0.02,UNLABELED
2,0.02,0.03,UNLABELED
3,0.03,0.04,UNLABELED
4,0.04,0.05,UNLABELED
5,0.05,0.06,UNLABELED
6,0.06,0.07,UNLABELED
7,0.07,0.08,UNLABELED
8,0.08,0.09,UNLABELED
9,0.09,0.1,UNLABELED
10,0.1,0.11,UNLABELED
11,0.11,0.12,UNLABELED
12,0.12,0.13,UNLABELED
13,0.13,0.14,UNLABELED
14,0.14,0.15,UNLABELED
15,0.15,0.16,UNLABELED
16,0.16,0.17,UNLABELED
17,0.17,0.18,UNLABELED
18,0.18,0.19,UNLABELED
19,0.19,0.2,UNLABELED
20,0.2,0.21,UNLABELED
21,0.21,0.22,UNLABELED
22,0.22,0.23,UNLABELED
23,0.23,0.24,UNLABELED
24,0.24,0.25,UNLABELED
25,0.25,0.26,UNLABELED
26,0.26,0.27,UNLABELED
27,0.27,0.28,UNLABELED
28,0.28,0.29,UNLABELED
29,0.29,0.3,UNLABELED
30,0.3,0.31,UNLABELED
31,0.31,0.32,UNLABELED
32,0.32,0.33,UNLABELED
33,0.33,0.34,UNLABELED
34,0.34,0.35,UNLABELED
35,0.35,0.36,UNLABELED
36,0.36,0.37,UNLABELED
37,0.37,0.38,UNLABELED
38,0.38,0.39,UNLABELED
39,0.39,0.4,UNLABELED
40,0.4,0.41,UNLABELED
41,0.41,0.42,UNLABELED
42,0.42,0.43,UNLABELED
43,0.43,0.44,UNLABELED
44,0.44,0.45,UNLABELED
45,0.45,0.46,UNLABELED
46,0.46,0.47,UNLABELED
47,0.47,0.48,UNLABELED
48,0.48,0.49,UNLABELED
49,0.49,0.5,UNLABELED
50,0.5,0.51,UNLABELED
51,0.51,0.52,UNLABELED
52,0.52,0.53,UNLABELED
53,0.53,0.54,UNLABELED
54,0.54,0.55,UNLABELED
55,0.55,0.56,UNLABELED
56,0.56,0.57,UNLABELED
57,0.57,0.58,UNLABELED
58,0.58,0.59,UNLABELED
59,0.59,0.6,UNLABELED
60,0.6,0.61,UNLABELED
61,0.61,0.62,UNLABELED
62,0.62,0.63,UNLABELED
63,0.63,0.64,UNLABELED
64,0.64,0.65,UNLABELED
65,0.65,0.66,UNLABELED
66,0.66,0.67,UNLABELED
67,0.67,0.68,UNLABELED
68,0.68,0.69,UNLABELED
69,0.69,0.7,UNLABELED
70,0.7,0.71,UNLABELED
71,0.71,0.72,UNLABELED
72,0.72,0.73,UNLABELED
73,0.73,0.74,UNLABELED
74,0.74,0.75,UNLABELED
75,0.75,0.76,UNLABELED
76,0.76,0.77,UNLABELED
77,0.77,0.78,UNLABELED
78,0.78,0.79,UNLABELED
79,0.79,0.8,UNLABELED
80,0.8,0.81,UNLABELED
81,0.81,0.82,UNLABELED
82,0.82,0.83,UNLABELED
83,0.83,0.84,UNLABELED
84,0.84,0.85,UNLABELED
85,0.85,0.86,UNLABELED
86,0.86,0.87,UNLABELED
87,0.87,0.88,UNLABELED
88,0.88,0.89,UNLABELED
89,0.89,0.9,UNLABELED
90,0.9,0.91,UNLABELED
91,0.91,0.92,UNLABELED
92,0.92,0.93,UNLABELED
93,0.93,0.94,UNLABELED
94,0.94,0.95,UNLABELED
