window_idx,start_time,end_time,label
0,0,0.01,P1_P2
1,0.01,0.02,P1_P2
2,0.02,0.03,P1_P2
3,0.03,0.04,P1_P2
4,0.04,0.05,P1_P2
5,0.05,0.06,P1_P2
6,0.06,0.07,P1_P2
7,0.07,0.08,P1_P2
8,0.08,0.09,P1_P2
9,0.09,0.1,P1_P2
10,0.1,0.11,P1_P2
11,0.11,0.12,P1_P2
12,0.12,0.13,P1_P2
13,0.13,0.14,P1_P2
14,0.14,0.15,P1_P2
15,0.15,0.16,P1_P2
16,0.16,0.17,P1_P2
17,0.17,0.18,P1_P2
18,0.18,0.19,P1_P2
19,0.19,0.2,P1_P2
20,0.2,0.21,P1_P2
21,0.21,0.22,P1_P2
22,0.22,0.23,P1_P2
23,0.23,0.24,P1_P2
24,0.24,0.25,P1_P2
25,0.25,0.26,P1_P2
26,0.26,0.27,P1_P2
27,0.27,0.28,P1_P2
28,0.28,0.29,P1_P2
29,0.29,0.3,P1_P2
30,0.3,0.31,P1_P2
31,0.31,0.32,P1_P2
32,0.32,0.33,P1_P2
33,0.33,0.34,P1_P2
34,0.34,0.35,P1_P2
35,0.35,0.36,P1_P2
36,0.36,0.37,P1_P2
37,0.37,0.38,P1_P2
38,0.38,0.39,P1_P2
39,0.39,0.4,P1_P2
40,0.4,0.41,P1_P2
41,0.41,0.42,P1_P2
42,0.42,0.43,P1_P2
43,0.43,0.44,P1_P2
44,0.44,0.45,P1_P2
45,0.45,0.46,P1_P2
46,0.46,0.47,P1_P2
47,0.47,0.48,P1_P2
48,0.48,0.49,P1_P2
49,0.49,0.5,P1_P2
50,0.5,0.51,silence
51,0.51,0.52,silence
52,0.52,0.53,silence
53,0.53,0.54,silence
54,0.54,0.55,silence
55,0.55,0.56,silence
56,0.56,0.57,silence
57,0.57,0.58,silence
58,0.58,0.59,silence
59,0.59,0.6,silence
60,0.6,0.61,silence
61,0.61,0.62,silence
62,0.62,0.63,silence
63,0.63,0.64,silence
64,0.64,0.65,silence
65,0.65,0.66,silence
66,0.66,0.67,silence
67,0.67,0.68,silence
68,0.68,0.69,silence
69,0.69,0.7,silence
70,0.7,0.71,silence
71,0.71,0.72,silence
72,0.72,0.73,silence
73,0.73,0.74,silence
74,0.74,0.75,silence
75,0.75,0.76,silence
76,0.76,0.77,silence
77,0.77,0.78,silence
78,0.78,0.79,silence
79,0.79,0.8,silence
80,0.8,0.81,silence
81,0.81,0.82,silence
82,0.82,0.83,silence
83,0.83,0.84,silence
84,0.84,0.85,silence
85,0.85,0.86,silence
86,0.86,0.87,silence
87,0.87,0.88,silence
88,0.88,0.89,silence
89,0.89,0.9,silence
90,0.9,0.91,silence
91,0.91,0.92,silence
92,0.92,0.93,silence
93,0.93,0.94,silence
94,0.94,0.95,silence
95,0.95,0.96,silence
96,0.96,0.97,silence
97,0.97,0.98,silence
98,0.98,0.99,silence
99,0.99,1,silence
100,1,1.01,silence
101,1.01,1.02,silence
102,1.02,1.03,silence
103,1.03,1.04,silence
104,1.04,1.05,silence
105,1.05,1.06,silence
106,1.06,1.07,silence
107,1.07,1.08,silence
108,1.08,1.09,silence
109,1.09,1.1,silence
110,1.1,1.11,silence
111,1.11,1.12,silence
112,1.12,1.13,silence
113,1.13,1.14,silence
114,1.14,1.15,silence
115,1.15,1.16,silence
116,1.16,1.17,silence
