window_idx,start_time,end_time,label
0,0,0.01,silence
1,0.01,0.02,silence
2,0.02,0.03,silence
3,0.03,0.04,silence
4,0.04,0.05,silence
5,0.05,0.06,silence
6,0.06,0.07,silence
7,0.07,0.08,silence
8,0.08,0.09,silence
9,0.09,0.1,silence
10,0.1,0.11,silence
11,0.11,0.12,silence
12,0.12,0.13,silence
13,0.13,0.14,silence
14,0.14,0.15,silence
15,0.15,0.16,silence
16,0.16,0.17,silence
17,0.17,0.18,silence
18,0.18,0.19,silence
19,0.19,0.2,silence
20,0.2,0.21,silence
21,0.21,0.22,silence
22,0.22,0.23,silence
23,0.23,0.24,silence
24,0.24,0.25,silence
25,0.25,0.26,silence
26,0.26,0.27,silence
27,0.27,0.28,silence
28,0.28,0.29,silence
29,0.29,0.3,silence
30,0.3,0.31,silence
31,0.31,0.32,silence
32,0.32,0.33,silence
33,0.33,0.34,silence
34,0.34,0.35,silence
35,0.35,0.36,silence
36,0.36,0.37,silence
37,0.37,0.38,silence
38,0.38,0.39,silence
39,0.39,0.4,silence
40,0.4,0.41,silence
41,0.41,0.42,silence
42,0.42,0.43,silence
43,0.43,0.44,silence
44,0.44,0.45,silence
45,0.45,0.46,silence
46,0.46,0.47,drone_P2
47,0.47,0.48,drone_P2
48,0.48,0.49,drone_P2
49,0.49,0.5,drone_P2
50,0.5,0.51,drone_P2
51,0.51,0.52,drone_P2
52,0.52,0.53,drone_P2
53,0.53,0.54,drone_P2
54,0.54,0.55,drone_P2
55,0.55,0.56,drone_P2
56,0.56,0.57,drone_P2
57,0.57,0.58,drone_P2
58,0.58,0.59,drone_P2
59,0.59,0.6,drone_P2
60,0.6,0.61,drone_P2
61,0.61,0.62,drone_P2
62,0.62,0.63,drone_P2
63,0.63,0.64,drone_P2
64,0.64,0.65,drone_P2
65,0.65,0.66,drone_P2
66,0.66,0.67,drone_P2
67,0.67,0.68,drone_P2
68,0.68,0.69,drone_P2
69,0.69,0.7,drone_P2
70,0.7,0.71,drone_P2
71,0.71,0.72,drone_P2
72,0.72,0.73,drone_P2
73,0.73,0.74,drone_P2
74,0.74,0.75,drone_P2
75,0.75,0.76,drone_P2
76,0.76,0.77,drone_P2
77,0.77,0.78,drone_P2
78,0.78,0.79,drone_P2
79,0.79,0.8,drone_P2
80,0.8,0.81,drone_P2
81,0.81,0.82,drone_P2
82,0.82,0.83,drone_P2
83,0.83,0.84,drone_P2
84,0.84,0.85,drone_P2
85,0.85,0.86,drone_P2
86,0.86,0.87,drone_P2
87,0.87,0.88,drone_P2
88,0.88,0.89,drone_P2
89,0.89,0.9,drone_P2
90,0.9,0.91,drone_P2
91,0.91,0.92,drone_P2
92,0.92,0.93,drone_P2
93,0.93,0.94,drone_P2
94,0.94,0.95,drone_P2
95,0.95,0.96,drone_P2
96,0.96,0.97,drone_P2
97,0.97,0.98,drone_P2
98,0.98,0.99,drone_P2
99,0.99,1,drone_P2
100,1,1.01,drone_P2
101,1.01,1.02,drone_P2
102,1.02,1.03,drone_P2
103,1.03,1.04,drone_P2
104,1.04,1.05,drone_P2
105,1.05,1.06,drone_P2
106,1.06,1.07,drone_P2
107,1.07,1.08,drone_P2
108,1.08,1.09,drone_P2
109,1.09,1.1,drone_P2
110,1.1,1.11,drone_P2
111,1.11,1.12,drone_P2
112,1.12,1.13,drone_P2
113,1.13,1.14,drone_P2
114,1.14,1.15,drone_P2
115,1.15,1.16,drone_P2
116,1.16,1.17,drone_P2
117,1.17,1.18,drone_P2
118,1.18,1.19,drone_P2
119,1.19,1.2,drone_P2
120,1.2,1.21,drone_P2
121,1.21,1.22,drone_P2
122,1.22,1.23,drone_P2
123,1.23,1.24,drone_P2
124,1.24,1.25,drone_P2
125,1.25,1.26,drone_P2
126,1.26,1.27,drone_P2
127,1.27,1.28,drone_P2
128,1.28,1.29,drone_P2
129,1.29,1.3,drone_P2
130,1.3,1.31,drone_P2
131,1.31,1.32,drone_P2
132,1.32,1.33,drone_P2
133,1.33,1.34,drone_P2
134,1.34,1.35,drone_P2
135,1.35,1.36,drone_P2
136,1.36,1.37,drone_P2
137,1.37,1.38,drone_P2
138,1.38,1.39,drone_P2
139,1.39,1.4,drone_P2
140,1.4,1.41,drone_P2
141,1.41,1.42,drone_P2
142,1.42,1.43,drone_P2
143,1.43,1.44,drone_P2
144,1.44,1.45,drone_P2
145,1.45,1.46,drone_P2
146,1.46,1.47,drone_P2
147,1.47,1.48,drone_P2
148,1.48,1.49,drone_P2
149,1.49,1.5,drone_P2
150,1.5,1.51,drone_P2
151,1.51,1.52,drone_P2
152,1.52,1.53,drone_P2
153,1.53,1.54,drone_P2
154,1.54,1.55,drone_P2
155,1.55,1.56,drone_P2
156,1.56,1.57,drone_P2
157,1.57,1.58,drone_P2
158,1.58,1.59,drone_P2
159,1.59,1.6,drone_P2
160,1.6,1.61,drone_P2
161,1.61,1.62,drone_P2
162,1.62,1.63,drone_P2
163,1.63,1.64,drone_P2
164,1.64,1.65,drone_P2
165,1.65,1.66,drone_P2
166,1.66,1.67,drone_P2
167,1.67,1.68,drone_P2
168,1.68,1.69,drone_P2
169,1.69,1.7,silence
170,1.7,1.71,silence
171,1.71,1.72,silence
172,1.72,1.73,silence
173,1.73,1.74,silence
174,1.74,1.75,silence
175,1.75,1.76,silence
176,1.76,1.77,silence
177,1.77,1.78,silence
178,1.78,1.79,silence
179,1.79,1.8,silence
180,1.8,1.81,silence
181,1.81,1.82,silence
182,1.82,1.83,silence
183,1.83,1.84,silence
184,1.84,1.85,silence
185,1.85,1.86,silence
186,1.86,1.87,silence
187,1.87,1.88,silence
188,1.88,1.89,silence
189,1.89,1.9,silence
190,1.9,1.91,silence
191,1.91,1.92,silence
192,1.92,1.93,silence
193,1.93,1.94,silence
194,1.94,1.95,silence
195,1.95,1.96,silence
196,1.96,1.97,silence
197,1.97,1.98,silence
198,1.98,1.99,silence
199,1.99,2,silence
200,2,2.01,silence
201,2.01,2.02,silence
202,2.02,2.03,silence
203,2.03,2.04,silence
