window_idx,start_time,end_time,label
0,0,0.01,silence
1,0.01,0.02,silence
2,0.02,0.03,silence
3,0.03,0.04,silence
4,0.04,0.05,silence
5,0.05,0.06,silence
6,0.06,0.07,silence
7,0.07,0.08,silence
8,0.08,0.09,silence
9,0.09,0.1,silence
10,0.1,0.11,silence
11,0.11,0.12,silence
12,0.12,0.13,silence
13,0.13,0.14,silence
14,0.14,0.15,silence
15,0.15,0.16,silence
16,0.16,0.17,silence
17,0.17,0.18,silence
18,0.18,0.19,silence
19,0.19,0.2,silence
20,0.2,0.21,silence
21,0.21,0.22,silence
22,0.22,0.23,silence
23,0.23,0.24,silence
24,0.24,0.25,silence
25,0.25,0.26,silence
26,0.26,0.27,silence
27,0.27,0.28,silence
28,0.28,0.29,silence
29,0.29,0.3,silence
30,0.3,0.31,silence
31,0.31,0.32,silence
32,0.32,0.33,silence
33,0.33,0.34,silence
34,0.34,0.35,silence
35,0.35,0.36,silence
36,0.36,0.37,silence
37,0.37,0.38,silence
38,0.38,0.39,silence
39,0.39,0.4,silence
40,0.4,0.41,silence
41,0.41,0.42,silence
42,0.42,0.43,silence
43,0.43,0.44,silence
44,0.44,0.45,silence
45,0.45,0.46,silence
46,0.46,0.47,silence
47,0.47,0.48,silence
48,0.48,0.49,silence
49,0.49,0.5,P1_P2_P3
50,0.5,0.51,P1_P2_P3
51,0.51,0.52,P1_P2_P3
52,0.52,0.53,P1_P2_P3
53,0.53,0.54,P1_P2_P3
54,0.54,0.55,P1_P2_P3
55,0.55,0.56,P1_P2_P3
56,0.56,0.57,P1_P2_P3
57,0.57,0.58,P1_P2_P3
58,0.58,0.59,P1_P2_P3
59,0.59,0.6,P1_P2_P3
60,0.6,0.61,P1_P2_P3
61,0.61,0.62,P1_P2_P3
62,0.62,0.63,P1_P2_P3
63,0.63,0.64,P1_P2_P3
64,0.64,0.65,P1_P2_P3
65,0.65,0.66,P1_P2_P3
66,0.66,0.67,P1_P2_P3
67,0.67,0.68,P1_P2_P3
68,0.68,0.69,P1_P2_P3
69,0.69,0.7,P1_P2_P3
70,0.7,0.71,P1_P2_P3
71,0.71,0.72,P1_P2_P3
72,0.72,0.73,P1_P2_P3
73,0.73,0.74,P1_P2_P3
74,0.74,0.75,P1_P2_P3
75,0.75,0.76,P1_P2_P3
76,0.76,0.77,P1_P2_P3
77,0.77,0.78,P1_P2_P3
78,0.78,0.79,P1_P2_P3
79,0.79,0.8,P1_P2_P3
80,0.8,0.81,P1_P2_P3
81,0.81,0.82,P1_P2_P3
82,0.82,0.83,P1_P2_P3
83,0.83,0.84,P1_P2_P3
84,0.84,0.85,P1_P2_P3
85,0.85,0.86,P1_P2_P3
86,0.86,0.87,P1_P2_P3
87,0.87,0.88,P1_P2_P3
88,0.88,0.89,P1_P2_P3
89,0.89,0.9,P1_P2_P3
90,0.9,0.91,P1_P2_P3
91,0.91,0.92,P1_P2_P3
92,0.92,0.93,P1_P2_P3
93,0.93,0.94,P1_P2_P3
94,0.94,0.95,P1_P2_P3
95,0.95,0.96,P1_P2_P3
96,0.96,0.97,P1_P2_P3
97,0.97,0.98,P1_P2_P3
98,0.98,0.99,P1_P2_P3
99,0.99,1,P1_P2_P3
100,1,1.01,P1_P2_P3
101,1.01,1.02,P1_P2_P3
102,1.02,1.03,P1_P2_P3
103,1.03,1.04,P1_P2_P3
104,1.04,1.05,P1_P2_P3
105,1.05,1.06,P1_P2_P3
106,1.06,1.07,P1_P2_P3
107,1.07,1.08,P1_P2_P3
108,1.08,1.09,P1_P2_P3
109,1.09,1.1,P1_P2_P3
110,1.1,1.11,P1_P2_P3
111,1.11,1.12,P1_P2_P3
112,1.12,1.13,P1_P2_P3
113,1.13,1.14,P1_P2_P3
114,1.14,1.15,P1_P2_P3
115,1.15,1.16,P1_P2_P3
116,1.16,1.17,P1_P2_P3
117,1.17,1.18,P1_P2_P3
118,1.18,1.19,P1_P2_P3
119,1.19,1.2,P1_P2_P3
120,1.2,1.21,P1_P2_P3
121,1.21,1.22,P1_P2_P3
122,1.22,1.23,P1_P2_P3
123,1.23,1.24,P1_P2_P3
124,1.24,1.25,P1_P2_P3
125,1.25,1.26,P1_P2_P3
126,1.26,1.27,P1_P2_P3
127,1.27,1.28,P1_P2_P3
128,1.28,1.29,P1_P2_P3
129,1.29,1.3,P1_P2_P3
130,1.3,1.31,P1_P2_P3
131,1.31,1.32,P1_P2_P3
132,1.32,1.33,P1_P2_P3
133,1.33,1.34,P1_P2_P3
134,1.34,1.35,P1_P2_P3
135,1.35,1.36,P1_P2_P3
136,1.36,1.37,P1_P2_P3
137,1.37,1.38,P1_P2_P3
138,1.38,1.39,P1_P2_P3
139,1.39,1.4,P1_P2_P3
140,1.4,1.41,P1_P2_P3
141,1.41,1.42,P1_P2_P3
142,1.42,1.43,P1_P2_P3
143,1.43,1.44,P1_P2_P3
144,1.44,1.45,P1_P2_P3
145,1.45,1.46,P1_P2_P3
146,1.46,1.47,P1_P2_P3
147,1.47,1.48,P1_P2_P3
148,1.48,1.49,P1_P2_P3
149,1.49,1.5,P1_P2_P3
150,1.5,1.51,P1_P2_P3
151,1.51,1.52,P1_P2_P3
152,1.52,1.53,P1_P2_P3
153,1.53,1.54,P1_P2_P3
154,1.54,1.55,P1_P2_P3
155,1.55,1.56,P1_P2_P3
156,1.56,1.57,P1_P2_P3
157,1.57,1.58,P1_P2_P3
158,1.58,1.59,P1_P2_P3
159,1.59,1.6,P1_P2_P3
160,1.6,1.61,P1_P2_P3
161,1.61,1.62,P1_P2_P3
162,1.62,1.63,P1_P2_P3
163,1.63,1.64,P1_P2_P3
164,1.64,1.65,P1_P2_P3
165,1.65,1.66,P1_P2_P3
166,1.66,1.67,P1_P2_P3
167,1.67,1.68,P1_P2_P3
168,1.68,1.69,P1_P2_P3
169,1.69,1.7,P1_P2_P3
170,1.7,1.71,P1_P2_P3
171,1.71,1.72,P1_P2_P3
172,1.72,1.73,P1_P2_P3
173,1.73,1.74,P1_P2_P3
