window_idx,start_time,end_time,label
0,0,0.01,silence
1,0.01,0.02,silence
2,0.02,0.03,silence
3,0.03,0.04,drone_T1
4,0.04,0.05,drone_T1
5,0.05,0.06,drone_T1
6,0.06,0.07,drone_T1
7,0.07,0.08,drone_T1
8,0.08,0.09,drone_T1
9,0.09,0.1,drone_T1
10,0.1,0.11,drone_T1
11,0.11,0.12,drone_T1
12,0.12,0.13,drone_T1
13,0.13,0.14,drone_T1
14,0.14,0.15,drone_T1
15,0.15,0.16,drone_T1
16,0.16,0.17,drone_T1
17,0.17,0.18,drone_T1
18,0.18,0.19,drone_T1
19,0.19,0.2,drone_T1
20,0.2,0.21,drone_T1
21,0.21,0.22,drone_T1
22,0.22,0.23,drone_T1
23,0.23,0.24,drone_T1
24,0.24,0.25,drone_T1
25,0.25,0.26,drone_T1
26,0.26,0.27,drone_T1
27,0.27,0.28,drone_T1
28,0.28,0.29,drone_T1
29,0.29,0.3,drone_T1
30,0.3,0.31,drone_T1
31,0.31,0.32,drone_T1
32,0.32,0.33,drone_T1
33,0.33,0.34,drone_T1
34,0.34,0.35,drone_T1
35,0.35,0.36,drone_T1
36,0.36,0.37,drone_T1
37,0.37,0.38,drone_T1
38,0.38,0.39,drone_T1
39,0.39,0.4,drone_T1
40,0.4,0.41,drone_T1
41,0.41,0.42,drone_T1
42,0.42,0.43,drone_T1
43,0.43,0.44,drone_T1
44,0.44,0.45,drone_T1
45,0.45,0.46,drone_T1
46,0.46,0.47,drone_T1
47,0.47,0.48,drone_T1
48,0.48,0.49,drone_T1
49,0.49,0.5,drone_T1
50,0.5,0.51,drone_T1
51,0.51,0.52,drone_T1
52,0.52,0.53,drone_T1
53,0.53,0.54,drone_T1
54,0.54,0.55,drone_T1
55,0.55,0.56,drone_T1
56,0.56,0.57,drone_T1
57,0.57,0.58,drone_T1
58,0.58,0.59,drone_T1
59,0.59,0.6,drone_T1
60,0.6,0.61,drone_T1
61,0.61,0.62,drone_T1
62,0.62,0.63,drone_T1
63,0.63,0.64,drone_T1
64,0.64,0.65,drone_T1
65,0.65,0.66,drone_T1
66,0.66,0.67,drone_T1
67,0.67,0.68,drone_T1
68,0.68,0.69,drone_T1
69,0.69,0.7,drone_T1
70,0.7,0.71,drone_T1
71,0.71,0.72,drone_T1
72,0.72,0.73,drone_T1
73,0.73,0.74,drone_T1
74,0.74,0.75,drone_T1
75,0.75,0.76,drone_T1
76,0.76,0.77,drone_T1
77,0.77,0.78,drone_T1
78,0.78,0.79,drone_T1
79,0.79,0.8,drone_T1
80,0.8,0.81,drone_T1
81,0.81,0.82,drone_T1
82,0.82,0.83,drone_T1
83,0.83,0.84,drone_T1
84,0.84,0.85,drone_T1
85,0.85,0.86,drone_T1
86,0.86,0.87,drone_T1
87,0.87,0.88,drone_T1
88,0.88,0.89,drone_T1
89,0.89,0.9,drone_T1
90,0.9,0.91,drone_T1
91,0.91,0.92,drone_T1
92,0.92,0.93,drone_T1
93,0.93,0.94,drone_T1
94,0.94,0.95,drone_T1
95,0.95,0.96,drone_T1
96,0.96,0.97,drone_T1
97,0.97,0.98,drone_T1
98,0.98,0.99,drone_T1
99,0.99,1,drone_T1
100,1,1.01,drone_T1
101,1.01,1.02,drone_T1
102,1.02,1.03,drone_T1
103,1.03,1.04,drone_T1
104,1.04,1.05,drone_T1
105,1.05,1.06,drone_T1
106,1.06,1.07,drone_T1
107,1.07,1.08,drone_T1
108,1.08,1.09,drone_T1
109,1.09,1.1,drone_T1
110,1.1,1.11,drone_T1
111,1.11,1.12,drone_T1
112,1.12,1.13,drone_T1
113,1.13,1.14,drone_T1
114,1.14,1.15,drone_T1
115,1.15,1.16,drone_T1
116,1.16,1.17,drone_T1
117,1.17,1.18,drone_T1
118,1.18,1.19,drone_T1
119,1.19,1.2,drone_T1
120,1.2,1.21,drone_T1
121,1.21,1.22,drone_T1
122,1.22,1.23,drone_T1
123,1.23,1.24,drone_T1
124,1.24,1.25,drone_T1
125,1.25,1.26,drone_T1
126,1.26,1.27,drone_T1
127,1.27,1.28,drone_T1
128,1.28,1.29,drone_T1
129,1.29,1.3,drone_T1
130,1.3,1.31,drone_T1
131,1.31,1.32,drone_T1
132,1.32,1.33,drone_T1
133,1.33,1.34,drone_T1
134,1.34,1.35,drone_T1
135,1.35,1.36,drone_T1
136,1.36,1.37,drone_T1
137,1.37,1.38,drone_T1
138,1.38,1.39,drone_T1
139,1.39,1.4,drone_T1
140,1.4,1.41,drone_T1
141,1.41,1.42,drone_T1
142,1.42,1.43,drone_T1
143,1.43,1.44,drone_T1
144,1.44,1.45,drone_T1
145,1.45,1.46,drone_T1
146,1.46,1.47,drone_T1
147,1.47,1.48,drone_T1
148,1.48,1.49,drone_T1
149,1.49,1.5,drone_T1
150,1.5,1.51,drone_T1
151,1.51,1.52,drone_T1
152,1.52,1.53,drone_T1
153,1.53,1.54,drone_T1
154,1.54,1.55,drone_T1
155,1.55,1.56,drone_T1
156,1.56,1.57,drone_T1
157,1.57,1.58,drone_T1
158,1.58,1.59,drone_T1
159,1.59,1.6,drone_T1
160,1.6,1.61,drone_T1
161,1.61,1.62,drone_T1
162,1.62,1.63,drone_T1
163,1.63,1.64,drone_T1
164,1.64,1.65,drone_T1
165,1.65,1.66,drone_T1
166,1.66,1.67,drone_T1
167,1.67,1.68,drone_T1
168,1.68,1.69,drone_T1
169,1.69,1.7,drone_T1
170,1.7,1.71,drone_T1
171,1.71,1.72,drone_T1
172,1.72,1.73,drone_T1
173,1.73,1.74,drone_T1
174,1.74,1.75,drone_T1
175,1.75,1.76,drone_T1
176,1.76,1.77,drone_T1
177,1.77,1.78,drone_T1
178,1.78,1.79,drone_T1
179,1.79,1.8,drone_T1
180,1.8,1.81,drone_T1
181,1.81,1.82,drone_T1
182,1.82,1.83,drone_T1
183,1.83,1.84,drone_T1
184,1.84,1.85,drone_T1
185,1.85,1.86,drone_T1
186,1.86,1.87,drone_T1
187,1.87,1.88,drone_T1
188,1.88,1.89,drone_T1
