window_idx,start_time,end_time,label
0,0,0.01,drone
1,0.01,0.02,drone
2,0.02,0.03,drone
3,0.03,0.04,drone
4,0.04,0.05,drone
5,0.05,0.06,drone
6,0.06,0.07,drone
7,0.07,0.08,drone
8,0.08,0.09,drone
9,0.09,0.1,drone
10,0.1,0.11,drone
11,0.11,0.12,drone
12,0.12,0.13,drone
13,0.13,0.14,drone
14,0.14,0.15,drone
15,0.15,0.16,drone
16,0.16,0.17,drone
17,0.17,0.18,drone
18,0.18,0.19,drone
19,0.19,0.2,drone
20,0.2,0.21,drone
21,0.21,0.22,drone
22,0.22,0.23,drone
23,0.23,0.24,drone
24,0.24,0.25,drone
25,0.25,0.26,drone
26,0.26,0.27,drone
27,0.27,0.28,drone
28,0.28,0.29,drone
29,0.29,0.3,drone
30,0.3,0.31,drone
31,0.31,0.32,drone
32,0.32,0.33,drone
33,0.33,0.34,drone
34,0.34,0.35,drone
35,0.35,0.36,drone
36,0.36,0.37,drone
37,0.37,0.38,drone
38,0.38,0.39,drone
39,0.39,0.4,drone
40,0.4,0.41,drone
41,0.41,0.42,drone
42,0.42,0.43,drone
43,0.43,0.44,drone
44,0.44,0.45,drone
45,0.45,0.46,drone
46,0.46,0.47,drone
47,0.47,0.48,drone
48,0.48,0.49,drone
49,0.49,0.5,drone
50,0.5,0.51,drone
51,0.51,0.52,drone
52,0.52,0.53,drone
53,0.53,0.54,drone
54,0.54,0.55,drone
55,0.55,0.56,drone
56,0.56,0.57,drone
57,0.57,0.58,drone
58,0.58,0.59,drone
59,0.59,0.6,drone
60,0.6,0.61,drone
61,0.61,0.62,drone
62,0.62,0.63,drone
63,0.63,0.64,drone
64,0.64,0.65,drone
65,0.65,0.66,drone
66,0.66,0.67,drone
67,0.67,0.68,drone
68,0.68,0.69,drone
69,0.69,0.7,drone
70,0.7,0.71,drone
71,0.71,0.72,drone
72,0.72,0.73,drone
73,0.73,0.74,drone
74,0.74,0.75,drone
75,0.75,0.76,drone
76,0.76,0.77,drone
77,0.77,0.78,drone
78,0.78,0.79,drone
79,0.79,0.8,drone
80,0.8,0.81,drone
81,0.81,0.82,drone
82,0.82,0.83,drone
83,0.83,0.84,drone
84,0.84,0.85,drone
85,0.85,0.86,drone
86,0.86,0.87,drone
87,0.87,0.88,drone
88,0.88,0.89,drone
89,0.89,0.9,drone
90,0.9,0.91,drone
91,0.91,0.92,drone
92,0.92,0.93,drone
93,0.93,0.94,drone
94,0.94,0.95,drone
95,0.95,0.96,drone
96,0.96,0.97,drone
97,0.97,0.98,drone
98,0.98,0.99,drone
99,0.99,1,drone
100,1,1.01,drone
101,1.01,1.02,drone
102,1.02,1.03,drone
103,1.03,1.04,drone
104,1.04,1.05,drone
105,1.05,1.06,drone
106,1.06,1.07,drone
107,1.07,1.08,drone
108,1.08,1.09,drone
109,1.09,1.1,drone
110,1.1,1.11,drone
111,1.11,1.12,drone
112,1.12,1.13,drone
113,1.13,1.14,drone
114,1.14,1.15,drone
115,1.15,1.16,drone
116,1.16,1.17,drone
117,1.17,1.18,drone
118,1.18,1.19,drone
119,1.19,1.2,drone
120,1.2,1.21,drone
121,1.21,1.22,drone
122,1.22,1.23,drone
123,1.23,1.24,drone
124,1.24,1.25,drone
125,1.25,1.26,drone
126,1.26,1.27,drone
127,1.27,1.28,drone
128,1.28,1.29,drone
129,1.29,1.3,drone
130,1.3,1.31,drone
131,1.31,1.32,drone
132,1.32,1.33,drone
133,1.33,1.34,drone
134,1.34,1.35,drone
135,1.35,1.36,drone
136,1.36,1.37,drone
137,1.37,1.38,drone
138,1.38,1.39,drone
139,1.39,1.4,drone
140,1.4,1.41,drone
141,1.41,1.42,drone
142,1.42,1.43,drone
143,1.43,1.44,drone
144,1.44,1.45,drone
145,1.45,1.46,drone
146,1.46,1.47,drone
147,1.47,1.48,drone
148,1.48,1.49,drone
149,1.49,1.5,drone
150,1.5,1.51,drone
151,1.51,1.52,drone
152,1.52,1.53,drone
153,1.53,1.54,drone
154,1.54,1.55,drone
155,1.55,1.56,drone
156,1.56,1.57,drone
157,1.57,1.58,drone
158,1.58,1.59,drone
159,1.59,1.6,drone
160,1.6,1.61,drone
161,1.61,1.62,drone
162,1.62,1.63,drone
163,1.63,1.64,drone
164,1.64,1.65,drone
165,1.65,1.66,drone
166,1.66,1.67,drone
167,1.67,1.68,drone
168,1.68,1.69,drone
169,1.69,1.7,drone
170,1.7,1.71,drone
171,1.71,1.72,drone
172,1.72,1.73,drone
173,1.73,1.74,drone
174,1.74,1.75,drone
175,1.75,1.76,drone
176,1.76,1.77,drone
177,1.77,1.78,drone
178,1.78,1.79,drone
179,1.79,1.8,drone
180,1.8,1.81,drone
181,1.81,1.82,drone
182,1.82,1.83,drone
183,1.83,1.84,drone
184,1.84,1.85,drone
185,1.85,1.86,drone
186,1.86,1.87,drone
187,1.87,1.88,drone
188,1.88,1.89,drone
189,1.89,1.9,drone
190,1.9,1.91,drone
191,1.91,1.92,drone
192,1.92,1.93,drone
193,1.93,1.94,drone
194,1.94,1.95,drone
195,1.95,1.96,drone
196,1.96,1.97,drone
197,1.97,1.98,drone
198,1.98,1.99,drone
199,1.99,2,drone
200,2,2.01,drone
201,2.01,2.02,drone
202,2.02,2.03,drone
203,2.03,2.04,drone
204,2.04,2.05,drone
205,2.05,2.06,drone
206,2.06,2.07,drone
207,2.07,2.08,drone
208,2.08,2.09,drone
209,2.09,2.1,drone
210,2.1,2.11,drone
211,2.11,2.12,drone
212,2.12,2.13,drone
213,2.13,2.14,drone
214,2.14,2.15,drone
215,2.15,2.16,drone
216,2.16,2.17,drone
217,2.17,2.18,drone
218,2.18,2.19,drone
219,2.19,2.2,drone
220,2.2,2.21,drone
221,2.21,2.22,drone
222,2.22,2.23,drone
223,2.23,2.24,drone
224,2.24,2.25,drone
225,2.25,2.26,drone
226,2.26,2.27,drone
227,2.27,2.28,drone
228,2.28,2.29,drone
229,2.29,2.3,drone
230,2.3,2.31,drone
231,2.31,2.32,drone
232,2.32,2.33,drone
233,2.33,2.34,drone
234,2.34,2.35,drone
235,2.35,2.36,drone
236,2.36,2.37,drone
237,2.37,2.38,drone
238,2.38,2.39,drone
239,2.39,2.4,drone
240,2.4,2.41,drone
241,2.41,2.42,drone
